search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de parlante,Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Conectores de entrada,Peso,Línea,Configuración de canales,Voltaje,Ancho,Altura
11, Parlante Portatil Radio Usb Bluetooth Potencia 4000w Karaoke Luces Led Inalambrico Bateria Y 220v + Microfono + Sonido ,6999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				699
				vendidos
			
		",(421 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,69,https://perfil.mercadolibre.com.ar/BLUEWAYBLUE,https://articulo.mercadolibre.com.ar/MLA-680688727-parlante-portatil-radio-usb-bluetooth-potencia-4000w-karaoke-luces-led-inalambrico-bateria-y-220v-microfono-sonido-_JM#position=11&type=item&tracking_id=8d6d4898-ec00-4380-91d8-fb4af91a625d,40,21,3,1,3,#680688727,Winco,24/7,80 W,Subwoofer,Portátil,Central,Vertical,NA,NA,Bateria Portatil,MP3,220V,NA,NA
12, Parlante Bluetooth Portátil Radio Usb Mp3 Leds 1500 Watts ,1999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				319
				vendidos
			
		",(486 disponibles),12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,28,https://perfil.mercadolibre.com.ar/HELITEC,https://articulo.mercadolibre.com.ar/MLA-651682375-parlante-bluetooth-portatil-radio-usb-mp3-leds-1500-watts-_JM#position=12&type=item&tracking_id=8d6d4898-ec00-4380-91d8-fb4af91a625d,21,5,1,0,1,#651682375,Helitec,S6,1005 W,Woofer,Activo,NA,caja portatil,USB,NA,NA,NA,NA,NA,NA
13, Parlante Portátil Vivitar Bluetooth Diseño + Colores + Potencia + Cuotas Sin Interes! ,1709,1799,"
			
				Nuevo
			
			
				
					 - 
				
				172
				vendidos
			
		",(41 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,15,https://perfil.mercadolibre.com.ar/ELECTROWORLDGROUPARGENTINA,https://articulo.mercadolibre.com.ar/MLA-760433469-parlante-portatil-vivitar-bluetooth-diseno-colores-potencia-cuotas-sin-interes-_JM#position=13&type=item&tracking_id=8d6d4898-ec00-4380-91d8-fb4af91a625d,11,2,1,0,1,#760433469,Vivitar,VF60013BT,5 W,Tweeter,Woofer,"Piso, mesa, estante",Caja,NA,NA,FABRIC COLLECTION,NA,5V,NA,10 cm
14, Parlante Portátil Karaoke Radio Fm + Bluetooth + Usb + Sd + Luces + Microfono Inalámbrico! Potencia! En Cuotas! ,1709,1799,"
			
				Nuevo
			
			
				
					 - 
				
				172
				vendidos
			
		",(41 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,15,https://perfil.mercadolibre.com.ar/ELECTROWORLDGROUPARGENTINA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=9Lk%2FOHGGQU9fwe4%2FA14XM7%2FOc9xwCDE4gX81uNzb4zduy%2FkubjUD8usMaBTtLCVWxGVhpzqMcr2nu%2BLlhvb6st9KIPSJFzDQW7neHHviALpNzPf66%2FjBieTs7%2FwH6Z6iMd9baYQA9J7aBkCOGYce%2Ff%2BSKJLlFgeAxF1r7IXlpQstWTMfBA5NT2B4hSWMu240p8sQ%2BMOp7O3yuAVH%2B8m1RA%2BSal%2FvNr2hFuWiRCR51FA8K1ZadAXB8Lq5VLTfbOVuTbLlP0o1YSA5G1kolEgCYH1WR2OJXlx9xSKOL%2BF5RsdyXDnUOw8QZDejMN9SIuiGUQJsY1RcbofIgRxWe3gQWRllMPIiPMB9sb9wT1hxljVigUJTdb4b6Et8yUtZx4gzknk4CJSmXVwh4NiWaDRkwpCb%2Bn1m%2BODYmZApGiQZhuAbqN5AVcDoDvfZt6ElFxdCGfdimXPbqmibvIGrIJcmg%2Bd3quDnNMkWry7T0IBZPQqk1yQm6PXYBLnwK2eZSPXG4DZneSlhDNiiAcKMOmIy2171DQYPdMCfZrDBdLBdHzpqOVsEkGBKZXDpXN4cefrdeBPJL6cbhHjfSiUu8haS9ei7e0nY1c6kAWoqJJ0vxwG6sv02%2BdMz8aK3ygyyqEQ7wbcZDtCN8h5N5Wc9r1T8nr6ZvepPDUcLpGI%2FRZbPlCbK5ODd%2F37zAOJvEVLMn7j83Rg63R%2FJ2NZm4bIpeBhEFFjOTrbsEVTqe1cQ51PU3L5UH7YSA7IKl2oHJoHXLH44cRVonrqyQ4jHd3VmYJX2Atvu97LEHbhhyxmQ0vcBuNG6VGRfBc9Fa9avrib9TDHrMk80h1sExbrDr7NWjZTAof7JJB3FdnbbtXXDqWJj5MpyfXqMcMlSqQu1IuWsIc6rJcgJRufOc%2Bx3axgxf2y%2BgLuRtpyK%2BDjFFv9eBetfxTqq%2Bwau62oy105Wx6vrAmKqLOAcXZnS9RXf%2BDTJSUWNV2WJbF9BlGvCvtG0Ggkcq6T9Re2QIns0tQBYb1F%2BEK2Zqlm2Jcop5jHFxhXG9pFIV97oZYy6WKtwzUYcdsOzaMeMAf9r8SXpKHCMLewwhs4ORzLzEMJnITVeH56zIXtg2qU%2FQJUPCSM3fuk0R8exozfQBKlxyUEkpfq1D5NlMbJej3us30tBmI%2FkoHTo4u%2FIHUaWZ4k%2F7iV5%2BREEDUbnDsqmYbyazyiQhfP4OMc3Rd0KXa7UWAQJE1DBhLl65j9ldtfZfo856l0L02PiD99RXYEktStoanr1t5WjlKCOvZkmPNPDocgAJoEy6xIWqkkjjXtjjmjdKReYgOG3vEnhCS3rtvvtgv57%2F8VJShp5GfegT374vgcdosMWngwRxvbiY%2B1JWyLbMPTLF4G%2FqTCPz7GYqy9fjyP%2FN6s2U%2FUsPRGOv6bwdrCqOpHFko9eMl8INEYctvt3wX2RCugWn%2Bl6ahlD8I5RoG5WhB56gCUXefKqUEzIksjepXfHyV7AuQcmX%2FOdKwdMyd5KPe967a7cO1szmxfI0C%2BUKedZnrGxqcVAlP4X3PycWo4j53tnOHqa3lIvDDJBnaL2yWSVyJ8p71zh0u8fH%2FICw%2BdnRExy4UBPUkNn86duI8aIayo5wEDvnMrYxzJT96443dkOz1K7hiYmUXkPWX5%2BAazLXm%2BHo31ZC1sWyUSEXBuAtyNOnNZV21upjkFNBCbv%2BYg65kEuxAUpj8ChWJJzmMf1QO%2FcKeRxl5RD1cGFTDsN4llxoreZNyqMNrgqHMbJgSJgoHwZYuqbTKwEWSg3m7XNEKnNQAfFgzRA3eAkoFoxgfZRWIbqQnqKo2mHzFG9PBPJYdRsBGaeAQkulGX2c6idjO%2BuFxsoTQh9UHaysDLbZ5WJC1Gn01CqShwowarSo1XeSjryyuuHKLpwlpOPY9nYYTPFWYDjJ9XNSKQ%2FRbAn1DWGiEc6YCH02YJ5A5bphJFfsocmPBFp5xTjcI4tHvCGme1SVq74BhjeIDDKbBezAzEqFC0aeIrU,11,2,1,0,1,#760433469,Vivitar,VF60013BT,5 W,Tweeter,Woofer,"Piso, mesa, estante",Caja,NA,NA,FABRIC COLLECTION,NA,5V,NA,10 cm
15, Parlante Bluetooth Usb Mcsd Microfono C/cable Full! ,1679,NA,"
			
				Nuevo
			
			
				
					 - 
				
				194
				vendidos
			
		",(34 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,12,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-698611319-parlante-bluetooth-usb-mcsd-microfono-ccable-full-_JM#position=15&type=item&tracking_id=8d6d4898-ec00-4380-91d8-fb4af91a625d,11,1,0,0,0,#698611319,Global Electronics,SBL10,10 W,Portatil,Woofer,"Living, Habitacion, Comedor",Portatil,NA,NA,NA,NA,NA,NA,NA
16, Sony Srs-xb01 Parlante Inalambrico Portatil Resiste Agua Bt! ,2679,NA,"
			
				Nuevo
			
			
				
					 - 
				
				303
				vendidos
			
		",(83 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,30,https://perfil.mercadolibre.com.ar/PHOTOSTORE,https://articulo.mercadolibre.com.ar/MLA-628486050-sony-srs-xb01-parlante-inalambrico-portatil-resiste-agua-bt-_JM#position=16&type=item&tracking_id=8d6d4898-ec00-4380-91d8-fb4af91a625d,22,6,2,0,0,#628486050,Sony,SRS-XB01,10 W,portatil,Portátil,portatil,Caja,NA,160 g,SRS,si,USB,NA,NA
17, Parlante 12 Portatil Bateria Bluetooth Gran Potencia 5000w + Microfono Cargador Control Remoto Usb Sd Radio 12v Y 220v ,6999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				472
				vendidos
			
		",(375 disponibles),6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,62,https://perfil.mercadolibre.com.ar/BLUEWAYBLUE,https://articulo.mercadolibre.com.ar/MLA-611396474-parlante-12-portatil-bateria-bluetooth-gran-potencia-5000w-microfono-cargador-control-remoto-usb-sd-radio-12v-y-220v-_JM#position=17&type=item&tracking_id=8d6d4898-ec00-4380-91d8-fb4af91a625d,33,22,5,1,1,#611396474,Winco,239-12,100 W,Portatil,Woofer,Centro,Caja,NA,NA,Multifuncion,WAV MP3,220v 12v,NA,NA
18, Parlante Karaoke Bluetooth Usb Microsd Aux Luces + Microfono ,3199,4300,"
			
				Nuevo
			
			
				
					 - 
				
				194
				vendidos
			
		",(44 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,8,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-609304272-parlante-karaoke-bluetooth-usb-microsd-aux-luces-microfono-_JM#position=18&type=item&tracking_id=8d6d4898-ec00-4380-91d8-fb4af91a625d,6,1,1,0,0,#609304272,Kolke,Kpmm 221,60 W,Karaoke,Woofer,"Exterior, Interior",Columna,"USB, Bluetooth, microSD, Aux 3.5 mm",NA,NA,2.1,NA,NA,NA
19, Parlante Portatil Bluetooth Noga Ngs-310 Usb Sd Fm Led Gtia ,279,NA,"
			
				Nuevo
			
			
				
					 - 
				
				611
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,69,https://perfil.mercadolibre.com.ar/DALECL%C3%8DCK,https://articulo.mercadolibre.com.ar/MLA-633579521-parlante-portatil-bluetooth-noga-ngs-310-usb-sd-fm-led-gtia-_JM#position=19&type=item&tracking_id=8d6d4898-ec00-4380-91d8-fb4af91a625d,36,19,7,4,3,#633579521,Noganet,NGS-310USB,3 W,Tweeter,Pasivo,NA,Caja,Auxiliar,NA,Go!,1,NA,NA,NA
20, Parlante Portátil Karaoke Potente! Bluetooth - Sd - Radio Fm - Luces Led! Bateria Recargable! ,6499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				130
				vendidos
			
		",(64 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,3.8,6,https://perfil.mercadolibre.com.ar/ELECTROWORLDGROUPARGENTINA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=NFLYQ7CG8JhaEXRq38i9U9eIgOjL1tAK0YbzPO6uwuCnrT%2FEkC1kp4ewSG91IBVT4zfk1p3nKgr%2Br6PWt6MVYDKpMaG89rrmMEEGbTxsB1ze1ZPUs13P4HIIFPCqmqDGhDsg2Vz3CVesldJOBXmOXUsZPSZlW5JwvPk8monGW5%2FOv0mLRHOA7V8ACFmshrMbDIHKqksLERR%2BzDDY2OYoLcuTmtJzj1FUn0mfxbM7v%2BNrl%2BANzEFk7WxeQtED8saF4VB%2B3B7qDtz4nTBwbJlTIIFoz%2FKBMjthDUjw1UNqTUeO3J4425Wx55OgOyxzCHTmYrUYx4yRrxcCeNFXYhp5FPk7U%2BB9hc4IEtKvhpihvWxgqkwIgR6%2FAV7vmCOUlqSEL5QGJEJyefJrZ33HYk38%2FHJ%2B9enHiujOPxvSAoOVlLJ9Ui9HWpc8xeNudr4D6fwyK4bRoVV655CiwJTptCY8yzOoR4%2BEYDhPF7pDc1xNi0JmaSq03fTYBDW4oaV2fKjJ8mrtnxjwGBkhepx%2BHT1n8OqW44LBiqA1c6fsnZCsYScKrImcgyED195D%2BmMLL87NRL%2BdjePOlBa9QI4N0iOBmi5e42ioD%2B06sjmsn2t5WLqqVWjwbrCmHo%2Bj4INkNeuGlgsLMMxTIF%2Fsn9uL8JJfQmmEqq1oZy8nbPb3q7maDn9E2AINe%2BbuCOVJMisFlSxbKx%2FUyIb%2F81JRHfB8TskgVBzi2Oh1nn%2BaKrvvXlmgfvrfRgZ2%2B4rAXHR9Bzq3NWYtdwzlOJ5XIaNRioxWdTzW4lgJNNjZX04T7rasHFBC4Ol1csrQIZiQOxvRJL3AjjrHK%2FhdMZ6qOsH0xAwt2uZNIzWqwuE%2B%2F1zSPxsIJUwA%2BTrmZF%2F%2FG2KgH324u8B7JrHrnDK1jRG5KgVtEGeEKssRNB%2B4fXjMS8yM1eezYCxVYpbkqFwOJW7zawIs6rsD%2BXR7VeaVxUd5KUgSt3gk%2BITHGmxMCvoWCDxXmsEd%2B46otp7mE4ruy26C1%2BtYn1Bes61QTksZZS2SUQheQH2ciKqpzUcKolam0c5A2q7W%2B%2F7YdqDja6d3KFPFnT5h1r4ZboRgCCMFWvG7oH2KXznMYVb0UTpzQRwrwSryDIyz2wPszemDGwAoN3biKUdOEB9g7rdXb0xLRhWsDM%2F36SmnM%2BylxsVnlswscYIxg%2Fh84mAp6lL2a%2FuRr1vyi4cnWug395pIHXFXNxX4kQKHjRQWhkB0u8U3jszJtUE2HEjqLLwrsFatmuCnpufnNZdWC%2BTbClunhsS0TKfQqOsWnT%2FkepMMRLb2vO1xchjpGokaq7IP2TDNapQzt2xiussDyl10xY21YXiLBg57XScylsIsmGvUqXBBBFqgBk99zxn0nOQ73gLPL8BiBPRK%2FFUhXDswpj%2BzKE3exPdU%2FRLhQX7hRClbOsZaWpTDMv9XAO4pTNjQWFTzHZS%2Fjh1DEKHjWvPKCcTWKNinF20yckAJ7L6ffuHzJBqvJuwGFg5Oz8B%2FCxNmpjP1BK46IsbLwV8cghmRhsP4j%2Fq2MBwbLbBapoooMyDj8xSzbpMzo%2Fubht7pnSebFT7b%2FU6U71rCzHtjqmLPeeWtF8e9hO1DgU0JMCjaNTIZX3R3a8dDUjpFJslehnU3cTxgvu5W%2By9XbDQq0cRCt3lywJjcnOpn63NeWFtiRqHA39uebkdGiy9cubk5ym9miErb%2BD0Vti0pUidpXxj0qi5BtTlPT8mLOOHbbE7Cq%2FBGN%2BHBWDJu70JzwqLKYfsdFIb0aAUAbQYmJKyxV2pO5ng2zTMqmoocWJd7wg62Gv7j%2BuzO7EYIVHX%2FuKGv6euFg6aSU6Dj9h%2B%2Ffeekd8Kk%2FLJ498SzhD5Geb10BVTibnNUbgP1d3rA4pN%2BxTtVoQWQkJ1%2FTYntwJl7VAEFxnDGXuTX2RXxv5HXknc5DfMVgCSTRyyeSbDH64QvT3sHHaYzGikYbXR06K9sXGTKgD%2Frvb9I7icSa%2FuBWeIVsRx761Xb9PP7rHZ0Mzo3owUnU%2BT7g0PLhUZH43g%3D,3,1,0,2,0,#761047217,Otras Marcas,TAR-1512,NA,Subwoofer,NA,De piso,Caja,NA,NA,NA,NA,220,38.5 cm,57.5 cm
