search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Color,Tipos de parlante,Peso,Conectores de entrada,Tipos de filtros del parlante
1, Xiaomi Round Bluetooth Speaker 2 ,135,NA,NA,(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/QUETALCOMPRADELPERUEIRL?brandId=159,https://articulo.mercadolibre.com.pe/MPE-436972266-xiaomi-round-bluetooth-speaker-2-_JM#position=1&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#436972266,Xiaomi,Speaker 2,5 W,NA,NA,NA,NA,NA
2, Google Home Mini Asistente Virtual Por Voz Nuevo Y Sellado ,135,NA,"
			
				Nuevo
			
			
				
					 - 
				
				101
				vendidos
			
		",(90 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,10,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-431301132-google-home-mini-asistente-virtual-por-voz-nuevo-y-sellado-_JM#position=2&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,7,3,0,0,0,#431301132,NA,NA,NA,Tiza,NA,NA,NA,NA
3, Amazon Echo Dot 3ra Gen Altavoz Inteligente Alexa Sellado ,209,NA,"
			
				Nuevo
			
			
				
					 - 
				
				50
				vendidos
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/MIALIENSTORE,https://articulo.mercadolibre.com.pe/MPE-435227656-amazon-echo-dot-3ra-gen-altavoz-inteligente-alexa-sellado-_JM#position=3&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,5,1,0,0,0,#435227656,Amazon,Echo  Dot 3era Gen,NA,NA,Wifi,300 g,NA,NA
4, Google Home Mini Charcoal Smart Assistant No Chromecast ,134,NA,"
			
				Nuevo
			
			
				
					 - 
				
				36
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,https://articulo.mercadolibre.com.pe/MPE-435158863-google-home-mini-charcoal-smart-assistant-no-chromecast-_JM#position=4&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#435158863,Google,home mini,NA,"Charcoal, chalk","wifi, bluetooth, smart",NA,NA,NA
5, Samsung Soundbar 100w 2019 Barra De Sonido ,179,NA,"
			
				Nuevo
			
			
				
					 - 
				
				44
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,https://articulo.mercadolibre.com.pe/MPE-428636742-samsung-soundbar-100w-2019-barra-de-sonido-_JM#position=5&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#428636742,Samsung,HW-N300PE,100 W,NA,NA,2 kg,USB,NA
6, Jbl Flip 4 Parlante Bluetooth Portatil Acuatico Bass Colores ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(25 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432200042-jbl-flip-4-parlante-bluetooth-portatil-acuatico-bass-colores-_JM#position=6&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,7,2,0,0,0,#432200042,JBL,Flip 4,20 W,Como,Woofer,NA,NA,Activo
7, Sony Parlante Bluetooth Extra Bass Ip67 Acuatico Xb12 ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444301-sony-parlante-bluetooth-extra-bass-ip67-acuatico-xb12-_JM#position=7&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#434444301,Sony,XB12,NA,Como,Portatil,NA,NA,NA
8, Jbl Go 2 Parlante Bluetooth Resistente Al Agua Tienda ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				37
				vendidos
			
		",(96 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-428500548-jbl-go-2-parlante-bluetooth-resistente-al-agua-tienda-_JM#position=8&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,13,1,1,0,0,#428500548,JBL,GO 2,3 W,NA,"Portátil, Resistente al Agua",NA,NA,Activo
9, Mini Parlante Waterproof Mini Speaker Conexión Bluetooth ,19,NA,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(19 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BONOTECH.PE,https://articulo.mercadolibre.com.pe/MPE-435701030-mini-parlante-waterproof-mini-speaker-conexion-bluetooth-_JM#position=9&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#435701030,NA,NA,NA,NA,NA,NA,NA,NA
10, Amazon Echo Dot 3ra Gen Altavoz Inteligente Alexa Sellado ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,https://articulo.mercadolibre.com.pe/MPE-437115986-amazon-echo-dot-3ra-gen-altavoz-inteligente-alexa-sellado-_JM#position=10&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#437115986,Amazon,Echo  Dot 3era Gen,10 W,NA,Wifi,300 g,NA,"SMART, WIFI, BLUETOOTH, SALIDA 3.5MM"
11, Parlante Sony Bluetooth Extra Bass Ip67 Acuatico Xb12 ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444306-parlante-sony-bluetooth-extra-bass-ip67-acuatico-xb12-_JM#position=11&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#434444306,Sony,XB12,NA,Como,Portatil,NA,NA,NA
12, Oferta! Pk08 Parlante Karaoke Bluetooth Radio Fm 8 Pulgadas ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				22
				vendidos
			
		",(89 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/VELBRO+PERU,https://articulo.mercadolibre.com.pe/MPE-433317574-oferta-pk08-parlante-karaoke-bluetooth-radio-fm-8-pulgadas-_JM#position=12&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#433317574,NA,NA,NA,NA,NA,NA,Auxiliar,NA
13, Parlante Sony Bluetooth Extra Bass Inalámbrico Xb41 (azul) ,550,NA,"
			
			
				
				9
				vendidos
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-431904354-parlante-sony-bluetooth-extra-bass-inalambrico-xb41-azul-_JM#position=13&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#431904354,Sony,NA,NA,NA,NA,1500 g,USB,NA
14, Luces Sicodelias Y Parlante Bluetooth Usb Luces Led ,45,NA,"
			
				Nuevo
			
			
		",(99999 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SELLMERX+SAC,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=pbcHsMxvaDBP5VJyZEf1yRFcwd6cBrpfllv%2Bo3z5qUEAdSrfzPPCGgJyLf1UA7Id4bh0rwyAcdhp%2FoiXBohvmzCgcgZv8LutvwVhu0jDxKFPVIw%2FMJjtFsj9XhbIMRapz6vksYJlxSC0lPPj7zl5FmQpb2K7AWYt0RcbZTqEBZZa%2BAbMQ5VB%2B%2F%2BFAB0XONHx17VtNhvQS12RRBOCMtfx1t1rZoF3oThyrV%2F%2F2tcvGNHmlOT7QiEVO4O%2BLlWjYuL6F1q4eedw40opqTUa6WtN5uC0mN8GiuGU0Kpz9u32gufNHG50IZDFcx%2BAHFdOaY%2F%2B%2BbjAHF%2FcIjWaq9bdT5BxLCxvMXeyylh7gYa8JPS1epwalLFmFduwb8nYq9UVOebBcXBNpIyM3NvdVXUkjWBPGUOcgG6nDZbQFPy0WLW3uvNXVTnQ52DVok57KAYhRB63wa98yDX6W0pIlUoWkW5K4SFsoTck2lTc5f7v%2BiuT80icu6ecoUgKy096uVAv6KchQOP%2BK52uMOcGsJZ6DGSbBOED6d5dcOnbjU8SdKoMQCPOChI385g8t%2B4bPwfX6cRPZ8SY3lUOFyPNb6t1IfBUUivFIuyQsXvZghTCVotyaXmlxTrVHD49JiqSzxgqjjeRohzOA5NkOTCgLYXiV8WU6EGCncR%2FNZpJ0fRR6Arv3CJ1tFmijt296AdHKQ0Ej7UgGkb5PxmL4PC0OMC6DXd5HO5Mq6h8mxosyOR91NIoGKR53O2XHf0noqg9idbm4b503NT6kCsk7z0s6r0o3gVVwq%2FVBO6dPRjzTlSdmuUFBrVf8Q%2B2Zq4ldM802EARVZkY4Llocb%2BEqYuw6wYTHfgBmbs%2Bk7Cd48IsT8%2BKsN52Ywe3IEOg2RFNDtkEl7oP%2BAfiS1l3TZlrdL9HigxywDTF5kx4MqMBFTuypcslByz8A5Tz0lx46tRAHL%2FOtJDXWdcVUuXz0e0PUK14%2Fi7ZZSGHWNJujpjPQBo6OFxHVvXfZAQ%2FtV9dhpYhmuFX0NHgtMlnqIQ%2BZYJP0HN5g1MCj8O6tgpVxmNZMA452ke8VUVCiRAGdUZUFG7VD18j8jKC%2FXhghdwJlhGY43MNG0W6R8OkZMOZVvrtyTcNccJQ5N1Qpg1oXKBN9%2FeMmk8QeIRk7GWNHz3jOD4Ff4yHJhQ3MaYSe72Z3sUlpMYgI%2FqqiY8%2BeS7ROD81vkF3VUO2c%2BuU8vrV8QgXCZpZnUFUBesm0hCmsZ1iSe6diOYM8Wmii5MJ%2BGrx25suOVx7ZA2g0yNVmPMt%2FNo3Dl7g%2BZ2iTVqWerTCjlzXD85XxHAA%2Bb%2FoTMM19egRVppFRNsRN6TdfWjQmwLtXn3o%2FLkPe19VXJmnylqI9sNWt%2BD21pWm57ClhvggW9FW6h5qPrdSx6ntaEEwkFCUMrHRtoB8yvt24wJifzCDRTU6%2BVyM8BCxELnllzWOwEVMHUNH9DgdV4HD1Y7r9n59%2BgAMbkkFVhiAVFuS%2FZ6XyCvuH%2BB99eN%2B9oIcZihyJ%2FppZtEm5cU1V0OlmuByVFWMidQWo3fsj%2F7EY4bsVIGtyhZ%2BxaQG3yCsZmIQGwvBm9n%2FFD0nJnNoQ5eYJW8gCASibt%2FzIVVhNXUrjPeGvTnuQcYPiSr5T3yGz%2FmFQzIWhd15pCFG7Rpr%2ByCOZZUkCiVhrg8CdXascm25LI5rtQXhTmWvEYIXOgF2H%2FBTkA%3D%3D,NA,NA,NA,NA,NA,#433789260,NA,NA,NA,NA,NA,NA,NA,NA
15, Receptor Bluetooth Adaptador 3.5 Para Autos Parlantes ,29,NA,"
			
				Nuevo
			
			
				
					 - 
				
				269
				vendidos
			
		",(739 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.9,7,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-419076361-receptor-bluetooth-adaptador-35-para-autos-parlantes-_JM#position=15&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,3,1,2,1,0,#419076361,generic,aux,NA,NA,NA,NA,NA,NA
16, Parlante Activo A Bateria Mpa200bt Bluetooth + Envio ,1599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(98 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SOUNDA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-435495287-parlante-activo-a-bateria-mpa200bt-bluetooth-envio-_JM#position=16&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#435495287,NA,NA,NA,NA,NA,NA,NA,NA
17, Parlante Tronsmart T6 Plus Bluetooth 40w + Estuche ,330,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,https://articulo.mercadolibre.com.pe/MPE-436941118-parlante-tronsmart-t6-plus-bluetooth-40w-estuche-_JM#position=17&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#436941118,NA,NA,40 W,NA,NA,NA,NA,NA
18, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,529,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(294 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,https://articulo.mercadolibre.com.pe/MPE-437378262-parlante-jbl-charge-4-acuatico-bluetooth-portatil-by-harman-_JM#position=18&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#437378262,JBL,Charge 4,30 W,NA,Woofer,NA,NA,Activo
19," Google Home Hub Pantalla Inteligente, 7 Touch Nuevo/ Sellado ",420,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(89 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-436387375-google-home-hub-pantalla-inteligente-7-touch-nuevo-sellado-_JM#position=19&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#436387375,NA,NA,NA,NA,NA,NA,NA,NA
20, Parlante Bluetooth Jbl Flip 4 Sumergible Sellado / Tienda ,339,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(42 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-429687772-parlante-bluetooth-jbl-flip-4-sumergible-sellado-tienda-_JM#position=20&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,7,2,0,0,0,#429687772,JBL,Flip 4,16 W,NA,NA,NA,NA,Activo
21, Google Home Mini - Masplay ,139,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(9988 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,https://articulo.mercadolibre.com.pe/MPE-434654884-google-home-mini-masplay-_JM#position=21&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#434654884,NA,NA,NA,NA,NA,173 g,NA,NA
22, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,549,649,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(18 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434111505-parlante-jbl-charge-4-acuatico-bluetooth-portatil-by-harman-_JM#position=22&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#434111505,JBL,Charge 4,30 W,Como,Portatil,NA,NA,Activo
23, Autoradio Pioneer Dxt-s4069bt Bluetooth + 4 Parlante Pioneer ,569,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-434645186-autoradio-pioneer-dxt-s4069bt-bluetooth-4-parlante-pioneer-_JM#position=23&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#434645186,NA,NA,NA,NA,NA,NA,NA,NA
24, Amazon Echo Dot 3ra Gen Altavoz Alexa Nuevo Y Sellado ,180,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/EDISEL.TS,https://articulo.mercadolibre.com.pe/MPE-436628951-amazon-echo-dot-3ra-gen-altavoz-alexa-nuevo-y-sellado-_JM#position=24&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#436628951,Amazon,NA,NA,Gris oscuro,NA,300 g,NA,NA
25, Jbl Xtreme 2 Parlante Acuatico Bluetooth Portatil By Harman ,999,1069,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435224647-jbl-xtreme-2-parlante-acuatico-bluetooth-portatil-by-harman-_JM#position=25&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#435224647,NA,NA,NA,NA,NA,NA,NA,NA
26, Parlante Acuatico Bluetooth Manos Libres Microfono Ducha ,24,NA,"
			
				Nuevo
			
			
				
					 - 
				
				48
				vendidos
			
		",(52 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,4,http://perfil.mercadolibre.com.pe/SANTOFA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-421447296-parlante-acuatico-bluetooth-manos-libres-microfono-ducha-_JM#position=26&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,3,0,0,1,0,#421447296,NA,NA,NA,NA,NA,NA,NA,NA
27, Parlante Jbl Charge 4 Bt 100% Original 20horas 30w Acuático ,565,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(17 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NO2125288,https://articulo.mercadolibre.com.pe/MPE-436598987-parlante-jbl-charge-4-bt-100-original-20horas-30w-acuatico-_JM#position=27&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#436598987,JBL,Charge 4,30 W,NA,"portátil, impermeable",NA,NA,Activo
28, Parlante Portatil Altavoz Bluetooth Charge Mini ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		",(182 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,3,http://perfil.mercadolibre.com.pe/PRECIO.PE,https://articulo.mercadolibre.com.pe/MPE-429000664-parlante-portatil-altavoz-bluetooth-charge-mini-_JM#position=28&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,2,0,1,0,0,#429000664,NA,NA,NA,Fiesta,NA,2 kg,NA,NA
29, Minicomponente Panasonic Bluetooth Sc-ua3 300w One Box ,469,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-426399387-minicomponente-panasonic-bluetooth-sc-ua3-300w-one-box-_JM#position=29&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#426399387,NA,NA,NA,NA,NA,NA,NA,NA
30, Parlante Bluetooth Jbl Boombox 60w Mejor Portátil Del Mundo ,1569,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(50 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-432426065-parlante-bluetooth-jbl-boombox-60w-mejor-portatil-del-mundo-_JM#position=30&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#432426065,JBL,Boombox,60 W,NA,NA,NA,NA,Activo
31, P Parlante Bluetooth Logitech Ue Megaboom 3 Ip67 ,649,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(1 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-435567205-p-parlante-bluetooth-logitech-ue-megaboom-3-ip67-_JM#position=31&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#435567205,Logitech,NA,NA,NA,NA,925 g,NA,NA
32, Jbl Go 2 Parlante Bluetooth Portatil Acuatico Ipx7 Original ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(43 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444185-jbl-go-2-parlante-bluetooth-portatil-acuatico-ipx7-original-_JM#position=32&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,13,1,1,0,0,#434444185,JBL,GO 2,3.1 W,Brillante,Portatil,NA,NA,Activo
33, Parlante Karaoke Bluetooth + Microfono Y Entrada Guitarra ,120,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(94 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CIBERVENTAS4000,https://articulo.mercadolibre.com.pe/MPE-431844087-parlante-karaoke-bluetooth-microfono-y-entrada-guitarra-_JM#position=33&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#431844087,NA,NA,NA,Cartón,NA,NA,USB,NA
34, Parlante Sony Bluetooth Extra Bass Inalámbrico Xb41 (negro) ,550,NA,"
			
			
				
				18
				vendidos
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-431904355-parlante-sony-bluetooth-extra-bass-inalambrico-xb41-negro-_JM#position=34&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#431904355,Sony,NA,NA,NA,NA,1500 g,USB,NA
35, Microfono Bluetooth Karaoke Parlanrte Inalambrico Delivery ,99,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/IMPORTACIONESMYJASOCIADOS,https://articulo.mercadolibre.com.pe/MPE-434083302-microfono-bluetooth-karaoke-parlanrte-inalambrico-delivery-_JM#position=35&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#434083302,NA,NA,NA,NA,NA,NA,NA,NA
36, Parlante Tronsmart T6 + Plus 40w True Bass Sd Bluetooth 5.0 ,249,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(97 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GRAFOPERU,https://articulo.mercadolibre.com.pe/MPE-437621488-parlante-tronsmart-t6-plus-40w-true-bass-sd-bluetooth-50-_JM#position=36&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#437621488,Tronsmart,T6 + PLUS,40 W,NA,NA,NA,NA,NA
37, Parlante Tronsmart Force + Plus Ipx7 40w Sd Extra Bass 2019 ,230,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(97 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GRAFOPERU,https://articulo.mercadolibre.com.pe/MPE-437604895-parlante-tronsmart-force-plus-ipx7-40w-sd-extra-bass-2019-_JM#position=37&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#437604895,Tronsmart,ELEMENT FORCE PLUS +,40 W,NA,NA,NA,Auxiliar,NA
38, Parlante Activo Bluetooth 12 Pulgadas +microfono Inalambrico ,395,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(96 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,https://articulo.mercadolibre.com.pe/MPE-428023951-parlante-activo-bluetooth-12-pulgadas-microfono-inalambrico-_JM#position=38&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#428023951,NA,NA,NA,NA,NA,NA,NA,NA
39, Jbl Flip 4 Parlante Bluetooth Original Acuático / Tienda ,339,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(993 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-429636474-jbl-flip-4-parlante-bluetooth-original-acuatico-tienda-_JM#position=39&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#429636474,JBL,Flip 4,NA,NA,NA,NA,NA,NA
40," Parlante Tronsmart Element Mega 40w,.bluetooth 4.2, Nfc ",215,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/FLOYDTEC.,https://articulo.mercadolibre.com.pe/MPE-421964989-parlante-tronsmart-element-mega-40wbluetooth-42-nfc-_JM#position=40&type=item&tracking_id=5946622e-c4f8-4c08-abd7-f0acc341be51,NA,NA,NA,NA,NA,#421964989,Tronsmart,Element Mega,40 W,NA,Bluetooth,NA,NA,Activo
