search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Color,Tipos de parlante,Peso,Conectores de entrada,Tipos de filtros del parlante
1005, Parlante Timebox - Altavoz (manos Libres) ,183,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HUANCAYOVENDE.COM,https://articulo.mercadolibre.com.pe/MPE-436354707-parlante-timebox-altavoz-manos-libres-_JM#position=37&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#436354707,NA,NA,NA,NA,NA,NA,NA,NA
1006," Autoradio Sony Mex-n4150bt Bluetooth,nfc Xplod 2 + Parlantes ",599,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DLECTRO-PERU,https://articulo.mercadolibre.com.pe/MPE-432856802-autoradio-sony-mex-n4150bt-bluetoothnfc-xplod-2-parlantes-_JM#position=38&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#432856802,NA,NA,NA,NA,NA,NA,NA,NA
1007, Parlante Portatil Bluetooth Sony Extra Bass Srs Xb31 ,520,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WWW.DLECTRO.COM,https://articulo.mercadolibre.com.pe/MPE-437619519-parlante-portatil-bluetooth-sony-extra-bass-srs-xb31-_JM#position=39&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#437619519,Sony,SRS-XB31,NA,NA,NA,NA,NA,Activo
1008, Jbl Boombox - Parlante Bluetooth 60w - Facturado ,1650,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CHAGUAVILLAJUANBECKER,https://articulo.mercadolibre.com.pe/MPE-427809804-jbl-boombox-parlante-bluetooth-60w-facturado-_JM#position=40&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#427809804,JBL,Boombox,60 W,NA,NA,5.25 kg,NA,Activo
1009," Parlante Bluetooth Led - Pokemon Atrapalo, Pokebola ",35,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SH975195,https://articulo.mercadolibre.com.pe/MPE-435600729-parlante-bluetooth-led-pokemon-atrapalo-pokebola-_JM#position=41&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#435600729,NA,NA,NA,NA,NA,NA,NA,NA
1010, Parlante Inalambrico Portable Xiaomi Pocket 2 Lyyx01zm ,155,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VENTAS+TECNOCORE.SAC,https://articulo.mercadolibre.com.pe/MPE-436844990-parlante-inalambrico-portable-xiaomi-pocket-2-lyyx01zm-_JM#position=42&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#436844990,Xiaomi,NA,NA,NA,NA,195 g,NA,NA
1011, Parlante Portátil Bluetooth Jbl Xtreme 2 40w Acuático ,949,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(53 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-429690934-parlante-portatil-bluetooth-jbl-xtreme-2-40w-acuatico-_JM#position=43&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#429690934,JBL,Xtreme,NA,NA,NA,NA,NA,NA
1012, Parlante Bluetooth Impermeable Acuatico Baño Blanco ,59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(14 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DIGITALZ+PERU,https://articulo.mercadolibre.com.pe/MPE-423167186-parlante-bluetooth-impermeable-acuatico-bano-blanco-_JM#position=44&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#423167186,NA,NA,3 W,Blanco,NA,NA,NA,NA
1013," Parlante Bluetooth Aukey Crdc S107, Bt 4.1, 5w ",75,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FLOYDTEC.,https://articulo.mercadolibre.com.pe/MPE-426919354-parlante-bluetooth-aukey-crdc-s107-bt-41-5w-_JM#position=45&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#426919354,CRDC,S107,5 W,NA,Bluetooth,NA,NA,N/A
1014, Bluedio Parlante Share Ts5 ,189,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FILIUM360,https://articulo.mercadolibre.com.pe/MPE-432653644-bluedio-parlante-share-ts5-_JM#position=46&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#432653644,NA,NA,NA,NA,NA,NA,NA,NA
