search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Color,Conectores de entrada
1, Parlante Bluetooth A Prueba De Agua 3w Rms Ideal Ducha Loi ,179,249,180,936,18 cuotas,9.94,NA,Envío a todo el país,NA,NA,4.1,12,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463417487-parlante-bluetooth-a-prueba-de-agua-3w-rms-ideal-ducha-loi-_JM#position=1&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,4,6,1,1,0,#463417487,3 W,NA,NA,NA,NA,NA,NA
2, Parlantes 2.1 Tower 5 Energy Sistem Bluetooth Aux Usb Sd Amv ,155,NA,195,10,18 cuotas,318.78,NA,Envío a todo el país,NA,NA,4.8,19,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-452289064-parlantes-21-tower-5-energy-sistem-bluetooth-aux-usb-sd-amv-_JM#position=2&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,15,4,0,0,0,#452289064,NA,Energy Sistem,NA,NA,NA,NA,NA
3, Parlante Bluetooth Jbl Go 2 Portátil Potencia Calidad Febo ,1388,NA,1609,98390,18 cuotas,77.11,NA,Envío a todo el país,NA,NA,4.8,230,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600412-parlante-bluetooth-jbl-go-2-portatil-potencia-calidad-febo-_JM#position=3&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,193,32,2,2,0,#446600412,3 W,JBL,GO 2,Activo,184 g,NA,NA
4, Parlante Portátil Bluetooth 3w Luces Led Usb Microsd Aux Loi ,197,NA,75,981,18 cuotas,10.94,NA,Envío a todo el país,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462659823-parlante-portatil-bluetooth-3w-luces-led-usb-microsd-aux-loi-_JM#position=4&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,2,0,1,0,0,#462659823,3 W,NA,NA,NA,NA,NA,NA
5, Parlante Jbl Flip 4 Bluetooth Portátil Gtia 1 Año Solo Febo ,4275,NA,982,99017,18 cuotas,237.50,NA,Envío a todo el país,NA,NA,4.8,217,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600381-parlante-jbl-flip-4-bluetooth-portatil-gtia-1-ano-solo-febo-_JM#position=5&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,186,29,4,1,1,#446600381,16 W,JBL,Flip 4,Activo,515 g,NA,NA
6, Parlante Portátil Bluetooth Park Led Karaoke Batería Mic Loi ,39,42,75,2968,18 cuotas,80.21,NA,Envío a todo el país,NA,NA,4.5,8,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456920787-parlante-portatil-bluetooth-park-led-karaoke-bateria-mic-loi-_JM#position=6&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,4,4,0,0,0,#456920787,NA,Kolke,NA,NA,NA,NA,NA
7, Parlante Portable T&g Bluetooth 10w Rms Oferta Loi ,697,990,61,999,18 cuotas,38.72,NA,Envío a todo el país,NA,NA,4.2,5,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462663421-parlante-portable-tg-bluetooth-10w-rms-oferta-loi-_JM#position=7&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,2,2,1,0,0,#462663421,10 W,NA,NA,NA,NA,NA,NA
8, Parlante Jbl Flip 4 Bluetooth Potente Colores Oferta Loi ,3790,4999,183,892,18 cuotas,210.56,NA,Envío a todo el país,NA,NA,4.8,217,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-458480865-parlante-jbl-flip-4-bluetooth-potente-colores-oferta-loi-_JM#position=8&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,186,29,4,1,1,#458480865,16 W,JBL,Flip 4,Activo,NA,NA,NA
9, Parlante Portátil Bluetooth Con Radio Fm ,690,NA,135,94,18 cuotas,38.33,NA,Envío a todo el país,NA,NA,4.4,10,http://perfil.mercadolibre.com.uy/MERCADOFULL82,https://articulo.mercadolibre.com.uy/MLU-455532602-parlante-portatil-bluetooth-con-radio-fm-_JM#position=9&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,6,3,0,1,0,#455532602,NA,NA,NA,NA,1 kg,NA,NA
10, Parlante Bluetooth Jbl Boombox Potencia Calidad Febo ,24950,NA,14,99985,18 cuotas,1.386.11,NA,Envío a todo el país,NA,NA,4.5,5,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-450750864-parlante-bluetooth-jbl-boombox-potencia-calidad-febo-_JM#position=10&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,3,0,1,0,0,#450750864,NA,JBL,Boombox,NA,NA,NA,NA
