search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Color,Conectores de entrada
11, Parlante Jbl Charge 4 Bluetooth A Prueba De Agua Oferta Loi ,167,249,30,998,18 cuotas,343.46,NA,Envío a todo el país,NA,NA,4.8,46,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463032205-parlante-jbl-charge-4-bluetooth-a-prueba-de-agua-oferta-loi-_JM#position=11&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,38,7,0,0,1,#463032205,30 W,JBL,Charge 4,Activo,NA,NA,NA
12, Parlante Bluetooth Jvc Portable 16w Rms Radio Fm En Loi ,57,71,29,2968,18 cuotas,117.23,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463512740-parlante-bluetooth-jvc-portable-16w-rms-radio-fm-en-loi-_JM#position=12&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,1,1,0,0,0,#463512740,16 W,NA,NA,NA,NA,NA,NA
13, Parlante Bluetooth Portátil Jbl Charge 4 Potencia Calidad ,6790,NA,105,99894,18 cuotas,377.22,NA,Envío a todo el país,NA,NA,4.8,46,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452532629-parlante-bluetooth-portatil-jbl-charge-4-potencia-calidad-_JM#position=13&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,38,7,0,0,1,#452532629,30 W,JBL,Charge 4,Activo,NA,Agua,NA
14, Parlante 2.0 Bluetooth Tienda Oficial Thonet & Vander Kürbis ,245,NA,93,13,18 cuotas,503.88,NA,Envío gratis a todo el país,NA,NA,4.7,16,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=FAJbKWY0LbFHPlLBy76J5WUxcmG91JhSkUj6aGLLoURcqVu8s1tV1BKAK1RXqI77WS9g8pc4ZTveFMUzbFh66PXVmZwOPw4IHPrzeEHNYolMzgduMu5k43aJ%2FeMUFzbBM15WpF5fns5VH%2BUQnqawtJ531h%2F2oHEnCggoLJSBeLCkzLKm3Sp9K4Bj3R2T5TG%2FjZZTXZxRf3qbM5oZajsD%2B9sjZJW%2BFJAe4aaR2TjwBYGV4quYBaRW4GEkZJki606wYnLX0M7T0dlvxlz9OE4cV4CHILfjrhub%2F%2BwRg6qMyAxzmTOTPMRQ18ZN64UK%2BJynvfB1OhfDFXQ9M%2FlhI84tEkLA0cQCH%2F2rG0tJqIXta19ueCRkGLcHoHxg%2FouqIxIJCJq5nPZteG9kAGXtnyrxzZvsfHIstgAvEN1Hg%2FgCyTbW7VTrUnaI6HRUj2eU16WxQfDXA3zLQJhluVvkwgKSK0bkFfeK0cMnqvcHVG%2BcLG1HavzvjTdC%2BRBw8ByJyaJG2ArmW0p3QIjNsoHGSJlhr4wOIYGYY%2BToZaHnBQXKmJ0Pe6fHwY%2BPOPd0YHSKJtn6OqMyQiR4ciBymqxe0rwEunWERZpVp%2FUZsq5hfI8HeVm1h3eKFRbSXJeaCb8wAvdmK%2BxyJqwWkdl0QHZgV8zi9jdUkDmDE0xb8yDclrrxy2ji%2F6vLL%2BL2oHy7nLgr801C%2B9yfpzFPz53KxlTlz%2BNUNyyw0mEVs92QMrWb5asGexKmBQh1QbSReOBxCowO%2Bjtg8ARwTGjoZzjctLtFtAOA3IWxf0i7qyg7WVBAtCN4C6hA1FB9tjLhPg%2FXShEeuFjGYFtl%2B0xQyF%2FEVmYxa9y2lEcIamhTOYmUzfS21AqeUnzzXwfHl%2Br6Y0xAIzSNOG%2FzGMbGTOXOLlY7LsrF0lwSffqczsVcv8uzKqRASE8sGspliIcNjenb4%2FtMznQ8NHGfluhkMd4SC8hU3sY3eIT5btuL52tZG6BDm%2B10MjVsIn5Y65SpdRte3UmgyAxxIO34Z7UibGYgBX3EnxkXIXg6Zybo1JXzcad6H%2FUfr937ZljYyhfS33tmrraSzlsYqOpA3XOrDvUUAeDBiCe8qaDi%2B%2FFjepwIGRxQbbsgc6OaJcYDrymsuKt7oVikfQRLKJxV9gy2e0GOLZXGISaYlWzBwy4U3C328b%2BJY2KqGD0G1BU2IxW9b0gCaVbLK88HAyS5CCD2p0sy0vt%2FA9iyc0VY6oesR8%2Buajy00%2B%2FRf6%2Fg08%2BfDc5CV9ZyG2gA1dVBe0vJBZHDEx4A5akPx1iiqj%2F7cCP%2Fa27eMOIdyB2drObKI58gbLEEAuE6x5U4oYbwP%2BOFS0koxF45oCjRDT7Bdi7PRKpDvC80UUtKgYOeUuGZ2CXouyl81RhfIgs2UVgcHy54yqygOCEtuoy0vfY7j3ojPkWpWHzPnAB%2FykUvlhtV4lk5cGIFqGpQnRRZhW5k%2F671i6JUMOTIfCvvzcOJnjPTYXbqfzInWR9RMJxXt0BjhLp3l9nVlS3Bg0%2Fek9rbDWfn4FSK87V53aAo8QeFOdyazBRv1WnIbOjSyQv7EN21GOjzjx2TGW%2Fso1J1YFVOHGoarXlLbQ2efm%2Biy0%2F9JtKRFtEp8vfbgYVBGHPQrx4vFVuMPMzirjDzq29jYL29orZ8Zh05C7zJlfatW1IEwgNwUrvjAXwQMSfp4pmMvjHiEAuiqE4kHlLkiv5xIzPqoIH1gC6D9%2Bhq5irj6JOgHURDvMPXORAOA9WeKrwMgQ3ke6zGQ0A5JTc1VVnxzw%3D%3D,13,1,2,0,0,#444260918,NA,Thonet & Vander,Kürbis Bluetooth,NA,NA,NA,NA
15, Parlante Kolke Fiesta Plus 15 250w Rms Portátil Bat Mic Loi ,89,129,17,9983,18 cuotas,183.04,NA,Envío a todo el país,NA,NA,4,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-464025871-parlante-kolke-fiesta-plus-15-250w-rms-portatil-bat-mic-loi-_JM#position=15&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,0,1,0,0,0,#464025871,NA,Kolke,NA,NA,NA,NA,NA
16, Parlante Mini Bluetooth Portatil Craquelado Ahorro Y Compras ,190,NA,57,144,18 cuotas,10.56,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.uy/JESDEN+SA,https://articulo.mercadolibre.com.uy/MLU-451362894-parlante-mini-bluetooth-portatil-craquelado-ahorro-y-compras-_JM#position=16&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,0,1,0,0,0,#451362894,NA,NA,NA,NA,NA,NA,USB
17, Parlante Kolke Kpb-160 C/microfono Inalambrico Circuit ,3338,NA,102,47,18 cuotas,185.44,NA,Envío a todo el país,NA,NA,4.7,18,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,https://articulo.mercadolibre.com.uy/MLU-449889793-parlante-kolke-kpb-160-cmicrofono-inalambrico-circuit-_JM#position=17&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,13,4,1,0,0,#449889793,NA,Kolke,NA,NA,NA,NA,NA
18, Parlantes Logitech Z337 2.1 80w 40w Rms Subwoofer Bluethoot ,96,NA,6,4,18 cuotas,197.44,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/INFINITTECHNOLOGY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=iez1rrVTdnsRhdszbBBdX898f45LtLvgCeDtX7wusZ1DbZybYPEhtcGAuczK3hZ1EM7JaGIgoXgQVzyVUIjI3Kc44f1oUptEEzk%2B%2FH41EwxHd65Kg7dRSrfSHpUJnzYSQfFx5mJaTlurz0zbehmPP9KebMFzU41vguom9J9t3WJXlDS%2BushJs5wuFGmJZmcBev2xowcbVM63xPwVlzfMqL7YrJGfgQjcTovcFH%2F3J%2B4s%2Ffr2J8%2B83hKt9FFX%2BwcUOHuiIz6Tsq8%2BbBVXS1iMTipqA6CMBHc0XIiBMcNxdKPJIamlm0krm55SNIr1CyQWHhGrnuvSViPB%2Bwmee8gzO%2BemBDd980MDXcpHAZC5T0Q9XBlPVa%2BZ8vZ3nw04r%2Fkorp2fnzXsT6edNvqiC1oLO0LP0xuJ0rneiHs%2FhLsftV2SOxIYyTWDhbowqzeg%2BBlZR2kl4T3qIiggrrSEcqkywEhG6pfU%2Bpq%2BvsSOHqGwBAcH%2F8ghxvbydsrvfM1iELRlTTU4UxazOegHzE832s9yyexyUuh%2B5ZKgxOk2iXP9k9TSt1L2OCGS5e9uTfvIId1AZCOEITZFVRwc%2BIdJwtexrOay%2FwMUUa3gS9eSEG2emMZ6MlpfUAuNGKs9cR1PzR9mOCZbHajwAS2AkLs2%2BrHzzY4MaDFKH76sVg7b7%2BaS1gWvSYLA%2FqnKuxqqdxoRqxMfpCkf%2Fkrg71mOqIU0Z9dl0RaGblt2XTN9CF47CIECNN7CtkP0h%2BQ4g1CACoI02iOYYp9LuCj6ToFYpzbVCKBnqe%2B30kMheJeShyHiiIT72Bq5jewut9%2F%2Fqs0GJrLqaMsOXl9Wk8Vb%2B22v32tDcL2XXE2zPYG4PH1RwLWjIxKJHgm84hv3CpVTsxfNc347nR%2F2inhxsvQovz4IAn71YpuSz79huzvlv%2B0NAvIYWMi%2B4nE9eWGakT%2BzzSJRD%2FO5YMdhBhPe8L0cJ6KhvukFDMIrZGo7nxGAcqkYMdTLtKVW3AqNAnZkghI1EYuNfpx6oW2e25dWt8jr0QWIp4FthP9deU9xGeUvLADm%2FzXi6XO0rbFYLSeLvpFlV2wOkmL4wwHo2a2xvFUDs7zXJlXFvKg5UmIlaQJGXbpEaeXa4UnMJlMBmfSeFanV%2BwR022QHfnibIjCpfRasdv1Ir5Y52vnuoMHojoZrRkClQzSAmOR7SI2YXNxOZpimBrLlmfc9higmuqHwPzHa2EYoPuXKjP1lo1GDjrJjRK81twxDfsFAqoyegeW4%2FivKxQQKv60rsMQtmm4N29FXAPt1Re9ldfBWsup4D29PlXoddhSpoY%2Fky9BrU8IUsa8HmdwiYJdTdhB9KocNeS6qpKZqUhgxHACmGK3AJSvSRfhXjoxSVsychFwKxT%2F%2FifOFkv0mv%2Fsa%2B4xCqddx6ztfdaOCh78vFr0qbtCLq82D%2FuHL%2B2UzyfkHyd8lN54mBrFKDMT7qSZEvam8sy288d1Dozb2jOji8eumUjx1ouhQHjO%2F0HxGx%2BouNZcdo98qGU5Wvays3VYQ3opJ6rQHPZE1NLjfwbKFG8DNklat7oI8yqRFGhZkqrKEv1aMhMIn%2BwGF4SMTTZ6RZFyZo9h4XWt4PIM8OoCW0XyZXMlW%2FIZqXA%2FQ5hJ%2Ba8nCALPKXIhDDulgHdhM3SiImEJCZqOWo99%2Fi%2BPritS9gkmJDEQKKcRPujFuxxotS1Yn0EiNrW%2BJ5K%2BJ63xA6VZb1VivQtYFRjrMeWZM9jQ%2FbxxK4nd7fSm41K4%2BN%2FdUY6fntIArjNb%2BR78j5VLBLpw%3D,NA,NA,NA,NA,NA,#463354792,NA,Logitech,NA,NA,NA,NA,RCA
19, Parlante Portatil Ledstar 6 Bluetooth Bateria Futuro21 Dimm ,1199,NA,28,94,18 cuotas,66.61,NA,Envío a todo el país,NA,NA,2.3,3,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-446606518-parlante-portatil-ledstar-6-bluetooth-bateria-futuro21-dimm-_JM#position=19&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,0,0,1,2,0,#446606518,NA,Bose,NA,NA,NA,NA,NA
20, Mini Parlante Bluetooth / Usb / Lector Micro-sd® ,185,NA,141,5000,18 cuotas,10.28,NA,Envío a todo el país,NA,NA,4.5,4,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443241546-mini-parlante-bluetooth-usb-lector-micro-sd-_JM#position=20&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,2,2,0,0,0,#443241546,3 W,Genérico,Compatible,NA,NA,NA,NA
21, Parlante Bluetooth Resistente Tipo Jbl Charge Buenos Graves ,1090,NA,247,84,18 cuotas,60.56,NA,Envío a todo el país,NA,NA,4.2,18,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-450615769-parlante-bluetooth-resistente-tipo-jbl-charge-buenos-graves-_JM#position=21&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,9,4,4,1,0,#450615769,NA,JBL,NA,NA,NA,NA,USB
22, Parlante Barra De Sonido Bluetooth Tv Potente Calidad Smart® ,1379,NA,35,1765,18 cuotas,76.61,NA,Envío a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-455224414-parlante-barra-de-sonido-bluetooth-tv-potente-calidad-smart-_JM#position=22&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,3,1,0,0,0,#455224414,NA,NA,NA,NA,NA,NA,NA
23, Parlante Bluetooth Kolke Shake A Batería Con Mic Oferta Loi ,37,39,24,981,18 cuotas,76.10,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-460487947-parlante-bluetooth-kolke-shake-a-bateria-con-mic-oferta-loi-_JM#position=23&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,2,0,0,0,0,#460487947,NA,Kolke,NA,NA,NA,NA,NA
24, Parlante Bluetooth Jbl Charge 4 Directo Del Importador ,6399,NA,18,9,18 cuotas,355.50,NA,Envío a todo el país,NA,NA,4.8,46,http://perfil.mercadolibre.com.uy/URU-MARKET,https://articulo.mercadolibre.com.uy/MLU-460591460-parlante-bluetooth-jbl-charge-4-directo-del-importador-_JM#position=24&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,38,7,0,0,1,#460591460,30 W,JBL,Charge 4,Activo,965 g,NA,NA
25, Parlante Bluetooth T&g Portátil 10w Resistente Al Agua Loi ,677,713,23,993,18 cuotas,37.61,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462550224-parlante-bluetooth-tg-portatil-10w-resistente-al-agua-loi-_JM#position=25&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,NA,NA,NA,NA,NA,#462550224,10 W,NA,NA,NA,NA,NA,NA
26, Micrófono Karaoke Bluetooth Inalámbrico Parlante Usb Oferta ,645,NA,312,126,18 cuotas,35.83,NA,Envío a todo el país,NA,NA,4.1,34,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,https://articulo.mercadolibre.com.uy/MLU-454535976-microfono-karaoke-bluetooth-inalambrico-parlante-usb-oferta-_JM#position=26&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,18,10,1,1,4,#454535976,NA,NA,NA,NA,NA,NA,NA
27, Parlante Portatil Bluetooth Jbl Charge 3 Batería Futuro21 ,6249,NA,49,4,18 cuotas,347.17,NA,Envío a todo el país,NA,NA,4.6,29,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-458974093-parlante-portatil-bluetooth-jbl-charge-3-bateria-futuro21-_JM#position=27&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,16,5,2,0,0,#458974093,20 W,JBL,Charge 3,Pasivo,NA,NA,NA
28, Parlante Portatil 15´´ Bluetooth Microfono Con Luces Dimm ,109,NA,13,92,18 cuotas,224.18,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-449928360-parlante-portatil-15-bluetooth-microfono-con-luces-dimm-_JM#position=28&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,NA,NA,NA,NA,NA,#449928360,NA,NA,NA,NA,NA,NA,NA
29, Parlante Portátil Bluetooth 3w Rms Usb Microsd Aux En Loi ,257,NA,19,999,18 cuotas,14.28,NA,Envío a todo el país,NA,NA,4,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462660839-parlante-portatil-bluetooth-3w-rms-usb-microsd-aux-en-loi-_JM#position=29&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,0,2,0,0,0,#462660839,3 W,NA,NA,NA,NA,NA,NA
30, Parlante Bluetooth Jbl Go2 Portátil Calidad Potencia Febo ,1388,NA,124,98927,18 cuotas,77.11,NA,Envío a todo el país,NA,NA,4.8,230,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-458234258-parlante-bluetooth-jbl-go2-portatil-calidad-potencia-febo-_JM#position=30&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,193,32,2,2,0,#458234258,3 W,JBL,GO 2,Activo,184 g,NA,NA
31, Mini Parlante Portátil Bluetooth Mp3 Sd Recargable Clicshop ,185,NA,61,21,18 cuotas,10.28,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-453546717-mini-parlante-portatil-bluetooth-mp3-sd-recargable-clicshop-_JM#position=31&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,1,0,0,0,0,#453546717,NA,NA,NA,NA,NA,NA,NA
32, Parlante 2.0 Bluetooth Tienda Oficial Thonet & Vander Kürbis ,245,NA,93,13,18 cuotas,503.88,NA,Envío gratis a todo el país,NA,NA,4.7,16,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://articulo.mercadolibre.com.uy/MLU-444260918-parlante-20-bluetooth-tienda-oficial-thonet-vander-kurbis-_JM#position=32&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,13,1,2,0,0,#444260918,NA,Thonet & Vander,Kürbis Bluetooth,NA,NA,NA,NA
33, Parlante Tipo Jbl Xtreme Bluetooth Portable Musica Waterpool ,1490,NA,69,931,18 cuotas,82.78,NA,Envío a todo el país,NA,NA,4,10,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-455224472-parlante-tipo-jbl-xtreme-bluetooth-portable-musica-waterpool-_JM#position=33&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,5,3,0,1,1,#455224472,40 W,Xtreme,Xtreme,Pasivo,NA,NA,NA
34, Parlante Equipo Audio Sony V81 Alta Potencia Bluetooth Pcm ,899,NA,7,999,18 cuotas,1.848.94,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/PCM+URUGUAY-SA,https://articulo.mercadolibre.com.uy/MLU-458268876-parlante-equipo-audio-sony-v81-alta-potencia-bluetooth-pcm-_JM#position=34&type=item&tracking_id=0528e7be-dfe9-4683-a4aa-5110f2cab109,1,0,0,0,0,#458268876,NA,Sony,NA,NA,NA,NA,NA
