search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Color,Formato,Línea
11, Audifonos I7s Tws Bluetooth iPhone Android ,6.490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				90
				vendidos
			
		",(100 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 541
			
		
		 sin interés
		
	

	
		","
				$ 541
			",NA,Envío a todo el país,NA,NA,3.0,3,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-471461822-audifonos-i7s-tws-bluetooth-iphone-android-_JM#position=11&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,1,0,1,0,1,#471461822,i7,i7S TWS,NA,NA,NA
12, Audifonos Con Bluetooth Sony Oem Con Luz Led ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				107
				vendidos
			
		",(103 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,4.3,7,https://perfil.mercadolibre.cl/ELECTRONICA_ROCA,https://articulo.mercadolibre.cl/MLC-464459355-audifonos-con-bluetooth-sony-oem-con-luz-led-_JM#position=12&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,5,1,0,0,1,#464459355,Sony,NA,NA,NA,NA
13, Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos /04126 ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				994
				vendidos
			
		",(208 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.5,17,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://articulo.mercadolibre.cl/MLC-473637938-audifonos-bluetooth-p47-stereo-radio-mp3-inalambricos-04126-_JM#position=13&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,12,3,1,0,1,#473637938,047,WIRELESS 4.2+EDR,NA,Headset,NA
14, Audífonos Bluetooth On-ear Fiddler Con Manos Libres Negro ,9.990,14.990,"
			
			
				
				108
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.665
			
		
		 sin interés
		
	

	
		","
				$ 1.665
			",NA,Envío gratis a todo el país,NA,NA,4.5,10,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=YIqLhQgc0uincmnK%2Bv89xwH%2FXljYfXsnrmAxHLzebOFWTMDXQIaJxMyTl9lXVAegRM20XN3bnYnL0j1edwpC%2Bmn8Nfnn39PXGV54QZQRWT2lu2jRLSwzg1ORfg%2FKd%2BRTI76weF8fxX7fll2ZFplLu%2BtBvybt6nmWFVl35dSvw8JKKN%2FUO5lr2lGINoXr%2FX3UQK6fpUIZSLacDv%2B41exUrzQBLeQUhjtd36v%2FPLoHgSK3zUxBgU81SnyPgiH0VYvaVbs1%2FQtbA0eCKdBftylMigsQzki3L%2BP%2FokYxyL%2FVX2%2FLXlAaX2YIT9%2BVpz41P%2B58BTbdjELlXKkzRhcfYZu3fpLVh1QSpbjoOSjDDKQWHtebYtVwl%2BQd%2BamQTmpgu8c%2BeNzcUMCFlhh2tFBcWb79gcmA39sVs1c32vsnxGHKq3gHrnacYQvH7%2FWHujxHflICCl4aG%2F%2F1szWUYN2WQmdBFmToYNCYD%2FYl8DBPBChTo%2FlSuVyw3z2eREBnn0aCPgIBi8RSelMOYzaCwRx5nY%2FCHRLFJWdw9pxzVL%2FYKBVIut3TaeiIXXd1NA4pp6x%2BMdUnykrxhVEvaGwHW8mhA6Gvy%2BOzl%2Bwk9vH5aDewrhIiiPXu5q%2BlFjOd6od5RJCRLihi89K7M6YiuFMuQjLUHXAjq9jhrJWnc3GrarSSe3Vf3EzfqHKE8uMPkNMsKtSAlUXLASdDWCMW4SxY91K18S%2BY7aqG8IR25hdJR4xj9bulFycbFugj4yZ2hDNX6Vv5%2Fsp51F1CCuoFo15OFRfQqEjpjFRc3TggVd813sDi0fkHc%2FFPOYuaEaelHTUuE1DHcF3JFMIbEiVHBqtjHyIIFU3Z68oahwab2zWatRc2xe36jOYwOARipI4vEzzz5QR0%2F0nXRCLhbWt5sM0y5KVex1T9YqTfF3vqrA73VWIXL1ji7cQDTkgmj0HeLEqECDqn3Aa8tN2UNdtCjuBiHqjpg8GOqol72BCNFakpWwTwNQsJiRHeXUEt2VoH6Af8IgUXgiEdPgKtyU8XNicfDqzyNCaH9RWFvGht2xovE17Rk%2Ft25qaDnAc43ZRNkhp%2Bl%2BGH0IK2OSBgmxvsWQktHUtKvvQ0PU83dqz%2BDHHMP3Gbv7s6%2Bo5v06IB8p0y5lCAZMNYunSVEzui3U2VtSYksM3W8hkGo5cUf81CuPMA%2FR%2BXtR1SIF7T8SrxQ9xmy1ke%2FtkkHJFNvj2qrWBENYlFkTihcVyHDfGD9vVT3MpgWAm8Jf%2BEuBcfxmI8Td1hsKehMDWBejz31bEnNVhg7KH84RdRMlToOLC0JsNmmzJpQRAlwhR7BAjJaKaFchW9z7DxpyYKrswd8canbURGQXily6femr2qdSS9SL8Xt%2BD3O%2BWAC%2BuMsRsVhOzhr%2Bu%2FtN%2BJJcvVCtYLgakJlAixUMUr%2FQpnUlave6Wdy4XFsJdDq3lmj9EzWYwcCv0%2Bcu%2BdVq5Lcz2xbPELCQYpNha4rqGLjs45j2yZnRoF1cvdNP9kQGVBccT8FtrTU0keiojAEJ71Rd6M2TtnVOuGjCFAKGzUCoa3Qz177pVA7i3H7AOKaDCJw8A8rfPfGeFypXkoZyAKHXBtdsH0piYXdO%2BZy0T56U3kxpEhtCUV9hwlFaHREz1xLIeta9KFF3txOuUPcwZw7pSlpzEwVvZSKL9cYKz7ANmQqZE07kM%2F09NmP30%3D,7,1,2,0,0,#465825327,Fiddler,FD-B68B,NA,NA,NA
15, Auricular Inalambrico Bluetooth Manos Libres Tipo Airpod ,3.490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				179
				vendidos
			
		",(100 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 291
			
		
		 sin interés
		
	

	
		","
				$ 291
			",NA,Envío a todo el país,NA,NA,3.0,2,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-460325127-auricular-inalambrico-bluetooth-manos-libres-tipo-airpod-_JM#position=15&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,NA,NA,NA,NA,NA,#460325127,i7,1 Auricular,NA,Headset,Bluetooth
16, Audífono Monster Bluetooth Profesional 40 Hrs De Musica ,24.890,NA,"
			
				Nuevo
			
			
				
					 - 
				
				132
				vendidos
			
		",(68 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.148
			
		
		 sin interés
		
	

	
		","
				$ 4.148
			",NA,Envío gratis a todo el país,NA,NA,4.9,9,https://perfil.mercadolibre.cl/OUTLETNET-LTDA,https://articulo.mercadolibre.cl/MLC-460166710-audifono-monster-bluetooth-profesional-40-hrs-de-musica-_JM#position=16&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,8,1,0,0,0,#460166710,Monster,NA,NA,NA,NA
17, Audífonos Bluetooth Auriculares Inalámbrico Caildad!!! ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				497
				vendidos
			
		",(228 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.665
			
		
		 sin interés
		
	

	
		","
				$ 1.665
			",NA,Envío a todo el país,NA,NA,4.7,41,https://perfil.mercadolibre.cl/MUNDOMAGIA%C3%91U%C3%91OA,https://articulo.mercadolibre.cl/MLC-447161588-audifonos-bluetooth-auriculares-inalambrico-caildad-_JM#position=17&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,34,4,2,0,1,#447161588,NA,NA,NA,NA,NA
18, Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos /04126 ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				994
				vendidos
			
		",(208 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.5,17,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=OOq9%2BVDBy6%2Bf5TePvKGrSWZwBNxDVTKlDSuv6Z6DKC86WRUBLHPPztI9lyLKnH2zRoMF1rL1co%2BPxTV77b8r9YnUutboD%2FWJBGeoeEcRA%2F5rW5ZMywYrOYLYaLzxt3boz06beuDCchv%2F0Jt97O%2F0lOgc%2BFO8qaMoesxW%2B1DygsfV0IVfaVaOL0sXPo3mIVP9zwl4kvKI9otHWuQlOl2DdX52QozJEyhC%2BnJGlsp05xM9mMYF1AcAHV4GprWzLiInHZnCiwo2vfOMP%2BivUQc%2B4nXY9JVsQcW%2Bfl6Qv0TmbmQMfr1CeUuiS5f2efkhzFkQb1R1EgQsRcfk0FJ%2FRIcF39wAbqqqPkqC2qZM3ylNxSehxhAxN%2FTbryM8M9oFSn%2F8iQIottmF%2FHIYgzPgWTpaAS13JgOSCBXDQ1ZtRL5lM593zrvAFKZI%2Fp%2FJ39HIQlxnO04xXdIQ1P4WdDtXUCk7zcKSkGARLvJvzPtyF%2F8tDllrSv10iYhkT1d0B%2B2S9oNL7ZXUHYP0Fjcwp8tMxszORQnkkgXkhI%2BDQzdVMZAMSK6KftBeojNhUR2%2BoGAXH5imqe3hiPtOzPLgJuVf7a%2FcOy1nlkX%2B0FaHOH%2B1PYq26pGwd%2FCjwLq112aCwNoiorXkkpTYhqWM2vFGJxUsLc90IUJCWasMFyOM2TiINUpPUiEPNqNS%2BoZC4bA9pTgLgzzHHyxbQCSbp6iIu4udFIACZt66lLZKVOkgq8EI%2BYttOGkTy3sOPozC%2FMcYvxXCVuoQBQlD6ElFRaiVL%2Bfjknv6F%2F8DHh31G2rWw7KISaJzZDUQqQX%2BZjgyG23%2BMrvBF8NleUxaJxbsToutkfrjt7B%2FHJU31OBkHxD6S32iR5lf3BXYlng%2FRbrDst%2FdWBxlIzzL9hPV7mjz0C1vG%2FJMPEOhIOLkcSbfhzXPpzVYL77Xkwd4jMNJqOvlHzJAMHZ0VlK3ThTCAPfeWzC27s1VMoGFnXaRvb96PqnhaaU5ji8dwm9DMDJ9%2FcIPezTWdaYWUdCA4X4ji5FXVUzttAPauHLGWwSaFBdc%2BGpO1PxuT3UzKmwBbx7ZC44zA4feGsVFn9e5Na8Jb1byjOP8%2FW8yBcrNSiITdo%2Fi%2BUjwVAy8PlJOW7ZH0STshalBT8YpVKknv9uitU%2BZ4sLU0GiX%2FQYLRvCYWyVvnmaEbl1%2BMcWFvN%2BU79N4RpuIhM07uC74oEm56j6akrOkw6HUitHIm8FzdjtGULSkozpfzOUni0TtuCwDG6Dn42cXjTUK0zbNkFB9vnchGIDGJR7%2BpgxEuZTKPHpYomva7SIZspYyJRzXjJz12Qojc2H%2FU6g%2Fiyt6qNIjQn%2FJGsq5sfpxCn7jeZBJKoaAkUqgBX4IhJ1oxzWN%2Ft3CzMqYaTyQfN%2BmpMERQdU4pralEj%2B1zvj9zHIVNmUgBV4EkOWiTbac79fJ%2BmFu68W3bafRycGLOuMcoxCXFnCbZyCTldtx1L4Zt17MPU%2FaMfksqjiaip4f1x1R3gb%2BcBWaNBAsRqvPBskU53wF3ajTXuFHtNt3TyHnZ%2FJgHvNbM5n5DjTmV3zglOj7yk0rbiTWqz2iTVUncXMbrFWxU62W4pz1%2F6rWFogTqy6J1mBJeUX4EwsYA%2BkoKHbSUtVvZVTU7m2wL3%2BUjwYMA9gjfgJGZXsLcOr5hgPfKKqMXTFlwKh6AdWIT1xNubMepA%3D%3D,12,3,1,0,1,#473637938,047,WIRELESS 4.2+EDR,NA,Headset,NA
19, Audifonos Bluetooth Qcy T1s ,26.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				126
				vendidos
			
		",(15 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.498
			
		
		 sin interés
		
	

	
		","
				$ 4.498
			",NA,Envío gratis a todo el país,NA,NA,4.9,8,https://perfil.mercadolibre.cl/AFRICCA+STORE,https://articulo.mercadolibre.cl/MLC-488306883-audifonos-bluetooth-qcy-t1s-_JM#position=19&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,7,1,0,0,0,#488306883,QCY,T1s,NA,TWS,NA
20, 2 Unidades Audifonos Bluetooth I7s Tws iPhone Samsung ,15.500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				129
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 2.583
			
		
		 sin interés
		
	

	
		","
				$ 2.583
			",NA,Envío a todo el país,NA,NA,1.0,1,https://perfil.mercadolibre.cl/CASALIVING,https://articulo.mercadolibre.cl/MLC-476398231-2-unidades-audifonos-bluetooth-i7s-tws-iphone-samsung-_JM#position=20&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,NA,NA,NA,NA,NA,#476398231,Samsung,NA,NA,NA,NA
