search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Formato
1116, Auricular Vincha Bluetooth Soul S800 Inalambricos Dbstore ,2249,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/DBSTORE,https://articulo.mercadolibre.com.ar/MLA-701134172-auricular-vincha-bluetooth-soul-s800-inalambricos-dbstore-_JM#position=9&type=item&tracking_id=7a031fcc-666e-484f-af1f-e7bf009ae600,NA,NA,NA,NA,NA,#701134172,Noganet,bluetooth,S800,NA,VINCHA
1117, Auriculares Bluetooth Inalambricos Deportivos Brazalete Running Gancho Celular Estuche Cable Usb Repuestos ,3180,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(15 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,17,https://perfil.mercadolibre.com.ar/TECNO-DELTA,https://articulo.mercadolibre.com.ar/MLA-765568495-auriculares-bluetooth-inalambricos-deportivos-brazalete-running-gancho-celular-estuche-cable-usb-repuestos-_JM#position=10&type=item&tracking_id=7a031fcc-666e-484f-af1f-e7bf009ae600,10,6,0,1,0,#765568495,SoundPEATS,TSW,Q12 PLUS 5.0,NA,In-ear
1118, Auricular Manos Libres Bluetooth Conexión Inalambrica Bici ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(245 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/BAIRES-IMPORT,https://articulo.mercadolibre.com.ar/MLA-800274416-auricular-manos-libres-bluetooth-conexion-inalambrica-bici-_JM#position=11&type=item&tracking_id=7a031fcc-666e-484f-af1f-e7bf009ae600,NA,NA,NA,NA,NA,#800274416,Unnic,running,Q10,NA,In-ear
1119, Auricular Moto Bluetooth 4.0 C/ Microfono Casco Glovo Rappi ,2229,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(5 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/DBSTORE,https://articulo.mercadolibre.com.ar/MLA-772922305-auricular-moto-bluetooth-40-c-microfono-casco-glovo-rappi-_JM#position=12&type=item&tracking_id=7a031fcc-666e-484f-af1f-e7bf009ae600,NA,NA,NA,NA,NA,#772922305,HELMET,BLUTOOTH 4.0,CASCO,EDR 4.0,Over-ear
1120, Auriculares In Ear Awei T2 Bluetooth Resistente Agua Tws ,2995,NA,"
			
				Nuevo
			
			
				
					 - 
				
				13
				vendidos
			
		",(5 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PREMIUM_SHOP,https://articulo.mercadolibre.com.ar/MLA-764745871-auriculares-in-ear-awei-t2-bluetooth-resistente-agua-tws-_JM#position=13&type=item&tracking_id=7a031fcc-666e-484f-af1f-e7bf009ae600,NA,NA,NA,NA,NA,#764745871,Awei,NA,T2 tws,NA,In-ear
1121, Auriculares Inalambricos Bluetooth Ie7 Tws iPhone-android ,249,NA,"
			
				Nuevo
			
			
				
					 - 
				
				294
				vendidos
			
		",(119 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.0,3,https://perfil.mercadolibre.com.ar/GROUPMHS,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=icCzhZSPbFiB6MExFFZ3V2a2EReaZtYSrrWmIhlKEI6cUW9AFb0wsmfVOTYla5tc9bUId67%2BYa6ZiSjzRmTA8pIkEF1gld3JMa%2FbRu2S%2BR2jnqr7lF9pwCnXB49B2HIQd%2Bp0sB5GU5PxzkVcaX6ugqW4BWSe8TUmth4XDskKA6fgKl%2Fjnk%2F0pXDRshSuqgxvJn%2BqtNMdbHcu0zs4uQ4xtwn9QaMx1hfvOcKU0vVikcxiB1mC2AmaUV79wg9SuvJkw%2BAu0vMc3Xl43BpdbE9JtyvwrBGLrapHBpO3RkM7fIEY2oInVSzlDE9bmcA4oV5PMJlhZUKFGiNykaugU0%2FCFaL9NFAMdEsmFk9A5apMEem4UCKpcYik38pDo4caI173LPoL%2B8FzQPeWKrA0K3sXr09jQR%2FZEBeE5EiIBZHFLp8wv2na1qDy2rSLEqom%2B%2BD5%2BCeamnhlFS%2BrqgORyvUDXBYEYONvTPQrbz6htG7YJsq59iHxggOr7tKHL4eXxg9YSznp0uvgRr2qwefgu0A2NnXhwgkyHfOWo%2Fs5soRjv2DJKEfE2330sXIogPGrxQ9PW8jcm2Tmb5idWUemcnt6VmMPADkBDYMrT6yd6tfM3yEsp9phOODo8S21%2BMQedzvT1AhSAVBC49mUnS6KiNPsw%2B0ul3nRzXIWCcgJ79mW9kpplD6MCVv%2BxeJIdYu9fR0Thd42%2FgqgtAn2luJIYm%2B%2Fiyn0Yi80zfXek%2B8dh6V6BlX0h8SXmoB0JC0UFMx%2FdhU9WMBC96TxHkccr8ivGfBnG0zfCnzMHCyjd0GGpZpScrm92yBQugIxEKpbEYoiIgsY5ZydYBDY%2Bx8rHrU8siD78ZFdhIQZXbNXY5OnZMfGYp5a9%2BItkHIj%2Fum65p78WZV%2BYZ6Dqoactse%2FC1Xhkt9icx%2BBwF9dRCna3XjUvgbNjKw%2FtU%2F3hCXS0I68j8wIuYhFnBY9OM0dIyxrMwKgn73v0Nv4Fu6vOoNlK%2FgxHzi1LLu9JzHM7LRVyea669BHi44SSh51iS0ncoyhxLLdZbQy%2BBtEiBJHFPan4xljN7p3XysppnBPTX9textrD9UgUkRn4LsEbgv7JNFhRgy1SGhOJsiYJfqrRUG%2BXqUqjBOzUBVz8Cjuxc3YOfR%2FdRaYd%2FD6PgYuyegWOfNJhQ44jaqflUtK0vXDlUqdIDJSyJDW30sbV6wC%2FECke3OjanZDdsO3dK4ltZpFlYsRwiz9B1Qhg9G4GF05arrRxYNDjzDrWyuFHa%2F8mC2OQNQDajHuvvwEfw64ilUqS%2FD8Uk8rCFFYOxhNf0OFSMD%2B8Zx0TANcUpVNbCgyWyTVX1H2%2B6lR72Ir6Q5Llmg2iK4Nq5oLdeCB7jsx%2BTLPnBU%2BUB6Xzb2CKWG%2FsxRhzJDTRHY92SIoasTIq0NiREJXiVxT6j3En6Dj%2B0WNzqZvTLRaMyGxuK07Rk8HkufoEn7Odi%2BYhi2Zz0zxQFJo7sKsW7X%2B5UFXBVluuHp6MVpjMmc1%2FHEkvCtX0gAl6lZaQJznz6q3ere7oMv7mRUeaDptPgBmQOE4YgFW4GMk2d9DB2HHMpWNIGJdjqKHFnod3%2FLlKqdHgDWNpeIaC3t9vOOuYWdv1dAjwj6R%2FywfVZ99gLUvALcYS8DJN4Zte%2FTL1DenUq0NROi3Ij9x%2BcBcYzEurflDDn3hE9%2FEwylWLfAyOF0YdFe4L4oIYCFEhqnp2cSWqlg1T066I2mbrZCBYKm9Q1jH3jP2yGNUR6%2BWuvupezMsor%2B9kxQIkSbL%2BmfkAvNxTcT9Gi390YQpIvJwplPghk4rnoFxCSBiINAXItd4,1,0,1,0,1,#778446967,Sowak,Sport,SS,NA,In-ear
1122, Auricular Lg Tone Bluetooth 4.1 Original P/ Motorola Huawei iPhone Samsung Xiaomi ,1749,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(497 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PUNTO_+DIGITAL,https://articulo.mercadolibre.com.ar/MLA-793178119-auricular-lg-tone-bluetooth-41-original-p-motorola-huawei-iphone-samsung-xiaomi-_JM#position=15&type=item&tracking_id=7a031fcc-666e-484f-af1f-e7bf009ae600,NA,NA,NA,NA,NA,#793178119,LG,Tone +,HBS510,HBS510,In-ear
1123, Manos Libres Bluetooth Inalambricos Qcy L1 L-ifit Magneticos ,2401,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(14 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TRISHOP2010,https://articulo.mercadolibre.com.ar/MLA-764356779-manos-libres-bluetooth-inalambricos-qcy-l1-l-ifit-magneticos-_JM#position=16&type=item&tracking_id=7a031fcc-666e-484f-af1f-e7bf009ae600,NA,NA,NA,NA,NA,#764356779,Samsung,QCY,L1 L-ifit,L1,Neckband
1124, Auricular Bluetooth Auxiliar Gadnic Inalambrico Plegable ,1799,NA,"
			
				Nuevo
			
			
				
					 - 
				
				55
				vendidos
			
		",(5000 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,329,https://perfil.mercadolibre.com.ar/BIDCOM,https://articulo.mercadolibre.com.ar/MLA-647972129-auricular-bluetooth-auxiliar-gadnic-inalambrico-plegable-_JM#position=17&type=item&tracking_id=7a031fcc-666e-484f-af1f-e7bf009ae600,237,50,26,7,9,#647972129,Gadnic,NA,T11,NA,Over-ear
1125, Auriculares Aftershokz Trekz Titanium Mini Conducción Osea ,8290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(992 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,8,https://perfil.mercadolibre.com.ar/RUPLESS,https://articulo.mercadolibre.com.ar/MLA-784842353-auriculares-aftershokz-trekz-titanium-mini-conduccion-osea-_JM#position=18&type=item&tracking_id=7a031fcc-666e-484f-af1f-e7bf009ae600,8,0,0,0,0,#784842353,AfterShokz,Trekz Titanium Mini,Trekz Titanium Mini,AS600M,Over-ear
