search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Formato,Color
1, Xiaomi Redmi Airdots Audífonos Bluetooth Originales ,99.4,NA,458,608,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,52,https://perfil.mercadolibre.com.co/CASESHOPCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-523095422-xiaomi-redmi-airdots-audifonos-bluetooth-originales-_JM#position=1&type=item&tracking_id=4e539040-6d83-44e1-a2ce-62d58c345a2b,38,10,3,0,1,#523095422,Xiaomi,Mi,AirDots,In-ear,NA
2, Audifonos Touch Bluetooth Auriculares Inalambricos Manos Lib ,118.99,NA,616,211,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.4,34,https://perfil.mercadolibre.com.co/KZCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-479127462-audifonos-touch-bluetooth-auriculares-inalambricos-manos-lib-_JM#position=2&type=item&tracking_id=4e539040-6d83-44e1-a2ce-62d58c345a2b,22,8,2,1,1,#479127462,NA,NA,NA,NA,NA
3, Audífonos Xiaomi Redmi Airdots Bluetooth 100% Originales ,99.5,NA,394,45,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,19,https://perfil.mercadolibre.com.co/PROVEEDOR123,https://articulo.mercadolibre.com.co/MCO-522280654-audifonos-xiaomi-redmi-airdots-bluetooth-100-originales-_JM#position=3&type=item&tracking_id=4e539040-6d83-44e1-a2ce-62d58c345a2b,15,2,2,0,0,#522280654,NA,NA,NA,NA,NA
4," Audífonos Sony Bluetooth 950 Bt, Llamadas, Sd, Fm + Envío ",70,NA,81,1,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,4,https://perfil.mercadolibre.com.co/CORALLI+SHOP2,https://articulo.mercadolibre.com.co/MCO-468838457-audifonos-sony-bluetooth-950-bt-llamadas-sd-fm-envio-_JM#position=4&type=item&tracking_id=4e539040-6d83-44e1-a2ce-62d58c345a2b,2,2,0,0,0,#468838457,Sony,NA,NA,Over-ear,NA
5, Audifonos Bluetooth Inalambricos Magneticos + Estuche ,21,NA,705,17,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.2,23,https://perfil.mercadolibre.com.co/GANGAD1G1TAL,https://articulo.mercadolibre.com.co/MCO-502127141-audifonos-bluetooth-inalambricos-magneticos-estuche-_JM#position=5&type=item&tracking_id=4e539040-6d83-44e1-a2ce-62d58c345a2b,13,4,5,0,1,#502127141,NA,NA,NA,NA,NA
6, Audifonos Bluetooth Inalambricos Manos Libres + Power Bank ,95,NA,113,11,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,7,https://perfil.mercadolibre.com.co/GANGAD1G1TAL,https://articulo.mercadolibre.com.co/MCO-517130602-audifonos-bluetooth-inalambricos-manos-libres-power-bank-_JM#position=6&type=item&tracking_id=4e539040-6d83-44e1-a2ce-62d58c345a2b,5,2,0,0,0,#517130602,X8,TWS,X8-TWS,In-ear,NA
7, Audifono Bluetooth I7 Tws Mini + Base De Carga ,49.9,NA,556,15,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,3.5,15,https://perfil.mercadolibre.com.co/MARIACLAUDIAGUEVARAPICO,https://articulo.mercadolibre.com.co/MCO-479550378-audifono-bluetooth-i7-tws-mini-base-de-carga-_JM#position=7&type=item&tracking_id=4e539040-6d83-44e1-a2ce-62d58c345a2b,7,1,3,1,3,#479550378,NA,NA,NA,NA,NA
8, Audífonos Bluetooth Inalámbricos ,45,NA,413,198,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,3.2,19,https://perfil.mercadolibre.com.co/BELLAYVITAL,https://articulo.mercadolibre.com.co/MCO-488555518-audifonos-bluetooth-inalambricos-_JM#position=8&type=item&tracking_id=4e539040-6d83-44e1-a2ce-62d58c345a2b,7,3,2,1,6,#488555518,NA,NA,NA,NA,NA
9, Audífonos Manos Libres Bluetooth Deportes Varios Colores ,49.99,79.9,979,94,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,113,https://perfil.mercadolibre.com.co/DIMEGATEC,https://articulo.mercadolibre.com.co/MCO-447759538-audifonos-manos-libres-bluetooth-deportes-varios-colores-_JM#position=9&type=item&tracking_id=4e539040-6d83-44e1-a2ce-62d58c345a2b,88,16,6,1,2,#447759538,Genérico,In Ear,S7,In-ear,NA
10, Audífonos I7 Mini Bluetooth Inalámbrico Los 2 Auriculares ,54.9,NA,375,100,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,3.4,16,https://perfil.mercadolibre.com.co/SHOPPING--WEB,https://articulo.mercadolibre.com.co/MCO-467311073-audifonos-i7-mini-bluetooth-inalambrico-los-2-auriculares-_JM#position=10&type=item&tracking_id=4e539040-6d83-44e1-a2ce-62d58c345a2b,7,2,2,1,4,#467311073,HBQ,NA,NA,NA,Blanco
