search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Color
1, Audífonos Sony Noise Cancelling Bluetooth - Wh-1000xm3 ,1.119.900,1.699.900,"
			
			
				
				21
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 31.108
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,8,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-508155527-audifonos-sony-noise-cancelling-bluetooth-wh-1000xm3-_JM,8,0,0,0,0,#508155527,Sony,WH-1000XM3,NA,NA
2, Audifonos Touch Bluetooth Auriculares Inalambricos Manos Lib ,118.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				588
				vendidos
			
		",(239 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.305
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.4,33,https://perfil.mercadolibre.com.co/KZCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-479127462-audifonos-touch-bluetooth-auriculares-inalambricos-manos-lib-_JM,21,8,2,1,1,#479127462,NA,NA,NA,NA
3, Audifonos Bluetooth Deportivos R1 Microfono 5 Horas Obsequio ,24.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1154
				vendidos
			
		",(960 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 692
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.2,50,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://articulo.mercadolibre.com.co/MCO-488593898-audifonos-bluetooth-deportivos-r1-microfono-5-horas-obsequio-_JM,28,11,6,3,2,#488593898,BlueKatoom,R1,In-ear,NA
4, Audífonos Bluetooth Xiaomi Redmi Airdots + Cable + Estuche ,139.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				428
				vendidos
			
		",(32 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.861
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,37,https://perfil.mercadolibre.com.co/CRONOSELECTRONICA,https://articulo.mercadolibre.com.co/MCO-513799922-audifonos-bluetooth-xiaomi-redmi-airdots-cable-estuche-_JM,29,6,1,1,0,#513799922,NA,NA,NA,NA
5," Audifonos Inalambricos N65s Micro Sd, Fm, Bluetooth Lcd 1.5 ",28.999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				670
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 806
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,22,https://perfil.mercadolibre.com.co/OFERTA+USA,https://articulo.mercadolibre.com.co/MCO-453313132-audifonos-inalambricos-n65s-micro-sd-fm-bluetooth-lcd-15-_JM,16,5,0,0,1,#453313132,NA,NA,Over-ear,NA
6, Audifonos Bluetooth Inalambricos Magneticos + Estuche ,21.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				630
				vendidos
			
		",(92 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 583
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,20,https://perfil.mercadolibre.com.co/GANGAD1G1TAL,https://articulo.mercadolibre.com.co/MCO-502127141-audifonos-bluetooth-inalambricos-magneticos-estuche-_JM,11,4,5,0,0,#502127141,NA,NA,NA,NA
7, Audífonos I7 Mini Bluetooth Inalámbrico Los 2 Auriculares ,54.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				374
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		36 cuotas de
		
			
				$ 1.525
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.3,15,https://perfil.mercadolibre.com.co/SHOPPING--WEB,https://articulo.mercadolibre.com.co/MCO-467311073-audifonos-i7-mini-bluetooth-inalambrico-los-2-auriculares-_JM,6,2,2,1,4,#467311073,HBQ,NA,NA,Blanco
8, Audífonos Bluetooth Inalámbricos ,45.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				308
				vendidos
			
		",(43 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.250
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.3,15,https://perfil.mercadolibre.com.co/BELLAYVITAL,https://articulo.mercadolibre.com.co/MCO-488555518-audifonos-bluetooth-inalambricos-_JM,5,3,2,1,4,#488555518,NA,NA,NA,NA
9, Audifono Bluetooth I7 Tws Mini + Base De Carga ,54.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				523
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.525
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.0,11,https://perfil.mercadolibre.com.co/MARIACLAUDIAGUEVARAPICO,https://articulo.mercadolibre.com.co/MCO-479550378-audifono-bluetooth-i7-tws-mini-base-de-carga-_JM,6,1,3,0,1,#479550378,NA,NA,NA,NA
10, Gafas De Sol Con Bluetooth Micrófono Compatible Android Ios ,33.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",(60 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 942
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/FRAN+LINK,https://articulo.mercadolibre.com.co/MCO-505269558-gafas-de-sol-con-bluetooth-microfono-compatible-android-ios-_JM,NA,NA,NA,NA,NA,#505269558,NA,NA,NA,Negro
11, Audífonos Bluetooth Deportivos U8 Anti Sudor 6meses Garantia ,49.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				990
				vendidos
			
		",(473 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.386
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,48,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://articulo.mercadolibre.com.co/MCO-468795741-audifonos-bluetooth-deportivos-u8-anti-sudor-6meses-garantia-_JM,30,17,0,0,1,#468795741,BlueKatoom,U8,Clip-ear,NA
12, Audífonos Diadema Sony Mdr-xb400by Extra Bass Bluetooth ,44.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				143
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.247
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.0,5,https://perfil.mercadolibre.com.co/MYMTECNOLOGIC,https://articulo.mercadolibre.com.co/MCO-501567032-audifonos-diadema-sony-mdr-xb400by-extra-bass-bluetooth-_JM,2,1,2,0,0,#501567032,Sony,NA,Over-ear,NA
