search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Color
11, Auricular Inalambrico Bluetooth Manos Libres Tipo Airpod ,3.790,NA,"
			
				Nuevo
			
			
				
					 - 
				
				170
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 316
			
		
		 sin interés
		
	

	
		","
				$ 316
			",NA,Envío a todo el país,NA,NA,3.0,2,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-460325127-auricular-inalambrico-bluetooth-manos-libres-tipo-airpod-_JM,NA,NA,NA,NA,NA,#460325127,i7,I7,Headset,NA
12, Audífonos Bluetooth Auriculares Inalámbrico Caildad!!! ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				466
				vendidos
			
		",(259 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.665
			
		
		 sin interés
		
	

	
		","
				$ 1.665
			",NA,Envío a todo el país,NA,NA,4.7,36,https://perfil.mercadolibre.cl/MUNDOMAGIA%C3%91U%C3%91OA,https://articulo.mercadolibre.cl/MLC-447161588-audifonos-bluetooth-auriculares-inalambrico-caildad-_JM,30,3,2,0,1,#447161588,NA,NA,NA,NA
13, Audifonos Bluetooth Qcy T1s ,26.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				94
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.498
			
		
		 sin interés
		
	

	
		","
				$ 4.498
			",NA,Envío gratis a todo el país,NA,NA,4.9,7,https://perfil.mercadolibre.cl/AFRICCA+STORE,https://articulo.mercadolibre.cl/MLC-488306883-audifonos-bluetooth-qcy-t1s-_JM,6,1,0,0,0,#488306883,NA,NA,NA,NA
14, Audifonos Pioneer Bluetooth Aptx Hi-res Se-ms7bt ,69.990,119.990,"
			
			
				
				90
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 5.832
			
		
		 sin interés
		
	

	
		","
				$ 5.832
			",NA,Envío gratis a todo el país,NA,NA,4.8,12,https://perfil.mercadolibre.cl/MUSICWORLDCHILE?brandId=183,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=f%2ByGaa94Bk3aR95YtSf8%2FVR0dscGVj9ObR4QS1bJ9FxacBPQqB5BOonqqTHmlMwDY32TKA6qOtJfM2AIMPB%2B%2Bu8orU%2B53xx4hDy0efz2ZhBP%2FAaTgxrgCCclLjlszkCHliBem0z5IbAi2MtCw4Wo2OV34%2BEeIU4ONM6qHbf1jDWyp0ebd6hvrAFxW3XvOhUmy2s3B4uKgwnt1zw0oS2K2QOPqCFzzzh5Az9Le8f7ZscS1qLBXjgdeK0tOfw%2FUYks6XDlHRYj%2FaDhBi2GosIJptGkfAdkeK5Uow999xtstKb%2FZPNv9xkdlvSpRwj8HSg0rOO8Xka31s%2B0spyI%2BwYcgdr1payu%2FJvjWThLyqlBPa74I0In6ZFrGhh5tUxAgIuzmTmoOUB7s51blcmrstQGCWstZqHzHXz%2F5yGxlBSxhqh9HdNJK%2FcpiIqckr%2FVFysTM0tpsgg8jXVbT8%2BW37lcMIZVvCZT%2BeZK3n1AX7CTHeTIdAKPX9PU9gIDvIet5%2B%2BQIn5kZifqCDLoiGU48gJZcVr3XkIqCsA9YgYt1zLCoVMwXKN%2FIos0w6dTpH2hN3gRiWEknAhUW4QnywmhoJvFhDUVhS2gNsAizTp3xb2Gv5%2Bnx0YBTnPO0No%2Fm%2BIgIohpg6ZofW%2BXmrGZBgONYBddo5KcvXdCOBXesT6Z0AAyZ9%2BVRTotdEVwAVkPrz4l%2BrsjnhlkY0aLG8WleuqcvQtvpsImzTNp7JKtGUlSVvKkSotctbxgkVtdtVcKW0xxhUmmovcMhAMk2uu2ghIsCvRpWu%2FuG7%2Fnd0SgI79IqyQNNvtRtd393rWoGqY82WOuVMYEHx0MmsMPE35kvPYg%2BL5PauGU0k2tnLdEPDdQn7l8ePN%2BTejLTt2RMY%2FnV7evOz2w0oO%2BFL3YTuVcYEelqTU7JvZTGD7q4ggrKpeEuoEv89rKACD5fMeZA1j1B%2FxO%2F5N%2BEP1602JJk2nzyV6rYEh4ici%2B8KbIwIhE7STDarAjk8rPDp2VJt1pXh5SP2mCe6EoZ3M4U5czjcSdBU0OcDNoxBTz9Hku5VrY0UMU3q%2FFQKjSzlybYX3Vn3f%2B%2B6BuOTZ3iLYmq7znt0TRCNl2SPN24TU%2Bp6iR%2BWnPDv38epS9pkR7nS29oev8Os3T%2B%2F3VzMRC9NhZ5yes38Xf4CBKdFClQUUmRiKcRgFu%2BLFJY1h1IVl2RF7tPtibSQrmOLNYQEASZUF1pGYw1TNP0qTt5u587TCcEK5OP3JRW6msYT6D4G9U2ymK4Douk9Py4Z37RiZlNKcDZ2A8ndHiOzgI4LOBHajw13moO9K8PMmK9HIyboiRuRJsNB7BS%2B7s1ugVnDF8lUaru0ziYC0fgkIPc1jNvjedXOy2vxfXBZQ%2BtIXjiXherO7YbIOEo1hqNOPwIwRGyqjqSmlqeGXKYak82kgE1ND4TeVbILVHli4QNnnlOp50tJocy0PY%2B7mTmEbr1P%2B7G6l5Ik2CB6%2BAUTf2M1FVbNd5BLtiHRj%2BsUkn5WOAn1CXaIhN5e21CyMf%2FpEICUxAwRZaRj%2FtS5CV8LyMzgEqr4pVkCbJ4CcZ,10,2,0,0,0,#445968498,Pioneer,SE-MS7BT,NA,NA
15, Audífonos Bluetooth - Con Reducción De Ruido - Zealot B20 ,17.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				94
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.492
			
		
		 sin interés
		
	

	
		","
				$ 1.492
			",NA,Envío gratis a todo el país,NA,NA,4.9,8,https://perfil.mercadolibre.cl/LEMUS.NICOLAS,https://articulo.mercadolibre.cl/MLC-464861559-audifonos-bluetooth-con-reduccion-de-ruido-zealot-b20-_JM,7,1,0,0,0,#464861559,Zealot,NA,NA,NA
16, Manos Libres Bluetooth Mini Auricular ,3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				323
				vendidos
			
		",(37 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 332
			
		
		 sin interés
		
	

	
		","
				$ 332
			",NA,Envío a todo el país,NA,NA,4.0,4,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-465965042-manos-libres-bluetooth-mini-auricular-_JM,2,0,2,0,0,#465965042,NA,NA,NA,NA
17, Audífono Bluetooth V4.2 M5 Deportivos Magnéticos ,4.999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				65
				vendidos
			
		",(34 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 417
			
		
		 sin interés
		
	

	
		","
				$ 417
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-473455109-audifono-bluetooth-v42-m5-deportivos-magneticos-_JM,NA,NA,NA,NA,NA,#473455109,NA,NA,NA,Roja
18, Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos /04126 ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				951
				vendidos
			
		",(216 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.5,14,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=JGzeJ5o%2F%2Bc45UCjisGUlmao1%2BWxpPOjZnBxg8XR7dD9mMqGVVmFsanJc5%2Fq0o3oyPamgXkmxUmwNFdwiary58IKsKW9ZcAVox7FM4sMdjXSoWFNY68johTgVP%2BiSB80tKv2VEAC1d4oN%2BRjzX0boKNMVG%2BXQD0EIzNSiSu7pPJ2Ef2Bql0u6ur%2B%2BuKDxzU4VfSr0WZ2AnRO2FtvE0Kes9QDMdMOrh%2Fi%2FU8D%2BCsLWA2ok0OJTj2pIBR0u8LULiWx%2BcX7vjOGJu9Cr6t1KBUZF26C%2FgNdUyrj%2Fkt4rFIcJN7g2q611WkLrVuwMcqplVBUvx2tas6%2B6a7p7zQaSOGaM%2FgSEAOizoM%2F0f%2FVbGG5y06uUZehSUh7KuMESTBh0jhAlysHFsfimP9QrwOyvEk5SUhdP082EiBr%2FQOVNR%2FmE5TOk0epXvEBaVhRIs0OOY3AMtdDTP9nCG10aVWi9LaIokMCKOWvwDtuh8DfMu36mzIG7QHTyHcuDmf4pQye4DTsL0kxjrjO2SyL%2FkFPxkQCcatN5gvjBk%2FWmah4prl%2FOxIi8mXy4lrMVuLLWX6Mf0eXCnbhsKwcuF4WJ6y9dJq2Lq6eZaOupYVWjpp%2B9PE8V%2B%2FWgu%2BlMuzOliRNG1yQ1BUOMKQJNN%2BGI0aj11TxEKMc9cqpiXbDTf%2FPYFv1O%2FeK2tSohWsVny5nq0ZKr4ygVwiQiQGBEKv7HNh0iu5o9iDkKKhRzhZ81barPdRWW6%2Bixcju9so1J5XK7hsoRP2IKlr3nd%2BgvArpCuljLoe21yzJOBXW4M9Mowga%2Fm19MU4BUgzAAog%2BRzg%2BO0oH7jR5jn%2Fzdy9kvdB178Le7p%2Ft%2BInO%2FBndk4PVD1XAgj6xIXS1KEnIZWh7Hg49T7Z02qGSx%2B75rPYKp5KMZ7gW1bhFY4aeEGXBrYTBOrs%2BmFIzjj46BKIN8g28sD%2BlnLee%2FkDMD0CGUHnY%2B3Puu%2Bht6GXAfWz6Eh0T%2BaRpf9o1QGhFPpPzdrmJSSD%2B%2F28JnKKOEaRUm4amubjtv3M3CRRdkSbaw6ySXz8oD4r7lsuWKu1Do4mdXR%2BBKdy24o4arIXmHTC2yymxiq%2F5jbjbEuZB6TuHlvAAh8qKrQkGOjG1GlyinH3SJwLoJdoOUZHGEMa54rHxY6zsQR56Lt1ChdqMEPuV%2FEVN30EiSS9ssxYi6m5EzPZzNfrddGZJ431MehnCk%2Fb9zAhjZHJy1w0SZaIB92vusDo3jpdfdhUB8T8lhDM9ez3aHN%2FJiyhnZMlM%2FliaI0Pl3MMlZMCYHCFDiz%2FXAxEq4vLt%2BxSE3zQMWtGBFHqLwqfPzUS1YWcfItpju07db7fipH9jjR4%2F5V9ARcy%2FchMPUB4tauwskecFjAr6sMDA9qVST%2Bexnu4DUViVOHtB05VLJtJRiDu2N6gQhP8DYrXTz0Cpv8rNYTfQwvuZQOkuGGAZA6fPCr%2BsUXkSkudBV1grBUYHOlFqtRYmXscrh8c1QmsIaKaXKQOiC4jdXXFYUaxsG8%2Fg1Y639RNdOsa3MJhsCbKgtxldNGQdXy2dIIAjWGbSxi1rVLtOID9KtGAlrMl31VRjTWrQ%3D,11,1,1,0,1,#473637938,047,WIRELESS 4.2+EDR,Headset,NA
19, Audifonos Bluetooth Estéreo Deportivos Hifi ,2.990,4.990,"
			
				Nuevo
			
			
				
					 - 
				
				187
				vendidos
			
		",(92 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 249
			
		
		 sin interés
		
	

	
		","
				$ 249
			",NA,Envío a todo el país,NA,NA,1.0,1,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-462977061-audifonos-bluetooth-estereo-deportivos-hifi-_JM,NA,NA,NA,NA,NA,#462977061,NA,NA,NA,NA
20, Audifono Bluetooth Universal Inalambrico Para Deportes ,3.990,7.990,"
			
				Nuevo
			
			
				
					 - 
				
				650
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,2.5,11,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-436105516-audifono-bluetooth-universal-inalambrico-para-deportes-_JM,1,1,3,3,3,#436105516,NA,NA,NA,NA
