search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Cor,Potência de saída (RMS),Formato do alto-falante,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Configuração de canais,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Voltagem,Quantidade de alto-falantes
1, Caixa De Som Bluetooth Jbl 60w - Jblboomboxblk ,1689,NA,"
			
			
				
				60
				vendidos
			
		",(28 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 14083
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,NA,NA,5.0,1,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1028982824-caixa-de-som-bluetooth-jbl-60w-jblboomboxblk-_JM,NA,NA,NA,NA,NA,#1028982824,JBL,JBLBOOMBOXBLK,Preto,60 W,Caixa,Auxiliar,80 dB,260 mm,180 mm,460 mm,5.18 kg,NA,NA,NA,NA,NA,NA,NA,NA,NA
2, Caixa De Som Bluetooth Jbl 60w - Jblboomboxblk ,1641,NA,"
			
			
				
				8
				vendidos
			
		",(28 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 15686
		
		 sem juros
		
	

	
		",86,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1028962679-caixa-de-som-bluetooth-jbl-60w-jblboomboxblk-_JM,NA,NA,NA,NA,NA,#1028962679,JBL,JBLBOOMBOXBLK,Preto,60 W,Caixa,Auxiliar,80 dB,260 mm,180 mm,460 mm,5.18 kg,NA,NA,NA,NA,NA,NA,NA,NA,NA
3, Caixa De Som Portátil Jbl Wind P/ Moto E Bike P2 E Bluetooth ,168,NA,"
			
			
				
				799
				vendidos
			
		",(82 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1615
		
		 sem juros
		
	

	
		",15,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,926,https://perfil.mercadolivre.com.br/GIRO+R%C3%81PIDO?brandId=2104,https://produto.mercadolivre.com.br/MLB-1073888661-caixa-de-som-portatil-jbl-wind-p-moto-e-bike-p2-e-bluetooth-_JM,749,120,39,6,12,#1073888661,JBL,Wind,NA,3 W,Caixa,NA,NA,NA,NA,NA,NA,falante,Ativo,bike e motocicleta,5.1,20 kHz,20 Hz,NA,NA,NA
4, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,35,43,"
			
				Novo
			
			
				
					 - 
				
				4764
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 651
		
		 sem juros
		
	

	
		",51,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,213,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1154024173-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,164,20,16,3,10,#1154024173,Goldenultra,Torre,NA,10 W,Torre,USB,NA,NA,NA,NA,NA,Subwoofer,Subwoofer,Portátil,5.1,NA,NA,Caixa de Som,NA,NA
5, Caixinha Som Portátil Bluetooth Fm P2 Mp3 Cartão Pen Drive ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				3871
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 656
		
		 sem juros
		
	

	
		",56,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,248,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175510231-caixinha-som-portatil-bluetooth-fm-p2-mp3-carto-pen-drive-_JM,214,18,8,4,4,#1175510231,Goldenultra,GT-356BT,NA,8 W, ,"P2,Leitor SD, Usb, Auxiliar P2",NA,NA,NA,NA,NA, , , , ,NA,NA,NA,(Bivolt),NA
6, Caixa De Som Amplificada Portátil Bateria Bluetooth Usb 500w ,169,NA,"
			
				Novo
			
			
				
					 - 
				
				3016
				vendidos
			
		",(271 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1624
		
		 sem juros
		
	

	
		",24,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,120,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1089428322-caixa-de-som-amplificada-portatil-bateria-bluetooth-usb-500w-_JM,74,26,7,6,7,#1089428322,Grasep,DQ-9,NA,20 W,Torre,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",NA,NA,NA,NA,NA,"Subwoofer, Twitter",Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",5.1,NA,NA,NA,NA,NA
7, Caixa De Som Amplificada Portátil Bateria Bluetooth Fm 1200w ,205,NA,"
			
				Novo
			
			
				
					 - 
				
				1231
				vendidos
			
		",(203 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1966
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,48,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1114227033-caixa-de-som-amplificada-portatil-bateria-bluetooth-fm-1200w-_JM,31,9,3,2,3,#1114227033,Grasep,D-Q10,NA,30 W,Caixa,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",NA,NA,NA,NA,NA,"Subwoofer, Twitter",Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",5.1,NA,NA,Voxcube,Bivolt,3
8, Kit 10 Mini Caixinha Som Bluetooth Portátil Usb Mp3 P2 Sd ,81,NA,"
			
				Novo
			
			
				
					 - 
				
				197
				vendidos
			
		",(90 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 780
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,7,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=aY3gRIKq1nkSLTY6%2FumQIIWhUGOLrt6wqeOWs2MT2M1wSmUCuwWnuk%2FuH%2BxPI55Qx7HN0Q0mZwTafjq7dhjymGX9NkX7S41NMrwaerBgLKADhvvoKCnOq%2Fmeir3VT9ImkZC0rLdnTC5AF04GdC0jixW9w6PTCjD%2BUDjfvVTs0u9jPgyhj7T1W8Qfb%2BpclefBxDwOeKWe%2BZ5rT8gTgohwTux5CHkpv1AyhC6WWahQgsGN1itpBUWE0rDHBCE3f84UpWd40RXlQSSNpgo0PpmSfD5%2BUBtiNgqvU54DGiLBECzq4Vhltx9M53p9ZQIhRDz2wiXNs8oTAuNgy8D8eIXvmk3e7L4TfFC1Q8Pb7M8JuMcOb%2Fu3KQ5AYpHkIigp1qG5eWujnYC1ZM8jjbtw6gcCkXAOByf1LSedmxY5b9U2tWctH6jJ7dW%2FlTx3bHPQ08ltATfNXoeu0cDeVJFrh%2FoAnwmZe%2B%2FRRfiM%2Fw7URCT21P5ICw6PtI%2BPsZnBWKGYd6teqYmRdOR51k%2B2c3AIe9g0bmf5c%2Bd1mhGicxLEJ68XSazNNPQSkYuXHYEXOGfB4iXQ61kynRt%2B%2Fyr2yWqyLvKeHn39%2BQtKfjRlV8ceME3qxI6fEKXRivUPDK7jPLSHLWm2PkC4AgvW%2BgtVPjLVaJ2YGIcTosAZhIIi0%2BsNQnfp26c%2B%2FuvLhCqsfBce%2FOu5MyG6OK5smvFYnJwRg%2FSCnV0oXGXFZzdPGtckLAK%2Fwgflpu%2FfAbG9ZKUBCVoWikXmLnLtAvD2clX1auwtyVG%2BbhFidDl0pq2MwFyJBzVTNBdmWra1QTQvPe1q%2Fd2tXjMBXnViVJGZr3MRhdf88HZhTQLu%2BYKK6u6MmRNXwBasXphAwIXn5VpKsPk%2FeCDJQ3y8XNOf49Htx0dtaZTqz2q5cALM3ucxzvxtQjjYcoZesFPC1opzBotsZY3W5b7r%2FyFhIVg4Wnn9lBAU54PxzCVv0ESe554BZ1vfdRyLI2NTCUOH5nIzzOgjbAR1JKkSfwIJC4qh87mjnTLFT1Q%2Fd8H4vuemqvO8XylfhlrG6cc2KDIXwPxyT2tQb%2F7w4SjV58xQlUjeMxEGQrk0DekK1uNYcxT2BW9%2BVZzcgg9PIBJ3Y2S8pWmD8A%2Bf7DGANS8UEyOhNpv9lOQ3%2BtuDe3sKFCUNHI4WrQPwjItft6OeFBvbxgGloHqSf8N1kcAVFExG8SVWuatF%2FBm3tLhgCVmEkKAsFvoZkIHoa6jINj%2BnMiWDmbjpRnTQT10asUtl1rYtQQBaj8kzyrGlbakeZX0Mgu9dAP2LlkjRtenu84TcW5QTLuN3UNLa4QKdTnINrpALY1E4kVLy4IoL%2Fnj7IygLPatQU1DAly40B4HSRTyocc%2B%2Fwu1bM7GMpx7aFQSmW0rv0oUi8oykvqTR5SHeuHHpaTyap4pItrZ%2F9NisedQksrUpPPApY1ZWIdlki918kpgqTq7N23FDfrlghz1H8j4h79KfmXGQ6ck5Da4SrzAoOqxwqeLMkxQGctz7n4AIPzGzZX2Eyx16xpZVdVx1JUff7PbAen9Y%2BSVs7Lt6oSUifXaT24vaD0dJNO10MWBG%2FjPKkN6FYTCAfnFe5lnt5ObBqhLGVcXW2908PgYuiGcho9fYsRLlyJY3h%2FzITwnexjTo6oZdjHEFjv%2B1Xr2%2FQ6mY6fIfJviXIF4UIWiSvZpyTytOUwAcR8EOVEqwI4jQ242QtQfCnaNJobioFl3fXinCztWuOzdLYvh60XIKWF5J4hqVqKDXRZ3yyFAZsyfhOVIlc3rMhT4fP9XRARivtWSISv9AuqOHxrCItYBL5mXLsyx04CSj9hi09NabQMIcd79FInTYzOjwKkvZPFxxda8J1s%2Fye4Qx,6,1,0,0,0,#1098269036,Grasep,Bluetooth Potente,NA,15 W,Caixa,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",NA,NA,NA,NA,NA,"Subwoofer, Twitter",Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",5.1,NA,NA,Bluetooth,NA,2
9, Caixa De Som Bluetooth Amplificada Portátil Microfone Grátis ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				12879
				vendidos
			
		",(44 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1529
		
		 sem juros
		
	

	
		",29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1295,https://perfil.mercadolivre.com.br/BREVISTORE,https://produto.mercadolivre.com.br/MLB-757364044-caixa-de-som-bluetooth-amplificada-portatil-microfone-gratis-_JM,798,262,122,45,68,#757364044,Infokit,VC-M874BT,NA,12 W,Torre,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",80 dB,17 cm,14 cm,36.5 cm,NA,"Subwoofer, Twitter",Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",Bluetooth,NA,NA,Bluetooth,110/220v ou USB 5v,3
10, Caixa De Som Jbl Boombox Bluetooth Preto Original Full ,1799,NA,"
			
				Novo
			
			
				
					 - 
				
				196
				vendidos
			
		",(20 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 15000
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,116,https://perfil.mercadolivre.com.br/STOCKCARNET,https://produto.mercadolivre.com.br/MLB-986918342-caixa-de-som-jbl-boombox-bluetooth-preto-original-full-_JM,101,6,2,3,4,#986918342,JBL,Boombox,Preto,60 W,Caixa,NA,NA,NA,NA,NA,NA,Subwoofer,Subwoofer,De piso,5.1,NA,NA,caixas portatil,Bivolt,NA
