search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Cor,Potência de saída (RMS),Formato do alto-falante,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Configuração de canais,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Voltagem,Quantidade de alto-falantes
11, Caixinha Som Potente 80w Bluetooth Caixa Amplificada Mondial ,207,NA,"
			
				Novo
			
			
				
					 - 
				
				796
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1732
		
		 sem juros
		
	

	
		",32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,32,https://perfil.mercadolivre.com.br/ENCOMENDAMAIS-SP,https://produto.mercadolivre.com.br/MLB-1147417505-caixinha-som-potente-80w-bluetooth-caixa-amplificada-mondial-_JM,24,4,3,0,0,#1147417505,Mondial,MCO-07,NA,80 W,Caixa,NA,NA,22 cm,12 cm,32 cm,2.2 kg,Subwoofer,Subwoofer,Alça para Transporte,Digial,NA,NA,Thunder VII,Bivolt,NA
12, Caixa Som Musica Caixinha Smartphone Android Bluetooth ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				1788
				vendidos
			
		",(99 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 731
		
		 sem juros
		
	

	
		",31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,115,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-910970810-caixa-som-musica-caixinha-smartphone-android-bluetooth-_JM,105,8,2,0,0,#910970810,Wireless Speaker,HF-Q3,NA,5 W,Caixa,USB,NA,9.5 cm,9.5 cm,10.8 cm,480 g,Woofer,Ativo/Passivo,Mesa,2.1,NA,NA,Portátil,5V,1
13, Mini Caixa De Som 8w Rms Bluetooth Rádio Fm Sd Auxiliar Usb ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				1222
				vendidos
			
		",(17 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 609
		
		 sem juros
		
	

	
		",09,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,31,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-1019314215-mini-caixa-de-som-8w-rms-bluetooth-radio-fm-sd-auxiliar-usb-_JM,21,4,5,0,1,#1019314215,Importado,QS-505,NA,8 W,Caixa,USB,80 dB,NA,NA,NA,387 g,NA,NA,NA,NA,150 kHz,18 kHz,NA,NA,1
14, Caixa Caixinha Som Portátil Usb Bluetooth P2 Fm Mp3 ,649,NA,"
			
				Novo
			
			
				
					 - 
				
				47
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6203
		
		 sem juros
		
	

	
		",03,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,14,https://perfil.mercadolivre.com.br/ANGELO+GRAMINHO,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=12QeC6ax9kXR5KYtLN3TgLXcKdDUNlIfnMm7lsm3ixF%2B1B%2B10Ktn9rCtB03lsiuPLdnSvC%2FvEcQbfeGtfmWRx04%2F3TkcC%2ByDarhj1IxQcSuF5Bjj69CuizDwvwmZKEj3HzwDPqhGRcVllbA5zJ8JtR8cqmB76Rf6r%2F0S91x6N7EfoUVk4QK9ycYwLz65DRk8%2FfEUSEh5EOdZpYaeUS3pp3VS9bpQrtlgg%2FF%2FMc6JltRCTyA%2BgT1J%2BEfYJNBWOFPUnghnNdSqZMEFnJFUYxPvUOOoMEqbpwdMIdqaR4KdkWOBdiOSIW9%2FzxlMhzVpWubCvR06IpR449ZzMOkpDxOXtfqPYHvlELoEMaMRVUTnixGGddggnQX3M9IeHvaO7TVSbKP5ZHQtJg1TF2%2FNf%2FIfFxWpde%2FJxQhldisy8aO3v3XMGfeQ9GXH4SwxswmHf1L9nF8W5KKK8FEGlcjw3ksGDRKFdL0pb7t%2FTMyCXunNHneCZosiPznrqk9RofhVaoR%2BzHiXlGRrVdrMNpe76As0cniIRX9om0H0B%2Fb7CB%2B9iZq2jgPacWPEs0tLKwP%2F%2FqeWXmvZ6kATpI8iQARLXQVylcb1xnu23%2BWb0ibCd9OVhbE6ugFD63IZHgl027Ijt%2Fzrc2xcVZe%2BBFGebNG6UKkkzKrAQ7Pcc03wwvljcqoTmbgUoYjrj8PjxJzfdL%2B8NNjSHEmYquIMo3fIayVGZ0yllq0SLesqVbHe5G2pYiMnlxUivTKkIHyteaoJnqPvY8FwzPxZJiXeAmgwlxp5YcUYPcdaS1fcUUwtLx76xOLiae7GqL0Li9ZA1jXo8sYpdkQvPIdMzgLboRISz2yLgdinO6QA8oucIE9IxPexebSc2HVFfyW3aCBiVckgahanMJpgWVYysigQN2J0%2Fq%2Ff3nEJlFYkqGBT%2FRBvCDNskkUh6araUDr0HZZtCEpgxLGhJbrxeFULEItJBZzhA7qDzxUPdhqt3%2Fd4%2Fa54BN4K6vl5TpN78FcLPPZZfhk5OztOVFDy9AFc15GMeeAA3utvv5A5oibB08Jj4a4yN6Pv8RJk%2Fo3IIV5IUb66YsK7F6Q1fKGJD0O4037E9gU4Otjf47ClGgYmYga0gswQebD6w4umpgr9e1kX6gH8G3EUus34xMVAyo4vo6AZTnI6I8zb1w0X4YyqOhXyEDI3LUCZkJSb1spILCSNiflQ7GHN%2BtVG6wmT3usI1e7K3vb7NHbYBbDmlCxxM7iT6A3h1P76zfFLLq0ELEPjwIPK%2BJFjqIFl4GT2gNOdtsXe2LE4%2FUVlcD1WPobUE1ulR%2Fh11tEc5Czo2wQIELNdINfRr4yj%2FHrIuh4ffm3TDyAOJ9n6HwunwxO7mDSwsA3CaeUDD4GeRPXP2S2qiVNZ4TBpbt1s4BvVd%2Ba2gkiykYttv%2FUm%2F19ys6FjUD3sRP6BCIQGbFi1z%2BUy7hDOY6JoQX2PNeo%2BivfinxqytqBqJuc3KQFQBpoiJ5wH1rteC%2BxwJ3hPJHZ3wZYuMqjdwrAUtcA0Ny9XSnu3FTTpmdP24tz0Nhepl7l9TXQrbP%2BtmBKUKWuNlYUDJxTD%2Bge5TMpQknnOvBXlIGWRr2LrwdqkEtlorv7mfO1TK2VbknkM304oJDFlVHvDK7i8fB5B3SbWScV0%2FU2XbOogEFZfAW4YEKhkochE5n5u54UZf8yJ0ub8kQ59ae71dFsj0RhwE7Cf11ZQxbjYk1%2Fbk%2FqiwmwSFrKyAvn%2BPQSrG1J56qYBj8B3kMNLW8fXN1AoXwl5KJgIz5gKc6eVJSUS2bvzxvbrlSFDPE8pdCcXMfJhkCGmXPs6hKH7Vkq%2FaxUn5jUvnJZTObUksc26jykRKWewmsSHWYesKBdTb3xP,12,1,0,0,0,#1213276514,JBL,Link 20,NA,20 W,NA,NA,NA,NA,NA,NA,NA,NA,Ativo,NA,NA,NA,NA,Link Series,NA,NA
15, Caixa Som Bluetooth Jbl Potência 16w Ios Android Preto Flip4 ,457,NA,"
			
			
				
				2996
				vendidos
			
		",(1110 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3815
		
		 sem juros
		
	

	
		",15,NA,Envio para todo o país,NA,NA,4.8,526,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-914225881-caixa-som-bluetooth-jbl-potncia-16w-ios-android-preto-flip4-_JM,473,38,8,3,4,#914225881,JBL,Flip 4,NA,16 W,NA,NA,80 dB,175 mm,66 mm,66 mm,NA,NA,Ativo,NA,NA,NA,NA,Flip Series,NA,NA
16, Caixa De Som Bluetooth Amplificada Portátil Bateria Usb 700w ,184,NA,"
			
				Novo
			
			
				
					 - 
				
				1187
				vendidos
			
		",(34 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1763
		
		 sem juros
		
	

	
		",63,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,172,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1139499740-caixa-de-som-bluetooth-amplificada-portatil-bateria-usb-700w-_JM,127,24,9,8,4,#1139499740,Infokit,VC-M31BT,NA,12 W,Torre,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",80 dB,NA,NA,NA,NA,"Subwoofer, Twitter",Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",5.1,NA,NA,Bluetooth,NA,3
17, Caixa Caixinha Som Portátil Bluetooth Mp3 Usb Cartão Fm 300w ,27,NA,"
			
				Novo
			
			
				
					 - 
				
				3120
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 613
		
		 sem juros
		
	

	
		",13,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,106,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169578372-caixa-caixinha-som-portatil-bluetooth-mp3-usb-carto-fm-300w-_JM,90,12,3,0,1,#1169578372,SPEAKER,MS-302bt,NA,5 W,Redondos,USB,80 dB,NA,NA,NA,318 g,Subwoofer,Subwoofer,Portátil,2.1,1500 Hz,150 Hz,Bluetooth,NA,1
18, Caixa De Som Amplificada Bluetooth 2000w Fortress Sumay ,699,NA,"
			
				Novo
			
			
				
					 - 
				
				834
				vendidos
			
		",(78 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5833
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,73,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-919482965-caixa-de-som-amplificada-bluetooth-2000w-fortress-sumay-_JM,65,2,3,0,3,#919482965,JBL,Caixa Amplificada Bluetooh,NA,200 W,Caixa,USB,NA,NA,NA,NA,7 kg,NA,Ativo,NA,NA,NA,NA,NA,110/220V,01
19, Mini Caixa De Som Rádio Fm Am Sw Portátil Mp3 Player Usb Sd ,55,NA,"
			
				Novo
			
			
				
					 - 
				
				390
				vendidos
			
		",(45 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 636
		
		 sem juros
		
	

	
		",36,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,25,https://perfil.mercadolivre.com.br/PLACECOMPRAS,https://produto.mercadolivre.com.br/MLB-1189229037-mini-caixa-de-som-radio-fm-am-sw-portatil-mp3-player-usb-sd-_JM,22,2,0,0,1,#1189229037,Briwax,BX-667 / BX-670,NA,3 W,Caixa,USB,NA,NA,NA,NA,830 g,Tweeter,Tweeter,De piso,2.1,NA,NA,NA,NA,NA
20, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,37,39,"
			
				Novo
			
			
				
					 - 
				
				279
				vendidos
			
		",(720 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 632
		
		 sem juros
		
	

	
		",32,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.4,8,https://perfil.mercadolivre.com.br/FP+VAREJOEATACADO,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=hfx11UXWzqOHfL2k03186mRgA84MBD4NXywmtjYOPqLkn%2FjFPXLciq49cUekd1yD8NwljpvV64yA4MyoLT7Kg2TBvex2RhKqe7MKwERexEB%2FTJeL2SKZJxDyySqmqTSWUcEHMq5DmkEupwBHgPY3fjNxb4xXpsRN5HSXZNhzJfbOqk8QWxKmtKP54K1LJGoKBtgs14brgV4d8j9W%2B7jTb1A3UTJ54zwK1bRQ6gt2BNnSl2sqrCwJXpEUG%2FAZgLvkXYkw8CwYLlI2bix58UMCVlGk9VOBoBaA2mei7Q78nkEd7ZEEvXG3cZ0LbI9%2Bis9QiJobbJaN9nc7B%2FOWmyqK%2FASyH%2BM7ANKhu90ri4nqA6au%2FRuLnJz95O16T1GPSgmR3MsceULubdVe84gehNOUdW%2FpUfKDHAfIhUFQG4Od%2FI%2BcYFEbsZQ52UWWLK1kupNJu8Sy%2FEa1Acy6C5aVJjRE7YdBpnxQsRzJ0W1sZFslIedr6IndABhOwMjTJNAysqVRdYeJxyG8Yn%2FzrUUNjgHggvEw1GE5YnpP%2FJsPwZP3XVLRgKGV3e693F4U7bIxHVbz3aFTHyhpf8AjtaDDSoZqGRCnWtgKkpWNCRyBu5wX991ArGWcK5R0R7Xmg2pnCnBb7Miz83jyXqE%2BYild%2FtrI4RSiU1CqAexdXQvCo%2BHT0drWTMtsBoxbqCfvJASeaT%2FCaf7O802Gvc5HhPK0l0qF8ZVi%2FhHd62R5rx6I%2FQd0ygaUNujfiz%2Fx9u20h%2FBZmO4cIhY36ip%2BvFP56VOD9nop1juA4oOtjeE7VmXMzSwcNKeJk0nfX%2F%2B95J3z1svalYnu1AaJs09qQAe6%2FKLM5e6vvsFy1T3MIiaQ8TK9Q1LObUm%2Fa94vuOKANSgKaaXyUpSWTLHlvZRRhxpcrITAjdaT1RDOrhxccs7unma3O%2FtHcU7OygTqlZxxnS2ECG8gGXSgiIdsV1BQw%2BCk7vipsWila%2FsQcLK%2FuEovQG9YiQRcUccTFXzGCp9JHBptTZ8iEPvlYe56PSq7U2%2Bn70qqW1StZox77PuiiRENGrj2yLStgEAhRO7fDic4oTyVljMTElhq4brMIGcOWNEdR416xXvOMn46G28raIqIsE%2FvSk4A6ZiqmMMZmEpn09d%2F2thxevK6tYsymVHKqFPfKm8zl2%2BClp8wZ7NUAt80SR4Q40I%2BJ4KpnAY%2BQOsKiEZo3zriU46bnuos8ox2O8M9Pg3%2FjLWCK8EKLDdw0m0Sq%2FQjihPxBicN2EEC7cij%2Fcdh%2FzSy%2FpD%2BrJSpfHDp6Td5utib8XJBhQ7JYOwhUQUtn1TwFPMJvk7DhqT4I7KZQhcpM97Oc8NWQZltFDtIrbO5cl6q5GKbLjdbA%2BB6Uwu9sWHPYMhBfjSoz6tExcM7VPmagLu25wK9Ou7cgze1Yusn9xUEffk%2BnfVY71Fm3A9QJ8FHFyy4DJo4RFSTO8K8vBgD6QwZL7l58ZxWd1eCoLpAJnd6XPWJ0sgJHrYkbaGXWKjAKwvPj%2BCa3H2sSMupKm7F0r7ZEufq2X5y%2FJBdvPM3TXJyKnthr%2FcJm3CIq%2BoUGLOchxsP%2FVZTXpUTvFY1JRyCl0vf59fFu5EyMuLa8Oyy0nDfDu%2BPtm5%2BqkAc9REsntZ7VnVo8ECjfYnIzkBMyT0qf7pV2rN62Jp0UHNLF63ICBW%2Bul0AvHuMLs4Dmf5zsq10aJ4PnzER4uuUX8xoXjfVo4oqmGFuvuBjeTsQiAdMcAOCQKK3ePNYIBKgKLVEAeX1PJgrh90SCdvoSMwubXACl9H0vZWUBykvao4olRxVxJ9eI5zieNnG9kTHn%2Fs4jAcf%2FrlaKoyYZEWY9nm%2FiEv5lYKQHrBT03EVm7wEwF3Wx1X9Mw%3D%3D,2,3,0,2,1,#1236302365,Goldenultra,Torre,NA,10 W,Caixa,USB,NA,NA,NA,NA,NA,5.1,Ativo/Passivo,Diversos,5.1,NA,NA,NA,NA,NA
