search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada,Color,Tipos de parlante,Potencia de salida (RMS)
1, Bose Parlante Soundtouch 30 Serie Iii Bluetooth Wifi Negro ,2399,NA,"
			
			
				
				3
				vendidos
			
		",(62 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=133,https://articulo.mercadolibre.com.pe/MPE-434071308-bose-parlante-soundtouch-30-serie-iii-bluetooth-wifi-negro-_JM,NA,NA,NA,NA,NA,#434071308,Bose,SoundTouch,Activo,11.7 kg,NA,NA,NA,NA
2, Bose Parlante Soundtouch 10 Serie Iii Bluetooth Wifi Blanco ,999,NA,"
			
			
				
				1
				vendido
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=133,https://articulo.mercadolibre.com.pe/MPE-434071329-bose-parlante-soundtouch-10-serie-iii-bluetooth-wifi-blanco-_JM,NA,NA,NA,NA,NA,#434071329,Bose,SoundTouch,Activo,NA,Auxiliar,NA,NA,NA
3, Google Home Mini Asistente Virtual Por Voz Nuevo Y Sellado ,139,NA,"
			
				Nuevo
			
			
				
					 - 
				
				99
				vendidos
			
		",(92 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,10,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-431301132-google-home-mini-asistente-virtual-por-voz-nuevo-y-sellado-_JM,7,3,0,0,0,#431301132,NA,NA,NA,NA,NA,Tiza,NA,NA
4, Amazon Echo Dot 3ra Gen Altavoz Inteligente Alexa Sellado ,209,NA,"
			
				Nuevo
			
			
				
					 - 
				
				49
				vendidos
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/MIALIENSTORE,https://articulo.mercadolibre.com.pe/MPE-435227656-amazon-echo-dot-3ra-gen-altavoz-inteligente-alexa-sellado-_JM,5,1,0,0,0,#435227656,Amazon,Echo  Dot 3era Gen,NA,300 g,NA,NA,Wifi,NA
5, Google Home Mini Charcoal Smart Assistant No Chromecast ,136,NA,"
			
				Nuevo
			
			
				
					 - 
				
				35
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,https://articulo.mercadolibre.com.pe/MPE-435158863-google-home-mini-charcoal-smart-assistant-no-chromecast-_JM,NA,NA,NA,NA,NA,#435158863,Google,home mini,NA,NA,NA,"Charcoal, chalk","wifi, bluetooth, smart",NA
6, Samsung Soundbar 100w 2019 Barra De Sonido ,179,NA,"
			
				Nuevo
			
			
				
					 - 
				
				44
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,https://articulo.mercadolibre.com.pe/MPE-428636742-samsung-soundbar-100w-2019-barra-de-sonido-_JM,NA,NA,NA,NA,NA,#428636742,Samsung,HW-N300PE,NA,2 kg,USB,NA,NA,100 W
7, Jbl Flip 4 Parlante Bluetooth Portatil Acuatico Bass Colores ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(25 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432200042-jbl-flip-4-parlante-bluetooth-portatil-acuatico-bass-colores-_JM,7,2,0,0,0,#432200042,JBL,Flip 4,Activo,NA,NA,Como,Woofer,20 W
8, Jbl Go 2 Parlante Bluetooth Resistente Al Agua Tienda ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				37
				vendidos
			
		",(96 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-428500548-jbl-go-2-parlante-bluetooth-resistente-al-agua-tienda-_JM,13,1,1,0,0,#428500548,JBL,GO 2,Activo,NA,NA,NA,"Portátil, Resistente al Agua",3 W
9, Sony Parlante Bluetooth Extra Bass Ip67 Acuatico Xb12 ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444301-sony-parlante-bluetooth-extra-bass-ip67-acuatico-xb12-_JM,NA,NA,NA,NA,NA,#434444301,Sony,XB12,NA,NA,NA,Como,Portatil,NA
10, Mini Parlante Waterproof Mini Speaker Conexión Bluetooth ,19,NA,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(19 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BONOTECH.PE,https://articulo.mercadolibre.com.pe/MPE-435701030-mini-parlante-waterproof-mini-speaker-conexion-bluetooth-_JM,NA,NA,NA,NA,NA,#435701030,NA,NA,NA,NA,NA,NA,NA,NA
