search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de parlante,Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Peso,Voltaje,Ancho,Altura
11, Parlante Portatil Karaoke Recargable Usb 60w Luz Led + Microfono ,2999,4200,"
			
				Nuevo
			
			
				
					 - 
				
				346
				vendidos
			
		",(45 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,59,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-735695374-parlante-portatil-karaoke-recargable-usb-60w-luz-led-microfono-_JM,45,9,3,1,1,#735695374,Kolke,NA,KPB207,60 W,Portatil,Woofer,EXTERIOR / INTERIOR,Caja,NA,USB,NA,NA,27 cm,46 cm
12, Parlante Valija Carrito Karaoke Bluetooth ,4399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				301
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,16,https://perfil.mercadolibre.com.ar/JBD-HITECH,https://articulo.mercadolibre.com.ar/MLA-719694463-parlante-valija-carrito-karaoke-bluetooth-_JM,10,2,3,1,0,#719694463,RX,NA,RX-1010,35 W,CARRITO,RECREACION,"PORTATIL, CARRITO, VALIJA",Caja,2.1,NA,NA,NA,NA,NA
13, Parlante Portatil Radio Usb Bluetooth Potencia 4000w Karaoke Luces Led Inalambrico Bateria Y 220v + Microfono + Sonido ,6999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				697
				vendidos
			
		",(423 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,67,https://perfil.mercadolibre.com.ar/BLUEWAYBLUE,https://articulo.mercadolibre.com.ar/MLA-680688727-parlante-portatil-radio-usb-bluetooth-potencia-4000w-karaoke-luces-led-inalambrico-bateria-y-220v-microfono-sonido-_JM,39,21,3,1,3,#680688727,Winco,Bateria Portatil,24/7,80 W,Subwoofer,Portátil,Central,Vertical,MP3,NA,NA,220V,NA,NA
14, Parlante Portátil Karaoke Radio Fm + Bluetooth + Usb + Sd + Luces + Microfono Inalámbrico! Potencia! En Cuotas! ,6499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				127
				vendidos
			
		",(67 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,3.6,5,https://perfil.mercadolibre.com.ar/ELECTROWORLDGROUPARGENTINA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=MZhQ63beUg9tMNuxmZa%2Fc1I9%2Bc45XuBS76JL0cS4%2BpjWOQRqZPf6CXCfMrn5mZSr%2FHVAwNwkiURvpBj5l1l5t4u6lk8MEVlwfnxArnBstlWI51GGkQxhy7AL5Vzj3cv5UONFEyZQUemMcdxasKz%2FQ7D3fnV3CRsGQ6TDyLbM2J1tJiHTFuV9T69WDoullj%2FtzEtXXfrZFtdml8c5hqOH4izQT9BwJmYStGaBO10eiEGHx1QnExieJ3vtzee3yMEfhZ8eV%2B8TPfp6gCXG2N3oapWHUsWNYvXKe5BVBKG%2BFJKBXJz2Y%2BqOAwf3RN3%2F%2FKXBQECcKmoIGNxpeJNWc9fuRb2ClZRRvkp6eDGXNx3FXZ6q0mUBC4cCVhdZcsLJ9WYDlC5LkycCpU7Ldw8lEXWlsos7du3tKZDj2PIqTpY43t2RUlKKxTyVTLIaGsaB%2B9LM8n8p8fN50T1hFu8XJ%2Fx%2BTJ1xEoKAXo%2Fd85TJnluVx93AMbHGH7bz2BzQx2txJ9coQeK5LFWVmpKXQiOJ7s928xkfK%2FOpyL%2BkrTiozfMSegYjZPIYo9eX%2B42Js8%2B9BEL2%2FXiCy3SbE3F2ZetAKJsf7OZ8tsB%2FyRS4I7pEv4ampp4wc%2BLOwoLVAKb8jVwrKlW%2BLoPKvFKDSCZKeDIG%2FNlvc%2BY%2FKDTHxrRIly0BnISNyeDCIK2d11THT%2FN%2BfecoNjR92A8v0LBTq4%2BTZkriUmmqHjX9QYHsQxvwGhZdTc3ulGj0w0PNiPIFzMN98kVVRykDpSr39W8fGhf9AaB0iAWknPR0NnIHPEGUVSw%2FUdMendkred8hjDA8oCNH1UnSEM197CDNNOCDHdTU6xAYZYrpXsHO2A2pHf2GJJwVp%2BBNdfnp8AnIsGfcuUDk83EmnagY%2FWQ2%2BUWvRvR8FATExWJeDSXEr%2FqG%2Bqtd%2FfaAJOTX895oNV1Yz4uLIPfnkKfxugB6tLm3q7XkC%2FycbxUc0sPJtThsOvgTrZdM0hInLYSZviDRU5LXzHXKNiEVp7oEjgT2OaZAXwp7vp4kbKxqrlAj9sK4dcBarE0DbnePq%2Fw2aSY7BNGKVRkXshWGyf1msd6FFyrtc8XY4UQsaFSrZacHkSu66bM2q4KbUzniJSP7XVZ9W7Slp77bdWchtuLIKLGFphMsxhJYRP4nA1UQzUmpLoWNwQ2rJcQvRWn1lAeCndEUHc8mlOv0Ac0NaAvHybwiFZeglr94tlGiTc3S9aAse6KJ1IgC4e%2F2hKzxmf03VP%2FKQsgi3zlYNKhPVj5R%2Bwkcr6DQNf5eC57RbxeizZkiw%2BYw3WePzchTw0mb%2FbUjgzEjT2vvxDudBjSUS1fBUmjzHAXNMLoiaNfI%2FBl%2Be2dpYKWdrJtN3FBNFpjKOARgld%2B2MJSyURpqP2B3mB%2BLEYhTMYgq36r1OsvIZ3S3ZWhDtIAin3h4bzuNW8g2tkqBS8hL4TOtCFtxCZGz3UY3Rst0ccpYaEy7jcP%2FIyGENAaLfr%2B5T3TDQMByCoOjj1oTdT7UDV8jGJ4jVsDBwbFkft9SU%2FB8Mb9csUBkCMwn6ishMox4GLD7WBz3emyo0eznKNmI60FZ8EUsOzYKSb0Hl2xKMWakr8xkap3iIn4ZWyhhuEfwBMB3CF8xeTxrM34SOlNqOp7kCqlaFrtTYrvhYsmcbcQAKUiS33KSXs0E0e18bWwtsQQIK3YRrtrFYEbdsJgAleLL52sicU6dfy9ifFHO2rs6HC9ZLRJjdsIwSYZ5LqTm%2Fb5zwu9MAmqmxHyI9L3VwHj6Kg4uar2efCo%2FZo3iBH2tGeLO2S4%2F%2BIIp96dNSeKhwB9ozxCCBERWzvJSd0C4yRgMHFpDQbqkvsvHGSA%2Fq8P%2BCmOfnvXRg89v2CWMl0ZJE0RBRbqqa2FE5uKvBKQxisEvivH4BW2w3%2Bs4RxaBS5JS,2,1,0,2,0,#761047217,Otras Marcas,NA,TAR-1512,NA,Subwoofer,NA,De piso,Caja,NA,NA,NA,220,38.5 cm,57.5 cm
15, Parlante Karaoke Bluetooth Usb + Luz + Sd + Microfono ,1679,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1107
				vendidos
			
		",(1006 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,91,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-648179703-parlante-karaoke-bluetooth-usb-luz-sd-microfono-_JM,63,21,5,1,1,#648179703,TECHNOLOGY LINE,NA,SBL10-KARAOKE-RED,10 W,NA,Woofer,NA,Caja,NA,NA,NA,NA,NA,NA
16, Parlante Bluetooth Portátil Radio Usb Mp3 Leds 1500 Watts ,1999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				312
				vendidos
			
		",(493 disponibles),12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,28,https://perfil.mercadolibre.com.ar/HELITEC,https://articulo.mercadolibre.com.ar/MLA-651682375-parlante-bluetooth-portatil-radio-usb-mp3-leds-1500-watts-_JM,21,5,1,0,1,#651682375,Helitec,NA,S6,1005 W,Woofer,Activo,NA,caja portatil,NA,USB,NA,NA,NA,NA
17, Parlante 12 Portatil Bateria Bluetooth Gran Potencia 5000w + Microfono Cargador Control Remoto Usb Sd Radio 12v Y 220v ,6499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				456
				vendidos
			
		",(391 disponibles),6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,61,https://perfil.mercadolibre.com.ar/BLUEWAYBLUE,https://articulo.mercadolibre.com.ar/MLA-611396474-parlante-12-portatil-bateria-bluetooth-gran-potencia-5000w-microfono-cargador-control-remoto-usb-sd-radio-12v-y-220v-_JM,32,22,5,1,1,#611396474,Winco,Multifuncion,239-12,100 W,Portatil,Woofer,Centro,Caja,WAV MP3,NA,NA,220v 12v,NA,NA
18, Parlante Portátil Bluetooth Karaoke Usb Fm Luces + Micrófono Control Remoto Radio Potencia Superior 220v Aux Usb Sd Mp3 ,3789,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1654
				vendidos
			
		",(18 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,292,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-663857293-parlante-portatil-bluetooth-karaoke-usb-fm-luces-microfono-control-remoto-radio-potencia-superior-220v-aux-usb-sd-mp3-_JM,199,65,21,3,4,#663857293,Otras Marcas,T,T101,NA,Subwoofer,Activo,De piso,Caja,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",NA,220V,NA,NA
19, Parlante Bluetooth Usb Mcsd Microfono C/cable Full! ,1679,NA,"
			
				Nuevo
			
			
				
					 - 
				
				187
				vendidos
			
		",(41 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,11,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-698611319-parlante-bluetooth-usb-mcsd-microfono-ccable-full-_JM,10,1,0,0,0,#698611319,Global Electronics,NA,SBL10,10 W,Portatil,Woofer,"Living, Habitacion, Comedor",Portatil,NA,NA,NA,NA,NA,NA
20, Parlante Portátil Karaoke Potente! Bluetooth - Sd - Radio Fm - Luces Led! Bateria Recargable! ,3999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				428
				vendidos
			
		",(15 disponibles),12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,46,https://perfil.mercadolibre.com.ar/ELECTROWORLDGROUPARGENTINA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=WPUOtutF8Mw%2Bq%2FzVQQgULOAETb1i%2BiUya6mM0qVp%2BsX2VjT1vVD6FXMHBgCMWKmr2SDv3t0klLm24jlsNdcs%2FyWueq1osG8A7uWrFWFPw1ciqvUc9F1EKeClRciTT19Vuv7uWpbPlGmb7pjV5BJ%2BV5jPFz2Eytk0icpLZr%2BrISBzI%2BujuWo94MWHM%2BEiaJOkTM9VCt3MVZZJVD4TS6sxnc%2FNmouytUvAqxA%2BiViFmW8myLi4Lv0URnb7TdWHlHqhBDb4BDBPncygAZsVOL79byaNKHhDMXzDJcOeLFijNvkg0GWgYJ3%2FsJiCtq9bhWdlIp%2BL5RYHO2LGHVFD3LU%2FzW2BH8ds2UAjixj1uiecuTz4pwqOQPXYmGprb74CUPZlyJFX2nAGN99rzN64L4ZZsI5iNPI2%2F6FBPlhaObNY2keShAfvxGSqeG5funX24SOP3Wh5bP4rView6PQqjaS3JNxCAGATk%2FL1gy8KrQtwpJt1ljN120bEX3vo779fhtpeGComwen3OAdRQsV1UKzi5YYHmRnJGjHbj9EKqAidd8BciYtNDJcxWFiGzy8FuN%2FWH18ss6A2S7DjOkb3Dea7tiAViSzTS9nK%2B8rfNn0O2uBqtAou2sw53Td3UmXguutoVzFkoG62Oz4LAAroghZS8hoknyW4I9Pgfy1zGk49WuB7IYjkEMEeFUPhIrfReTLvQXohCpE9Ivih6kwlGiO7U%2BDcTLn40r%2Be0G6hCJxe%2BdXZP7VhCHiscM7TrZr1OXuCT5xv2ZQGrfU8QDCCJfOzgUUDC%2F8FHrUWOrw2wcw1L%2Bva1QN4qbPQFVhATUiT1EO7Xw6FDDnTC0HcQkSjKqzz5swvUSPjRZpIzzhsj%2BXi08nezASzbNnFTLoqVRuDrtXZ1P%2F1%2F%2FgZqbpiGSSG3XnH2gaKglyP5XBsqKCPyaMiOQzbk5MkLogODlB7pMOz4VT0bdP%2BRlyq5yTYI16IFDtyGoAtsqtAqGaPo3KhmdEfBSX0QvXjC%2FPNBYutlBn0le3ow23unYmVCuO11lXOIAd7TAOV572r8HYv0obnLITekKpvNv%2B4n2Z%2BjaB4H1uo2xV7DsaKlqRzczeeFp2tw4vnhS%2F2htolBmhCHNJ4crMMCW34sYppnhGzqPZKAYMeMDNvDFo%2FI04B%2Fj7cD38FiA7xoaiCkj2EHHn2nQTyQV%2F%2Fr2x965LXVjw%2FG17%2BqpGyfRZdVOOJy1wmri0BxhigIIrsE4Bfq721v8xFrF%2B5mWaqQjZlyLwKiGXyfa8zmjwuL2fzeG6I1ZD4c2OuBvRttceHtUGCpR8zK5anbACvWyH4R2kpSvI57Zu5cpwAdsvu7pkNFrEJKQ%2FpFROsrE4cGIB6jfHTYfh2oBhZuy2w0DuBo9HGFTQT47Ythlhce32OGiKGaGI0YrwHQ9pGlKM4oSPTI33JiLsSAHFNOEq1p%2FHCMoU9jl0js0PLnUydlLpD2W8Gx4idzZfUILXyMtIx7fnGR1ofTDuAWeDaKl0J0AHSViEAiYJMIx6cD7MPTxozdrC5rLAZOSWgzYX3H24DtR0sxZJbOKxilG76z5ptL6NzIaSNg%2B1HGjuQpMKrvYg2Zg6tD9NoN4upovCi4JIyVoLjI5%2ByQosePSWpTzW8OAGLeVd8irS0StmjP%2Bigj%2BtVpm2QSu29FOC5Nkssxc9ZzFiFwijtK%2FkyqV03Gz0ifjwve08uWOgN367mJA1cqX%2F2cdNXBqI5SUBZy52d5lsmO%2FPFfO4eL9YkT%2BXiVPeT%2BwrT%2BkDAPJQiv7a%2BIzVLmA5vSwlc98uYRXZ6BmrFX%2Bc0NcHsJpQSFU%2FowAbxpfHFD5DM9qklH5mFF%2Bb73i86%2BTlihi3nukxNT405zFzLeNJBxrZfPTschleEAJ81gJ7GElJQEaOk7MnHPA%3D%3D,30,9,4,0,3,#762427109,Otras Marcas,PBX-811,PBX-811,NA,Woofer,NA,"De piso, EXTERIORES",Caja,NA,NA,NA,110V/220V (Bivolt),24.5 cm,38 cm
