search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada,Color
177, Parlante 2.1 Tienda Oficial Thonet & Vander Spiel Bluetooth ,87,NA,"
			
			
				
				23
				vendidos
			
		",(8 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 17864
		
		 sin interés
		
	

	
		",64,NA,Envío gratis a todo el país,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=0PZuRhYkcnqFTyuiDWsEI0LmAaQesSm0hj1dhfWLqHRytFC5b4rEDLNsWKrTM57Oqcdjp4VK5gzkaxqydu9AcL1%2Bd2V5GmwkX3pP%2FK%2B5UJ8eBngRUtnpHqkIzGHKKfGYsUpYt6PtMfXMrNRH8v8rYPVlgIOPSZeJqEZcwg33uJTPSdY3fwYV7Rk4z%2BoxrlBeJq5xnxzqRxVdP5UvuVM5TNZNKsRle%2BawUuyvDn9uXH3wI83ub7J%2BQ66LXLlQARmYfo7bHKz6HF%2Fd6Jeo0f5VYqPZWvcvsLvcum3re2A29G1CIvriALcT4moUIG1DSGYbi6spHrrzktESVNMRF%2BQacfFzVdHaeBXXiU2%2B9lUiFOoMDACbAR5i9pdfew1AjvQA%2FtQqNsn4Wuh0oic6bQ2V69mpmNr1pjGkpu%2BaRoUPa%2FBI7J2LAAAD50kLix1CDICV8RDTDoTzrqsT2AOUvvFoTlxuIU%2BThRZgeCF2a%2FK7xoLx64qvuZMj4U2FS76Vz9DiBNtLypARRO4amFFSzooWeUG09fC%2BIXZD%2B7T7nyO%2BzVj%2Bx%2BXvXH5RtFT399Sq7iRfRdbfha8fTccsUHW7YE7w0OOdU1U2vG%2BU3WrjHDT5PKAZmLODDfrByYI9m7nX2WhPGYXjp7mOjJY%2B0M0gnLdJGiI%2BVAyiijzC3KiFoQoiUWFXZjsueWYH1VNL1WDe9pRPK0vsdymECaFYidv9xCftsVoBcHJAQoy0bWJT26lDyAo%2B4by41xx02YvAl7VtXpOnDEzWs4Fy2GjZUDzg17s53eAs9GA60J4wJggVhlFSyvvgmXdKIYVKvFtDSV54QHLmo3c1IFyL%2Fhzl%2B8vzxIJVfEuCIVN9qvr%2BR3vbEXmXDgnUnoS6oUxFGjwc7tpQfJKwIzCYVDUptaVVTFx%2Fszw27qQI1z8hLvCYD47GMCbCZUzKG9A7sETKaCPdgupb3b1nrmyXpAn8Yw4DzXQJ5BlqpMK5Sg80eyuwzMxzvjAbmgLQKroFv0QbjAbiMW1teJS1wcbb3Yss0g%2B8DYtgE8Ec8i%2BjfNgqMHDXcyf4c77Xt8QYkXGdLBxc7CMJDI8KVTP4Whq9BGgAkMjTm3for%2FLuba%2Flxe9Ms5MQtR68YPeoka%2BkT5%2Br9q91BHD0WAENWu6EpHiX7zb55mtTQuqisomReItwS6bbq6EqbCanb9DX1coIV13eIsQDlMPPckocSAUOqmCX2Y%2FmWrA6fshyZUsb7wIMz%2BgdLSptkhSU9SROMMllbszWIH%2BPrBF9qbuQrJBh%2FV7b6KSjqjcpyZRdXO8IsNU9MXip019UXm3%2FNAp3HX3m5cTaSbZeRKe45sNzjJwY8q3DiOMF8ofhPRYKqCa1Quh1RMOP1se%2BAoW7jcbfInXYiN38Tz0Am%2BBjluKFqH6oZ74RfRWEbhNYP%2BcMznMQkTpXomlydCi%2B2n2JEc9GxqAV9CPenDNGA%2FaPxKauOuUM9KKx2zjCo%2B%2BhJ4fzax2WGG1BaLrEqzl2apRvm1gwaHxUV6tmC%2Bjb9ojsAzstl4uz7WRRAmdTh33L1D7YHt8ntBNRS%2BK3sXtIBvV6f8qB899%2BaxneiLv2xY2LeIRcEl2O2CdZqj2HVMGppcxaxTDiCL2DxjpBQC5LdCV788ZxCsCQPkXbgrYS8xuen7nxOq2uEN8dBjc3M0TK%2FrtiEw1Am6Z18PysgHkLlrksNdvX9jEELsCWRZk%3D,1,2,0,0,0,#445196958,NA,Thonet & Vander,NA,NA,NA,RCA,Amarillo
178, Parlante Portátil Bluetooth Argom Buzzbeats Usb Oferta Loi ,697,NA,"
			
			
				
				28
				vendidos
			
		",(999 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3872
		
		 sin interés
		
	

	
		",72,NA,Envío a todo el país,NA,NA,4.3,6,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-445020261-parlante-portatil-bluetooth-argom-buzzbeats-usb-oferta-loi-_JM,3,2,1,0,0,#445020261,NA,NA,NA,NA,NA,NA,NA
179, Parlante Activo Jbl Js15bt 15 +1 200w Usb/sd Mp3 Bluetooth ,419,NA,"
			
				Nuevo
			
			
				
					 - 
				
				27
				vendidos
			
		",(972 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 86035
		
		 sin interés
		
	

	
		",35,NA,Envío a todo el país,NA,NA,5.0,2,http://perfil.mercadolibre.com.uy/URU_WOOFER,https://articulo.mercadolibre.com.uy/MLU-445184799-parlante-activo-jbl-js15bt-15-1-200w-usbsd-mp3-bluetooth-_JM,NA,NA,NA,NA,NA,#445184799,NA,NA,NA,NA,NA,NA,NA
180, Parlante Bluetooth Klip Xtreme Portatil Tablet Celular Febo ,990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		",(99979 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 5500
		
		 sin interés
		
	

	
		",00,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449239793-parlante-bluetooth-klip-xtreme-portatil-tablet-celular-febo-_JM,NA,NA,NA,NA,NA,#449239793,6 W,Xtreme,NA,NA,557 g,Auxiliar,NA
181, Parlante Portatil Bluetooth Radio Mp3 Mp4 Usb Sd Pendrive ® ,795,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(48 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 4417
		
		 sin interés
		
	

	
		",17,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-456197184-parlante-portatil-bluetooth-radio-mp3-mp4-usb-sd-pendrive--_JM,NA,NA,NA,NA,NA,#456197184,NA,NewRixing,NA,NA,NA,NA,Roja
182, Parlante Thonet And Vander Vertrag 2.0 32w Bt Blanco ,6650,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(8 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 36944
		
		 sin interés
		
	

	
		",44,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/COMPRALO_HOY01,https://articulo.mercadolibre.com.uy/MLU-460637860-parlante-thonet-and-vander-vertrag-20-32w-bt-blanco-_JM,NA,NA,NA,NA,NA,#460637860,NA,Thonet & Vander,Vertrag,NA,NA,NA,NA
183, Parlante Sony Inalambrico Bluetooth Srs-xb20 Usb Extra Bass ,149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(999 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 30595
		
		 sin interés
		
	

	
		",95,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/NNET+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-451937858-parlante-sony-inalambrico-bluetooth-srs-xb20-usb-extra-bass-_JM,NA,NA,NA,NA,NA,#451937858,NA,Sony,SRS-XB20,Activo,30 kg,USB,NA
184, Parlante Portatil Bluetooth Minions Usb Microsd Fm Aux ,490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				93
				vendidos
			
		",(99906 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2722
		
		 sin interés
		
	

	
		",22,NA,Envío a todo el país,NA,NA,3.9,9,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449738902-parlante-portatil-bluetooth-minions-usb-microsd-fm-aux-_JM,6,0,0,2,1,#449738902,NA,NA,NA,NA,NA,NA,NA
185, Parlante Energy System Tower 7 Inalambrico Negro Nnet ,195,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(999 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 40040
		
		 sin interés
		
	

	
		",40,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/NNET+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-464243799-parlante-energy-system-tower-7-inalambrico-negro-nnet-_JM,NA,NA,NA,NA,NA,#464243799,NA,NA,NA,NA,NA,NA,NA
186, Parlante Bluetooth Jbl Flip 4 Portátil - Waterproof - Lcm ,4999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(994 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 27772
		
		 sin interés
		
	

	
		",72,NA,Entrega a acordar con el vendedor,NA,NA,4.8,221,http://perfil.mercadolibre.com.uy/LACUEVAMUEBLES,https://articulo.mercadolibre.com.uy/MLU-458473689-parlante-bluetooth-jbl-flip-4-portatil-waterproof-lcm-_JM,185,29,4,1,1,#458473689,16 W,JBL,Flip 4,Activo,515 g,NA,NA
