search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Tipo de alimentação,Tipos de cabeças,Tempo de funcionamento,Peso
1976, Máquina Gbs Gama Barber Séries Absolute Fade ,369,NA,NA,100,12x,35.35,NA,Frete grátis,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ROB_SOARESCALEGON,https://produto.mercadolivre.com.br/MLB-1276063512-maquina-gbs-gama-barber-series-absolute-fade-_JM,NA,NA,NA,NA,NA,#1276063512,GBS - GA.MA,Barber,Gama Barber Séries,NA,110V,NA,NA,NA
1977, Barbeador Elétrico Philco Shaver Pba03 Recarregável ,112,NA,2,531,12x,9.36,NA,Envio para todo o país,NA,NA,4.5,24,https://perfil.mercadolivre.com.br/LOJAS+BENOIT?brandId=1539,https://produto.mercadolivre.com.br/MLB-1096382578-barbeador-eletrico-philco-shaver-pba03-recarregavel-_JM,16,4,4,0,0,#1096382578,Philco,A Seco,SHAVER PBA03,NA,Recarregável,NA,NA,0.19 kg
1978, Kit Máquina Panasonic Er 389k Bivolt +2 Bateria Extra ,149,NA,NA,5,12x,12.50,NA,Frete grátis,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/LOJATOPMIXSHOP100,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=mtYLsUVHpEs0Dz5%2FpWOr2yk96Qwek%2FPtjTtO%2FAmTNkx7Jy6RTF7yze5CARV9N%2BYiLOcO6JF541ycjfLy%2FZSKvExI4uBwMe%2FqRMrY%2FRkrjmQSGG9T3X6AGmg2Hon4wJLlxRC%2B5793M1J%2FSJrQCm06affKlVC%2FfliXYlJl%2FFWWg86ToAPyUU%2BTLUHW4rp15oUXHadwX0TLeqP2y103nNk%2FOhd8okH84MOkdeQggDfLvGHN6gm15AEYa45MH9YG5u8kpWHAK1m3DeqztSLUV90jtNNm%2BvaUvWCED%2FFxxc7rwH82yhs8O27yc8KqUL2%2Bcyia%2FV5yL%2F%2BWp08FlRJ8noQZ5TiXmvxMmjzNqL1RrQvvkjGWwZ774a2Vz02biLxTXOvoOmSlSOasVRUkMs%2BGvTf%2Bsi%2B5cDDJdRjMLjAn7meLICkF0Q5vCFUCgK7X9DL7watKkWjjJdS1NzG%2FRQMsbCN4Xk8CHqSkeKzU7ChX%2FYY3E9O4UASUzDVVxHtQ3N7KLuhGLaRMO0RZndW2GqBL%2Fq5sOHtLoZtg2k19vH17OpASwXfKH5p7pRtHoewszesClmxC2tHPUglzxSl4Lp4dwLNz5%2F2UXnQLg%2BYE6DgWtj6YsUm0ksewNPHkCbWwYTfc%2BTDsEK5tQ0km9gdevIwNMpBH6JiJvO6y8Fdxt6xzTpFtv8B3Y%2FV4EgEjaeOCrU4r8wJixNI%2FP7m%2B8YhiJihyooOGDTmRvxM6UgE%2FwZusUB%2BKfHn1e7N8w8C5%2F%2Fomgk6DKSZslMxYBGDymvmRUO%2FTetgCpXbu1thja3GAX4tqInN5iT%2F1KAsUS71OiNHgwbh1RfwKvjgYLbDYymo5j4exEc35IJer95SmUR8dLzQ7V%2FVlH9T4RBOCRcpZ7Gkj%2FiAaX9PlWE9hVPvHx96kmpNKJnzCoHzBmTl65wBIYFfoM7RWqpTXNt8A6VAS1kktFwi1aODCnYvHiebe4SkUQ01vu9D1wOJODpYZOl4zVKhP4xfXpauViPhRtJXg8K0OeYXrpseIkllq6vOdpsNBr6JyD5XW%2BopsI7tZjiHK41xTd%2BfPsx648hzqhj7i96%2FV7coXqSX3W9HR6dnKCgIHhZwMIOBEJkjhVtWiQZlhCChfB%2BBvqSpyQwGca%2BKG2q44KMIFGMTqE6dM%2Bs0tnzOHJTY3lI%2BZUukq%2FvWrSAFb00D%2Fib5zisDv6VMHCbPRLkxdpnUKWl2JsOo2TT%2BttdDFd9nN1VkyZ9jdV5hvZQm6%2FZuIogjIjDFqdoTy2BDUqQxiGvvJlVGYKiNug1V4hjfmgK8P22T98tEKB5weCM9i7FPz%2FcIfzMsWhY2HkMpROSxk8tfSNoCDqKN3f3M20caKIkvMu%2B3Q3rARKtyRNFciyCm6UFNjDQLqJnPLvFJFrYnHTuDgqxyQRZ5PAM7Grojoeiut56EdbsqWMfO1UKHTu5oQnr4bhKKd%2FxXv9b%2FhflIPTw9QVXdEekcAmr%2BN01S6HXGTH61%2BffAGdezgjzobt%2FQqnaWlP%2FWZtWOPJ4%2BL2%2BfFw%2F%2FfyTgmuOXQ%2Bf4wZKCMCirg81hveNtqBSWOtoziprV16o%2FXBiWnqkoUGJLNmF2m7vdCx5GjkE9c34nILo0K%2FxTvkJNIn97Zfc5uJV8eaHE9wkYKfLUq4%2F8Ya8y2U1fPIrLkygoVzuiqsIVcmbwT6EBOSAMCgpHpXG%2F2Rz0ndDE25Ey%2BPdfZDK2btcFU2glydC4XshcBHvh%2BRw04EO1K0UEnOC%2BHylP2bzAKN3ymUorgJ%2Fxod6el,NA,NA,NA,NA,NA,#1167064039,Philips,3 Lâminas,FS3188,NA,Elétrica,Flexíveis,NA,NA
1979, Babeador Elétrico Kemei Shaver Km 2024 Original ,77,NA,NA,109,12x,6.49,NA,Envio para todo o país,NA,NA,4.5,16,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1197530425-babeador-eletrico-kemei-shaver-km-2024-original-_JM,11,2,1,0,1,#1197530425,Kemei,NA,KM-2024,NA,NA,NA,NA,NA
1980, Cabeçote Completo Sensotouch Rq11 Rq12 8d S90 9000 Sh90 ,399,NA,2,2,12x,38.23,NA,Frete grátis,NA,NA,4.6,14,https://perfil.mercadolivre.com.br/NS.BAZAR,https://produto.mercadolivre.com.br/MLB-1159626406-cabecote-completo-sensotouch-rq11-rq12-8d-s90-9000-sh90-_JM,12,0,0,2,0,#1159626406,Philips,SensoTouch,RQ11 RQ12 SH90 S90 9000 7000 8D,RQ11 RQ12 3D 8D 7000 E 9000,Elétrica,Removíveis,INDEFINIDO,NA
1981, Maquina De Barbear Aparador Elétrico 3 Em 1 Kemei Km-6558 ,58,NA,1,99,10x,5.90,NA,Envio para todo o país,NA,NA,4.2,19,https://perfil.mercadolivre.com.br/VW+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1274733518-maquina-de-barbear-aparador-eletrico-3-em-1-kemei-km-6558-_JM,12,3,1,1,2,#1274733518,Kemei,KM-6558,KM-6558,NA,Elétrica,Removíveis,NA,NA
1982, Oneblade Pro Philips Norelco ,752,NA,NA,3,12x,62.73,NA,Frete grátis,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/VARIEDADESIMPORTS747,https://produto.mercadolivre.com.br/MLB-1144436870-oneblade-pro-philips-norelco-_JM,NA,NA,NA,NA,NA,#1144436870,Philips,barbeador,OneBlade,NA,Elétrica,Flexíveis,90 minutos,NA
1983, Barbeador Oneblade Philips Original 2510 + Frete Imperdível ,4999,NA,NA,500,12x,477.78,NA,Frete grátis,NA,NA,4.4,1483,https://perfil.mercadolivre.com.br/WEB-MAPE,https://produto.mercadolivre.com.br/MLB-1133057772-barbeador-oneblade-philips-original-2510-frete-imperdivel-_JM,1018,260,99,39,66,#1133057772,Philips,OneBlade,QP2510/10,QP2510/10,Recarregável,Removíveis,35 MIN,NA
1984, Barbeador Braun Series 9 9242s Men Electric Wet & Dry ,1899,NA,NA,2,12x,158.25,NA,Frete grátis,NA,NA,5,1,https://perfil.mercadolivre.com.br/QBOM+ACHEI,https://produto.mercadolivre.com.br/MLB-1230287923-barbeador-braun-series-9-9242s-men-electric-wet-dry-_JM,1,0,0,0,0,#1230287923,Braun,Series 9,9242S,NA,Bateria (INTERNA),Planos,NA,NA
1985, Maquina De Barbear Aparador Elétrico 3 Em 1 Kemei ,58,NA,1,99,10x,5.90,NA,Envio para todo o país,NA,NA,4.2,19,https://perfil.mercadolivre.com.br/VW+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1274736814-maquina-de-barbear-aparador-eletrico-3-em-1-kemei-_JM,12,3,1,1,2,#1274736814,Kemei,KM-6558,KM-6558,NA,Elétrica,Removíveis,NA,NA
