search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
427, Afeitadora Eléctrica Remington Pg6015a Rechargeable Stubble ,36.199,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.033
			
		
		 sin interés
		
	

	
		","
				$ 6.033
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478402351-afeitadora-electrica-remington-pg6015a-rechargeable-stubble-_JM,NA,NA,NA,NA,NA,#478402351,NA,NA
428, Afeitadoras Eléctricas Mujer Na Philips Norelco ,75.151,NA,"
			
				Nuevo
			
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 12.525
			
		
		 sin interés
		
	

	
		","
				$ 12.525
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMPREONLINECHILE,https://articulo.mercadolibre.cl/MLC-478440414-afeitadoras-electricas-mujer-na-philips-norelco-_JM,NA,NA,NA,NA,NA,#478440414,NA,NA
429, Removedor De Callos Eléctrico Y Afeitadora Por Nocal Mejo ,29.717,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 4.953
			
		
		 sin interés
		
	

	
		","
				$ 4.953
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AKAESCHILESPA,https://articulo.mercadolibre.cl/MLC-479662096-removedor-de-callos-electrico-y-afeitadora-por-nocal-mejo-_JM,NA,NA,NA,NA,NA,#479662096,JuiceBlendDry,NA
430, Afeitadora Eléctrica Para Hombres Máquina De Afeitar Rota ,39.679,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 6.613
			
		
		 sin interés
		
	

	
		","
				$ 6.613
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AKAESCHILE.,https://articulo.mercadolibre.cl/MLC-479983980-afeitadora-electrica-para-hombres-maquina-de-afeitar-rota-_JM,NA,NA,NA,NA,NA,#479983980,FARIONE,NA
431, Panasonic Eslt7ns Sistema De Afeitadora Eléctrica Arc 3bl ,165.724,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 27.621
			
		
		 sin interés
		
	

	
		","
				$ 27.621
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AKAESCHILESPA,https://articulo.mercadolibre.cl/MLC-480150455-panasonic-eslt7ns-sistema-de-afeitadora-electrica-arc-3bl-_JM,NA,NA,NA,NA,NA,#480150455,Panasonic,NA
432, Afeitadoras Eléctricas Hombre Bolade Noori Rug ,3.234.475,NA,"
			
				Nuevo
			
			
		",(100 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 539.079
			
		
		 sin interés
		
	

	
		","
				$ 539.079
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMPREONLINECHILE,https://articulo.mercadolibre.cl/MLC-480367783-afeitadoras-electricas-hombre-bolade-noori-rug-_JM,NA,NA,NA,NA,NA,#480367783,NA,NA
433, Afeitadora Eléctrica Para Hielo Avalanche Time For Treats De ,72.306,NA,"
			
				Nuevo
			
			
		",(100 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 6.026
			
		
		 sin interés
		
	

	
		","
				$ 6.026
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/IMPOGLOBAL.COM,https://articulo.mercadolibre.cl/MLC-487302005-afeitadora-electrica-para-hielo-avalanche-time-for-treats-de-_JM,NA,NA,NA,NA,NA,#487302005,NA,NA
434," Panasonic Afeitadora Eléctrica De Las Señoras Es2207p, ",42.990,NA,"
			
				Nuevo
			
			
		",(9999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.165
			
		
		 sin interés
		
	

	
		","
				$ 7.165
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MELONCARGO,https://articulo.mercadolibre.cl/MLC-457933110-panasonic-afeitadora-electrica-de-las-senoras-es2207p-_JM,NA,NA,NA,NA,NA,#457933110,NA,NA
435, Afeitadora Philips Eléctrica Shaver 3000 Hq6904 ,25.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.166
			
		
		 sin interés
		
	

	
		","
				$ 2.166
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/AROMATIZANTES+CHILE,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=7%2BTmQ2W4MJ1%2BF0mpBGCo6ytXQW4qp2HyrrAsiVpjWfLCA3fTA8LzNLioNwDgz1GMxMEaRrBSaKKrGgK7z0IDL%2FuACag2YaYHfonKJ54gAoilXdicOajGA6MPlna8eYHE9vtW7J98VaK7YNoT7PG1amS7X6zsDF%2FCWdKsF8k1M0xRWGiHhMooW1k4A5bHbIxo%2BAMZIhMNoO9cDk24Kq2Ili%2FUzfqfHAp92gVHqOSJ%2BdL8fLDl8IiM0PDETcP7zvU31RLKa%2F689kPOs%2Fv5CcUghWhn%2Fa%2F1HILdWoVj6xUdYEjmK36icXHNawUcXi2fBktjjZO0iDIsInfSn5g%2B8BKcGpmICjqe1eP1S95%2FPYgaw5aiqcCDBQbKZyuVzG5pro9X0ujHfgIoHIOIMcNygnVxez3KAuKz9DX2k5l33FYse6oOwde%2BokVPEUTUkspXRjFpp%2FqFsRceOwHbDqkEP%2FS5X4Adk7nzPW4aEzMb3Zmgu9HzkBKNO%2B02axr%2B2GrKolUL5esUDuk7axWx3W%2FUi%2Fhh8N0VRGGLPfpjVm%2BQ0wJU3Xlqsk%2FJ%2B6nJQhsVywkXMfHoX2lHqzjK9eWWTjcRoZoB1vc8%2FZJtyoUZGc7qKtY68zTisOcl54HHrf0%2F20EJxz7z9zEZVrHfcBtRWet6fbzUV3MEGf7HLXKOGlaJmVfgdfm3giivoo3CwGW65zV%2BVOn%2FcVeunJ0EbuW1Vm377BvXn5g3YQkMkdixd%2BIYoRI7KIU0BIVEAFRPIl08uLr%2Fioik3GhUqGGtODBVhfcQIGB5nT7NFosyknhTTA25XOe%2Bof1Pg82ltZb6mxtSPXzaQuyNSJRXVJNkDHo6M4WwSYOabY4oLDcypl%2B37IZ%2Fc6EMyj9sYzoq2FsDfbn8w1SLMP%2FRjhuXU58Jpu5KbFPJNAw1e%2FZh50rxLUp%2FX9qw%2FbOKyYpB2FdwDLG4dfSUi7DNqstBovT3sUNg7i6LEMhjNQPcINj64XElBb3natnYGcyQhTpAO%2BeGdfF2xgrySkr3Ph5HN4nDCcYtvLdLXQslulO7YwMbL6a7Klevv8Xa3xyavOqKXg7ONQH2J5APyrkzHkxn5arGUe3%2F%2Bdiof07P7waaz10eTl%2F%2F3jyLMMd9Kt9MQjpwFxV51ANYANOoEohAzQMOzIqald%2BCWIph1l4PQJIsJmRsgCktL0iHQPHl4ghISITQofWgBRNO0TfUgQJJjnO1NBggVD%2BTpQ1WR9NXOoOhW7%2F72vHC47p8w%2F%2FLBXCIou9bxpW6k5HVWmZSr4R3UP1iHXRYXSgAXUHHztBnbKNNGoutDUtV3jT1NU5zqOJ9o9AeNSMwXdhVHtOMPw71f5IgMFn6zG0I2%2FQAvGDJxkvz789fe35MbAkjCnL1aq2RJMcF%2BSzGmzf%2F7p9KKys2sWiDTTHORRQcfy%2B4JHI%2F3NjrFKV4GC5FnpFuQu4iPVxFriytn3LHvqMhdUGjvQ3kdyVoYDb%2F%2BxCLcor1NRBarDbWj6gaRJJWa%2F3OGp7KJO5TSD%2BjJwNu7Djwy7NM%2B6MoVvXZKNjfBIc31OJcwz%2Fm4V3d3GBL2fHYG79bnS9sxcZZ%2BCkxoaBYJkZO0OLKDSFVfhBiWuL9wNxxhK3tz6SWULnAlcrmwyKQZU5nnFy39LnTVvo6cTQCi3j7Ur%2F17obeIwSUqSPFj5zF7r0kTEjpUKYADs1Qj5Vxnsn4Ion80J6skffNy7CehA%3D%3D,NA,NA,NA,NA,NA,#472989478,NA,NA
436, Afeitadora Eléctrica Philips Norelco 8900 ,282.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 47.165
			
		
		 sin interés
		
	

	
		","
				$ 47.165
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MELONCARGO,https://articulo.mercadolibre.cl/MLC-457933150-afeitadora-electrica-philips-norelco-8900-_JM,NA,NA,NA,NA,NA,#457933150,NA,NA
437, Afeitadora Eléctrica Máquina De Afeitar... (white) ,35.990,NA,"
			
				Nuevo
			
			
		",(11 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.998
			
		
		 sin interés
		
	

	
		","
				$ 5.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/EBAY_SELECTION,https://articulo.mercadolibre.cl/MLC-457984716-afeitadora-electrica-maquina-de-afeitar-white-_JM,NA,NA,NA,NA,NA,#457984716,NA,NA
438, Viaje Afeitadora Eléctrica Recargable De Bolsillo Ligero... ,33.990,NA,"
			
				Nuevo
			
			
		",(473 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.665
			
		
		 sin interés
		
	

	
		","
				$ 5.665
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/EBAY_SELECTION,https://articulo.mercadolibre.cl/MLC-464806163-viaje-afeitadora-electrica-recargable-de-bolsillo-ligero-_JM,NA,NA,NA,NA,NA,#464806163,NA,NA
439, Maquina De Afeitar Electrica Depiladora Corta Vello ,7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		",(99999 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 666
			
		
		 sin interés
		
	

	
		","
				$ 666
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/MULTISHOPVIRTUAL23,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=y1AW0ZvO%2FB1oWZkrqh02secsWi%2BJfKq3oTIqQhakvSW1JmJUVFQp6m3b4zhHG90yfTPzlywLx%2BSmquy0DOUokBAVqkrY312fqUNSTjm7ETbw3M4Ku6RFPcSCipT59HfcTwsgSku0mm0xXsBRXlQOlhUuY2xTFeTLm6zUKQ7zCEFxy%2BlNuodBnK%2BKsp3QKE63PYXISlF29P6zHrGX6Rzh5K02N7LNxKPPVzT4zsI7tO90a1JR9OnxwgbLJ3OjBB38wyAEn7UONyD8HtecZdUe5dDbgbBmSGn7DnpkMJap2RYfBFDLdWIW9wyLPRRWhWV4DCJYpb7WpI2MYZANY9KjOEdAzIL4lMpyRFt71OxqI%2Fh4W6mYGt%2FnxLGXsi8A0q91eOBBo2uym7Ej5SH7P7BiD8AgdJIxsq7FftGckjXSeHcnqA4hxz9eleNyLJRNbHnBLBPN6JlOhR%2B9ac7E6%2Fcr9FNBo0wv%2BEcXUDP7Q0IoA5QVSqUhtliA61DZF6ozcCbFSUCLNJwov8M%2BxzOAal8kh45s%2BIFf2MXbgmIQa79Dp9%2Fgl2%2F4LhP%2FzeQuENkR3L49yz9O8mBUerUIDgJWv%2BfYtcTWQkQwynTHXHTvh%2FM09LzftrFB4tXh0a9MuBeo95aKRp1VLQOxqD6eLK5%2BCHD5zK6PLNt0Sq2trg96Du3K1uG1cqWKgm45hyLno%2FIxuemOLCwrMrJF9BA%2FzPH9rGkh4fBIi40qxbvYzQIap4fMKsryBzWyvCt1nh5aUDRQtc3Dvx9UT%2F8B4Yvs4EKHxdAm26INGRCgcBotTqReFnZRIHOf6Nlacny%2FWXOdQF3WIk0Mv3H3Pig%2FtkDX4eRoyEQ3DCKb6nPQqHkFRvJ0b9l%2FOJn6ZYgm8N1OdPvX24v%2BX4aPc7MZ2wHaSecURLXN7ebrVk5xUMadSCL45jtulpR1q1uMuNbgxOPquzQsjN8uBcEldfrsLqugI9R8f4E4INEOrhSR%2BhiEG7gOOwdbj747oHaew1Z4skmH965yOHUxetwrN8qGvBYHlGWT2RO1GFH5CtIb6G0g3fKIi%2BOxn3ZsVt6O4pdptS5ozeN%2BlUq%2Fmndf3W5QTdNc7X8L8ss%2FMOf6cK0V6xNOyUuZioM3A9pjxl9ZKVv06rdV64ggYyqguXTaF1HxQ5IKe1H%2FvnnXQsAUG%2F7vTWrWE3b%2B8Q8s8DWXAFOx35zrsceMwEr7GWQDP4yq2%2FlPxazRe2bJBVdU5m3bbNoRtA69M%2BlzRvg1zRzBUhumiDWlzpTSKgtzBA6Rti%2F%2Fr%2FHumLGStTZqGNdmDxffoqcszqpmGjE54BS0gIyChh2cK6NlkEOoWjJd5jGcELxa71hw7F%2FOrvifdUVgPBB%2BXPsdAkcdUZuswBOH4Wa09eZlQst1NFeJv%2FXh51UCkOqiGg2J%2FW6nH%2BKc6NAASXG%2F0Gx6n1UOmxAtclo9ae8TFDAFqmHzQOGk6uJxRvc07VyLwtcaeRT6qcVsaH%2BNFutA8gD24OE2LIlz4sQqmt1x2QIQ7A%2FruWyFFoejzVNLgzU8%2FWOBb0Wmhce5n24azbuekcGskXWZtxfnofo7LeP3jOdwWbwZH2%2BAFQFiQ5bCH9W%2Bxp7PlOnqAa875uzjznLfKC8hwA6SP1%2BuATozyVQJ98vUZW4%2F3EolIAZK4VBkXEQOUQ2l0BOKNmR3za4dvpSt4YuK%2FIRm%2B2KhxWprwulQu1lKURh5I5lvHFE%3D,NA,NA,NA,NA,NA,#479673735,NA,NA
