search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga,Modelo alfanumérico
1544, Hoja De Mquina De Afeitar Elctrica De Los Hombres ,301,NA,"
			
				Nuevo
			
			
		",(197 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1677
		
		 sin intereses
		
	

	
		",77,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/COMPRATECHMX,https://articulo.mercadolibre.com.mx/MLM-653102046-hoja-de-mquina-de-afeitar-elctrica-de-los-hombres-_JM,NA,NA,NA,NA,NA,#653102046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1545, Rasuradora Multifuncional 3 En 1 Barba Cabello Nariz Dt269 ,143,NA,"
			
				Nuevo
			
			
		",(5 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1413
		
		 sin intereses
		
	

	
		",13,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/DSL_SANTOS,https://articulo.mercadolibre.com.mx/MLM-679157643-rasuradora-multifuncional-3-en-1-barba-cabello-nariz-dt269-_JM,NA,NA,NA,NA,NA,#679157643,LJK,Recargable,808-269,Planos,NA,NA,Recargable,NA,NA,NA
1546, Afeitadora Hoja De Repuesto Hoja Punta 21b Para La ,421,NA,"
			
				Nuevo
			
			
		",(200 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 2343
		
		 sin intereses
		
	

	
		",43,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/TOMTOPWHOLESALEMX,https://articulo.mercadolibre.com.mx/MLM-669396386-afeitadora-hoja-de-repuesto-hoja-punta-21b-para-la-_JM,NA,NA,NA,NA,NA,#669396386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1547, Hombres Eléctrico Máquina De Afeitar Masculino Barba Trimm ,283,NA,"
			
				Nuevo
			
			
		",(127 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1577
		
		 sin intereses
		
	

	
		",77,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/GABRIELVISIONMX,https://articulo.mercadolibre.com.mx/MLM-667471223-hombres-electrico-maquina-de-afeitar-masculino-barba-trimm-_JM,NA,NA,NA,NA,NA,#667471223,PADDY,NA,PADDY,NA,NA,NA,NA,NA,NA,NA
1548, Maquinilla De Afeitar De Los Hombres De Carga Portátil ,185,NA,"
			
				Nuevo
			
			
		",(30 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1028
		
		 sin intereses
		
	

	
		",28,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/KATEFENG,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=fOcJdNRgKCCWUA0iV8IT1OTxi4xDAxwaw1wYC7GmQmHDshlg4VbH7ePv9mZiO1%2Fjee960gnRNEefZEJPw3Ocr0GHTDuXQWJDHVSmGyPmJDHqc3CuaaeunNXYsaOB103IqUwT9SdfsF5J6EM4IhToCbNsKdVZhuhlmqEZ2vSHfI3B26urGbyMDah9ADKhxjNYhyJLZtpU1WFjWs1UcZDBfVfbGjghrXERuFJhBi4cbibf2SXqSgL%2FyV%2BoPDqpYkDB34efJMACITXCUlxSFW19L8oVF4Kjw8MG4b2NKrU3Ex%2FxThJxIh9dyM%2B5X7k8c%2B7eg3upDl3HNsTp524uCSh%2FAqLP%2FET3qKx0F5lEaAc0R%2F939CzU4on2G986Xk0rbxFj%2BmVUv4YPv%2Fnyq7BaqE586ndxUyJIqBfleZjbxNd1FGA14UmBsSylW%2F1ugBpfheQhhqDaaT1AznZsTzjc4QD69tJmc%2F1XGeFkOEr%2FcZG4SDMU9bvUEfCpsdVZhtmKWV6hcv6yeYitiPzNf0YlaklE7%2FJgI2PkzVjn77w0UBwo1INP4iYrIrCsjKKh1xAC1St4BfJ1g8q5US3z2H1QjVT%2B5BPcR9SdOo%2F%2BX0Msri5fDfiVnQdRDGC58Rc1KuAc5Sk7YGvNALyA%2F3w8FiRTCUIW2RUldDouicpPEGGLekzCx2bsiCs3FC2sob6HWiD%2FKJc8iNG3SbxGljLD5g18%2BqYMjZKUWfV56gtxxY%2FUDPddKqX1aQA8Sr9hl09nkN1vLeOc4NchI1l450bBkmVPn%2F%2F3kQiXdsWmPewI4ONLTQBp1OqjDlP207qKcnBBVbMeSXDuaIb467EFl8IjyyXXviuNeVaXbNMngR1ejxA2P7bTuasJzY23m3Z5JDBQmoMGTOUN%2BigQeC6mksyB8j95lRTw1vodwu8tOOwN%2BQUO%2BKATJY7DAWUCPVegPresC3S8Gr3H%2BCvMyyfQBC5bfEmZLYo8YnHr58PjxwhM5PCR8%2BGD5cOoWwP7lR3i%2FbfmVe%2FgHoGn%2F%2BwQYnnXI1p3vHqMc6iTwMxlfSwbcZgg3LVyLLLEJZ9xaNO%2FPGRG%2Fdw46RhydrRTIi9rfLg8MCCh8yLQfw45ExWo4h%2FBP5or7P8kPPG%2Bs5CosXzx9Keo%2BP2tjsSWONEATwvB1rsdg6ZOiK01edKkgXIrEId1N1aAwycd1uia183VzoIXT6xu2e3r%2FNh79pvOMmzuB3%2F045EgZegCK8%2B1%2FyjPuiGlpPCpcjkHfrTUTofTdB4UiqViHwaoMJtm2nQcVhMlr5mdsVdP1vF%2BArq2P5D78T9jSGb%2BN5rOKNZGcSaTSJlOBG8TK0fIeJxL53dt4sHxKBbQJQJiLoJB06lSQXddY0XOTirc7K3c4g54JIHUNfc4F%2FuwtjN9n7seezwW7NCDd1VQWuWJufXLq4yZ4Rgy2TaQro7kqPTdzEkJJ7jX2lnsBhdE6TAp%2BKcVUiPybso3JnDXEDzoDdvVmvwTYRu5S1T4SmJBhPGoJNwpAVWbhIlla1GaejfbjSzGjL5Ju2j%2BzKhMfrKv6mbN11ux2iIBVRVH9mSo8XPYLQdIWy08i71ea9obVUX0Qiyhy9t9RegE2e7SOjXIAvvqWQFdzmuOPxF1sGBHwAyxvH6jeHLgaSwjQckzVXjf7BCyq63KDWzRn%2FpqI4yg%2BmkbPsaEg7QpbFXScCxXrfepBtmQ4usHEX47z%2F5vZvDd2nPEB35W7Hlw9CdLRa6jrVciObeEmYotXosrw7KnB8ZU5V8xHz7wGd7UA4KLT%2FnFv9lXvs%2BmLiKENk9AtXdYk8HuwkJjos9aXJ349%2FKdhkTompY2yJxMLpv2dQ2nSS0l6aET%2Bl%2F31uPloCfE%2F6ptEYFp7%2FzRXRw%3D,NA,NA,NA,NA,NA,#693804593,Audley,USB,201,Inteligente,NA,NA,USB,NA,NA,NA
1549," Maquina De Afeitar Eléctrica, 5 En 1, Carga Rápida Usb ","2,028",NA,"
			
				Nuevo
			
			
		",(10 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 11267
		
		 sin intereses
		
	

	
		",67,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/OKLADIES,https://articulo.mercadolibre.com.mx/MLM-666319463-maquina-de-afeitar-electrica-5-en-1-carga-rapida-usb-_JM,NA,NA,NA,NA,NA,#666319463,Rozia,Facial,Rozia Pro 5,Giratorios,NA,NA,Eléctrica,1.5 horas,NA,NA
1550, Rasuradora Y Recortadora Vivitar Nasal Stay Smooth Grooming ,599,NA,NA,(99 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3328
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-682746674-rasuradora-y-recortadora-vivitar-nasal-stay-smooth-grooming-_JM,NA,NA,NA,NA,NA,#682746674,Vivitar,NA,PG0204,NA,NA,NA,NA,NA,NA,NA
1551, Philips Norelco Shaver 2100 Rasuradora Para Hombre ,"1,600",NA,"
			
				Nuevo
			
			
		",(3 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 15807
		
		 sin intereses
		
	

	
		",07,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/ONLINESHOP.MX,https://articulo.mercadolibre.com.mx/MLM-679679601-philips-norelco-shaver-2100-rasuradora-para-hombre-_JM,NA,NA,NA,NA,NA,#679679601,Philips,Series 2000,S1560/81,NA,NA,NA,110v,NA,NA,S1560/81
1552, Rasuradora Taurus Tantalo 2.5w Recargable Promocion ,403,NA,"
			
				Nuevo
			
			
		",(11 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 2244
		
		 sin intereses
		
	

	
		",44,NA,Envío a todo el país,NA,NA,2.0,1,https://perfil.mercadolibre.com.mx/TODOAQUI.COM.MX,https://articulo.mercadolibre.com.mx/MLM-635122868-rasuradora-taurus-tantalo-25w-recargable-promocion-_JM,NA,NA,NA,NA,NA,#635122868,Taurus,RASURADORA,Tántalo,Flexibles,1,Lift&Cut,Recargable,NA,NA,NA
1553, Hombres Portátil Eléctrico Máquina De Afeitar Titular Cas ,281,NA,"
			
				Nuevo
			
			
		",(197 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1564
		
		 sin intereses
		
	

	
		",64,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/CIMAALEGRIAMX,https://articulo.mercadolibre.com.mx/MLM-644668123-hombres-portatil-electrico-maquina-de-afeitar-titular-cas-_JM,NA,NA,NA,NA,NA,#644668123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
