search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
1317," Panasonic Razor, Es-lf51-a, Afeitadora Eléctrica Sin Cable ",538.777,NA,1,5,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.co/MCO-445600775-panasonic-razor-es-lf51-a-afeitadora-electrica-sin-cable-_JM,NA,NA,NA,NA,NA,#445600775,Panasonic,ES-LF51-A
1318, Afeitadora Eléctrica Panasonic Es2216pc ,325.55,NA,0,4,36 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SIMARO_CO,https://articulo.mercadolibre.com.co/MCO-446085893-afeitadora-electrica-panasonic-es2216pc-_JM,NA,NA,NA,NA,NA,#446085893,Panasonic,ES-2216-PC
1319, Afeitadora Eléctrica + Depilador De Nariz Panasonic ,1004.55,NA,0,4,36 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SIMARO_CO,https://articulo.mercadolibre.com.co/MCO-446202793-afeitadora-electrica-depilador-de-nariz-panasonic-_JM,NA,NA,NA,NA,NA,#446202793,Panasonic,NA
1320, Afeitadora Eléctrica Conair Lwd1rp ,80.55,NA,0,4,36 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SIMARO_CO,https://articulo.mercadolibre.com.co/MCO-446445273-afeitadora-electrica-conair-lwd1rp-_JM,NA,NA,NA,NA,NA,#446445273,Conair,LWD1RP
1321, Afta Loción De Afeitado Pre-eléctrica Con Acondicionadores ,126.777,NA,NA,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.co/MCO-447991842-afta-locion-de-afeitado-pre-electrica-con-acondicionadores-_JM,NA,NA,NA,NA,NA,#447991842,NA,NA
1322, Aramis Lab Series For Men Solución De Afeitado Eléctrica ,142.777,NA,NA,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.co/MCO-448232983-aramis-lab-series-for-men-solucion-de-afeitado-electrica-_JM,NA,NA,NA,NA,NA,#448232983,Aramis,NA
1323, Cabezas De Afeitadoras Eléctricas Shaveraid Hq4r. Reemplaza ,92.777,NA,NA,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.co/MCO-448381928-cabezas-de-afeitadoras-electricas-shaveraid-hq4r-reemplaza-_JM,NA,NA,NA,NA,NA,#448381928,NA,NA
1324, Afeitadora Eléctrica Kissliss Eléctrica 100% A Prueba De ,217.777,NA,NA,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.co/MCO-448844000-afeitadora-electrica-kissliss-electrica-100-a-prueba-de-_JM,NA,NA,NA,NA,NA,#448844000,Kissliss,KLS7110
1325, Maquina Afeitadora Eléctrica 3 En 1 Trimmer Recargable ,23.9,NA,5,79,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/COMPRALOENCASATIENDA,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=Z5NSn1pErZGlSQ4EqHbT3bKQGu0Gjr4tmTND2VU%2FXC3WFl4sepTg5lGvMrpai8ibxu%2BfloLSzc%2BsVhtyN6pY6aM2oPtYeT79iaNbMW0FQO8qqfalCTpVLY42c1Dlpf6ONXUdFiG1VcYlbNgJ5AtX20MzGwL9nn4oLWTijsDus6ujz7kOlXWY0wi1ZEO1y%2B5GKO5FuWCRTp4qLJRbixC5zFPeYKAl8rnmEhOu4Y1u5jekWIH6m3ZxvnNis67y7qiY9v3DyS%2FAvs%2FoO%2B05jOhypNMx5Y4%2FbKktGpqFcl7OPBCQzAnYllvpZ36DmaqQzLRZt%2BH5LrFSEORjfsuESBcGHf76mD3N2D722higIneTxWYZA95RYTL2Hgl9x6KBISlp2wlzLG1hEMZ6elS5SbblygpUBDDRfZ0OCo319kC%2F4MVIB4fS62tkTRZOU4s349sOmucbXSip6pKULMzDaOVVNPqqpE5EpV29mYKRoTfKUvh0nJ3YgclnpcPsMzGJOwZ2rU7H3O98wBAAVYDyoXxmIY3jqgMWeZSCx5QdqTWhcZxALx26iC17zdY1ktEiX%2FjIUm050vUptQhe%2Fdq%2FsyWg6lM48JNHtyPoZBLbV0ye0V0bA5juGa6TveEruhXjiRVXUoWs5F7FIs%2Bn3cv80QiX0AV19uo8pENkD9KY7CSCQ09%2Fym826kJGf0SPy02YAz%2BcPpGJJiA5h88iWq7%2BNmCF8PcuKF04Xl%2FCNhInpjaAinnER5NvwU12QcfK%2FU%2B%2F7p995TLUwFGF9w2kaujL5Fmg6bTfpAYVwziJgYs7RBWHaKd1FpIGfJVIIv8RlnA03ctx5jjZ%2Fyx3Yx%2FsqU4WxHKCuQHiCRjTGV3jPVyBc%2F66HJHOslWeKg%2FjOkCjYMPmOfMhPfAG%2BCadziKQmqXgst3uz9R4SqJVtivT2FxsV0hmhkBUTyQuSJu6vIOCKVGBjmMZC2SCwRaVjVn7EJ4i8h5nFjNMh7aSarf4MF3rR7P8TxophCqMxxDRyFSazPutuAJXsnwMCHDfKTgh8s%2FSKxvaSzo8x3iISpNGcjssch%2Fo9nBwvOgXrnd2Z8eHWbgHJQqk6Y3KyJqxZSXLtF5Ykv1EOmm9G3q8UJyh7aLP%2BKcyNA3cjroh2chJwTS%2B%2F4CCtEman2AmzkL6hr9O%2FPbqYI%2BI4JZQERmk%2BPrQzvL5Wp7ej6xGkPpLYvwnarZVRgbT%2FpF3qanqogxITsNyUBVyeWJmTOyOAE2Nq72MX%2BTSnG9FpM3fb%2FG9WxzSU1CdOJTVpIXwKlH3Vd70MDWuABvWt5GQjybUFmDJ3AAX46fal3R88ooWq0WkPqRJdziWATMn06ZLodJtb%2BY6IQfLDGvPo2FK%2Bp0gfI9NGNm3aDKru5WMhhBfZBr9I2dOqD6gCglZ%2BOorHMBkmiqn2sUroqQnfXWFj5GyQYiklpVybk97eSN8cBnU9UJBKTbwVEPPhRSSy7jKS3OsmWlX2hdY2iAomIV%2B9baZC90NRPf7ehkSh6OIIz8fMB4g9YyQpqo6r56Wxg%2BWo%2Ft0TP4SJZb0dcClvsr%2BEJj2f2z%2BDjB19IHk9qf8fUqCzpa0WRlbdHbulTbN3kuz2RNihMYNSo1OB5fTZlGd723GcnTEur3EOwFC02blYQ9czDPb%2FiHpYLJX6j6AzhmdFfOJ4EjMS%2Fffy0xX9pUjy%2Bbv1R9D2FAfcP7926vhziKycxilEojHanVo80K5AMSZm5zD3dKBGchUfmGG7w4Kvg%3D%3D,NA,NA,NA,NA,NA,#502627029,NA,NA
1326," Depiladora Eléctrica Para Mujeres, De Afeitadora Eléctrica, ",97.777,NA,NA,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.co/MCO-449401475-depiladora-electrica-para-mujeres-de-afeitadora-electrica-_JM,NA,NA,NA,NA,NA,#449401475,NA,NA
