search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca
804, Ablegrid Cable Para Remington Afeitadora R-860 R-870 R-872 R ,1824,NA,NA,100,18 cuotas,101.33,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452278667-ablegrid-cable-para-remington-afeitadora-r-860-r-870-r-872-r-_JM,NA,NA,NA,NA,NA,#452278667,Remington
805, Ablegrid Cable Adaptador Para Cable De Afeitadora Norelco Bb ,1824,NA,NA,100,18 cuotas,101.33,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452059767-ablegrid-cable-adaptador-para-cable-de-afeitadora-norelco-bb-_JM,NA,NA,NA,NA,NA,#452059767,NA
806, Genérico Ac Adaptador Cargador Para Philips Afeitadora Hq671 ,1400,NA,NA,100,18 cuotas,77.78,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452278745-generico-ac-adaptador-cargador-para-philips-afeitadora-hq671-_JM,NA,NA,NA,NA,NA,#452278745,NA
807, Genérico Ac Adaptador Cargador Para Philips Afeitadora Hq784 ,1400,NA,NA,100,18 cuotas,77.78,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452278749-generico-ac-adaptador-cargador-para-philips-afeitadora-hq784-_JM,NA,NA,NA,NA,NA,#452278749,NA
808, Pwron Cable Plomo Adaptador Para Afeitadora Norelco 1601 160 ,2102,NA,NA,100,18 cuotas,116.78,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452059999-pwron-cable-plomo-adaptador-para-afeitadora-norelco-1601-160-_JM,NA,NA,NA,NA,NA,#452059999,NA
809, Afeitadora Philips S1070 Seco Humedo Autoafilable Pcm ,2340,NA,2,999,18 cuotas,130.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/PCM+URUGUAY-SA,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=gUwr8cgoEv03EnEqgwKh%2BSurLbUS0qLMgfxwf3sDOUxILQM0Qnq2qC4gkPWScfxZaNEQcg5siNZP16SUHxqsZd8jESa7wm0Z7XSa0NKPTqW5EtN58PnQ5hFkqKTGSwnWZBBOp3S8iHujRVHxsnbNqi7yTQjxSm7P7D27arGY%2F7lIWzVawbcuoDOb5EqH%2Fj7IlRTTJGjAUlXMxmxyEHwDbZqjCEtkrD77g3vt2Qjkf9n199QT8CWbAnv50bRDu6awkK8L2FOUXydvqY7hvwta0o%2B17YogySMkLdpbbYR5cHpMO%2Bxc4sARRKps5kgAeGw2RokwXpUaLu47T5ob89DcvWZf2l7yTIbaoSZLXbQiHvN9CvqWOD5lNcSet5LZRx%2FdOvYemOuudRoEdc7ogBh7tpui8y3nUKA04XMMIPGNTAqjxTbzqhzXUC1Y%2Bx7qaKnE%2BFe53WMetfSFfdrG0TzZDKhIh6h8mwQ8aHO%2BhjNrN%2Fs5G7TrpVFXOvM5BhbECs%2Bg0wt5dSeBt5YPj%2BQpoCPUK6YxH6SkFN40o6l%2B8c0Su%2FkFRxrkgE%2FKvmS1f7zxi1LNWx9Ok7VgbrM6G0GeQrQNk52CIW%2FyP0QIXlyA6PYf93DaUFNRSUN0f8IAiMnltHTLRBCDZuy4jXnpOMIKKHQaF1Ss%2BAv7sCq3DRyMM1gGlo3Eusvc4v4FSKOyi4WDLojKZD8saE9vfP7GMPlFz6%2BRuzvULI60qcbXzjEThp8ATeS%2BCXwwJU46fWK6MG5CvvSOT0WcX78n%2Bh1Jn7Iy173WoeYyJw5Upp%2FsQj%2FPf1HXBz2pHTAvAowzvvVU17uIARo9oEEzyGD%2BShEzESb3%2BB7k7Jt4CJiQp5iOMX7otGcjBA6hqcpb3As5wGAcmYcME%2FsAwydDFQr1qERayb%2FYdRuH9KomNVk%2Fyp7oafkRKDOslCt1GsEp%2BFtDIPWqd3xj5I3USUsYXP%2BgvRplnX0%2FJAlfOB3mKKJTzp8kVF%2Bhmya%2BXJvjBytLNrtgpOPVmo9z0I3uEKFnwCQfVkXugb7mgKhuCXx%2FyFqtBa1oWBEvN93ffcflf2CGhDglTzLqE6%2BxdBY%2FBRjKao8pU4lknDXnAmwY09PZbPb45Yjl222VwOZc6Kh3woavCRdval4hjp94WYD64KajvlS9V4hlA7kxYDXzwnDa8x2N3A7p4zT3NXeBBhlbUWNh5VENAwS%2F3egzgQjZMj8JmmnYRq4vj6tfK2v0SzuG6%2FNTmpoHaM%2Bu9BrTs4S1SX7X27xmnwbA%2B4LYZfuiL5NbId354fgkMHy4MW4P6E7%2Fe9d%2FWyJ2axg9kSivtdF%2Fxlbrmmo8hsnrN9OtlpoGv6jLQhwQUA4EhRK3U6xcUer9fuomX6DoGS%2B9yda%2FLfKc7INDBHcTnP79VKSoihCFLzNZGvMEEc1IzyHjF%2FuNBTzjux%2FdQQ%2By3URG4FNPEt%2B0uepOI4TzuiCFRAkcG6n1XfauQU0g34b7I0OUYpiidMy%2FibScVdsLJaVa8c2USyl3%2FUqcD3UMXKT9fXMRH3pA48MYukE6BLwrbsI%2BGX%2FFCtdAMrVYD75X3udDCGfLafVf91ygedxwOaZc1aKPyxC22KoCg7os52ZmCcukPsBByrNH4GMvHmNuMSDNebXHkHeLXLknaTLkXSsWNsq4qI2U4KI0nzT2wK4wlRG9LwDBMxQ3dM5Xg8uPK6nc%2BwFZghrnaoO43KjdrTmH,NA,NA,NA,NA,NA,#464192046,NA
810, 3 X Para Philips Hq9 Velocidad Verdadera Xl Afeitadora Cabez ,1583,NA,NA,100,18 cuotas,87.94,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452381302-3-x-para-philips-hq9-velocidad-verdadera-xl-afeitadora-cabez-_JM,NA,NA,NA,NA,NA,#452381302,NA
811, Pkpower Cable Para Remington Afeitadora Rr35 Rr41 Rr42 Rr50 ,1976,NA,NA,100,18 cuotas,109.78,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452381467-pkpower-cable-para-remington-afeitadora-rr35-rr41-rr42-rr50-_JM,NA,NA,NA,NA,NA,#452381467,Remington
812, Nuevo 3pcs Para Philips Rq32 Rq11 Sustitución Afeitadora / C ,1332,NA,NA,100,18 cuotas,74.00,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452381736-nuevo-3pcs-para-philips-rq32-rq11-sustitucion-afeitadora-c-_JM,NA,NA,NA,NA,NA,#452381736,NA
813, Afeitadora Eléctrica Rotativa Remington Grtia 2 Años Oy ,69,NA,0,5,18 cuotas,136.93,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/OFERTAYA+UY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=t1pIHERNgmdU4YdQ4x%2BZFOEf7Vxl9RGFiUSRQPL6vRBAXy4GyS1fUHvL%2Bi5mcfV92z0H3KSLJm6ZxtytbXWruYMJSpCkBKDqo0kR96ClRUJbFJ1%2FqiG8DnZWsPvIs3dDJuDun4XaPejZIK5TIjATsbaPgENnhYkyXbFYvhNJiy2TPyGYXzbxK9eEtRR2xsX5K3p4Eipkw3IByaljN5pHRnHA%2F3lg5UFpy%2FKVogxnu1n3%2FzE%2BvgWeySq6wELCf7hC9t1ZrkbcK150QRVXD1I3D9WPBNFprQJmqSTtupaoFdSwJZ8FcnCxYX7g9OfKWPKaUJOa5SWk53D8qqHmSjH%2F3ZnfS5w87z7ZmdGQ6gt354KwzrmWVOinXRtbJNDMQP4atcpd1O7N7Y%2Fc%2FsHgt2qldYxetmzj25C%2Bup57INSeL%2FK0xbeWfQ7Xq4fdvO0MxF08FGnBAX82OEtiAXDRKuimgc3g%2FkQMY%2BRF8ZJWXD1%2FuVKRrAC79arE5BcDinK1wiA%2FrUsYTXrq8LNHOr9fOcqCR88P%2BLD482bXWGjTcmvZ3yzn9YSOPzG6%2BiNdAH5vy8Ny6XwGgskop40l5%2BStinYvvkqSGYaZZ48gsGZaKoeCsCC1U6lFbWTW%2Btvb1kNICqhecVh75yHXAja%2BV7McWMEPE3K18hXNzyvcegr14kl0Eg0NaJdSdPf0vUvMjI7MgsmquyXgRZkqq4tgr9RXg0gnjrAWlprFhEk%2B4QGALRfvraRsK%2Bycx9Fp%2B34DMgKSzNf29DB7cDqq7iIL9HZwHzjqw8AbaT06oV637vZ73rrNIZMlwWtQw07MFeivD92Rlk0JNQT6D6Mj%2BUbWHecPIkwQxn5HpwH1PBZ3aW%2FTsq%2BMW16bHlK%2FoM2dhV8oQgRqzwJrjYOYWSuFKPWlDQ%2FdPceZTh2DREsY%2Fh%2FZ2cK82nfgQB9IUX1t%2Bdr8%2B9OLQq%2FaL2vGgfSUkH4EUhyTSuWdQGjTgF4qqYU7GbkwsM6c843T0Tisp5ZG4%2Bj63ikiLxn2zkaBb9u9YLsmlxtphRuNsg28wZJCP4rttee0E42og1ukrhtCbunBw6FDvjOK0Sfm2OjbvVXnng2%2FNv%2BHb853IQ4GrMqwFI%2BhqBx4KGZN0xj%2B83q6j168ZZCDkJB%2BM74SDtVGd%2Ff2k19N4mE9FpYT7auwEhOoPIxyqkui5Zrz64aYyUE7Hp%2FnIk5WERJKuuTT52fWAkgSlTmIorJbmW16ogdNI6iBAhAS6vUL4P%2BS95GTHtRYLuYDPutJE2%2FHNUiEseSN0%2FwY2JcIAhf%2FUlZ2ei5L0KOQvLw7SoTMbCQxYO0oDCVb%2F7KIfM1XNR38vdbna3OvM8P7hE8%2FVIamlIAv%2Bass56v48btnXHJxmFQO6xFp4dBwo%2FpmlzILjuB0LKVlp%2FaZ9oIpP%2F24f%2FrGsNimoEHfI%2Bjyqw2QNz%2FeiqshlNuId0IDYd56ANIqLkYCSKu2oGN7FTOAu%2FSSQmS1fdylKY9VrsHpvFWyFY1dVhfeDNQ%2FdscFuQl6%2F68%2B5Nn46KrfL4Qjvmprgx4tTVWkkdI%2BObwILX0V3s5OF5%2FNaKSP59d2eu1VNw8mmrr2ysqznkcDc4LheKFqa4B%2BinZdpUX8%2FMXysz61YrMfbFWKaIa9Livjq%2BGCEu2i2srTPF6dsp5kaDwkXw9I8n5QQgrH1z89ajvL2G3P15jD2ALeYhAZ1HFMq3vOhK6PzjuCB7awcLQ%3D,NA,NA,NA,NA,NA,#465392880,Remington
814, Cable De Corriente Ac Pwron Para Remington Afeitadora Dt42 D ,2102,NA,NA,100,18 cuotas,116.78,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452060232-cable-de-corriente-ac-pwron-para-remington-afeitadora-dt42-d-_JM,NA,NA,NA,NA,NA,#452060232,Remington
815, Cable Genérico Para Remington Afeitadora Es1000 Df5 Df10 Df3 ,1967,NA,NA,100,18 cuotas,109.28,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452381908-cable-generico-para-remington-afeitadora-es1000-df5-df10-df3-_JM,NA,NA,NA,NA,NA,#452381908,Remington
816, Tapa De Protección Del Cabezal De Afeitadora Adaptarse Hq820 ,1409,NA,NA,100,18 cuotas,78.28,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452456127-tapa-de-proteccion-del-cabezal-de-afeitadora-adaptarse-hq820-_JM,NA,NA,NA,NA,NA,#452456127,NA
817, Pkpower Ac Adaptador Cargador Para Philips Máquinas De Afeit ,1849,NA,NA,100,18 cuotas,102.72,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452570898-pkpower-ac-adaptador-cargador-para-philips-maquinas-de-afeit-_JM,NA,NA,NA,NA,NA,#452570898,NA
