search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Tipo de casco,Línea
1,Casco De Moto Económico Modelo Color Entero Negro,60,NA,13,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-436152797-casco-de-moto-economico-modelo-color-entero-negro-_JM,NA,NA,NA,NA,NA,#436152797,NA,NA,NA,NA
2,Casco Moto Abatible Hgv Certificado + Bolso,159,NA,6,294,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FUNDASYCOBERTORESPERU,https://articulo.mercadolibre.com.pe/MPE-435205463-casco-moto-abatible-hgv-certificado-bolso-_JM,NA,NA,NA,NA,NA,#435205463,NA,NA,NA,NA
3,Intercomunicador Bluetooth Para Casco De Motocicleta,175,NA,22,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERCOMAX+SAC,https://articulo.mercadolibre.com.pe/MPE-431325039-intercomunicador-bluetooth-para-casco-de-motocicleta-_JM,NA,NA,NA,NA,NA,#431325039,NA,NA,NA,NA
4,Casco De Moto Cross Negro Mate,140,NA,14,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-431865227-casco-de-moto-cross-negro-mate-_JM,NA,NA,NA,NA,NA,#431865227,NA,NA,NA,NA
5,Casco Para Motos Articulados,130,NA,4,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-435034835-casco-para-motos-articulados-_JM,NA,NA,NA,NA,NA,#435034835,NA,NA,NA,NA
6,Casco Moto Negro Hgv Certificado + Abatible+bolso,159,NA,39,298,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,1,1,http://perfil.mercadolibre.com.pe/FUNDASYCOBERTORESPERU,https://articulo.mercadolibre.com.pe/MPE-432617110-casco-moto-negro-hgv-certificado-abatiblebolso-_JM,0,0,0,0,1,#432617110,NA,NA,NA,NA
7,Casco Ces Moto Certificacion Dot Integral Negro Mate,159,NA,7,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,https://articulo.mercadolibre.com.pe/MPE-435174325-casco-ces-moto-certificacion-dot-integral-negro-mate-_JM,NA,NA,NA,NA,NA,#435174325,NA,NA,NA,NA
8,Casco De Moto Articulado Abatible Negro Mate Nuevos De Stok,135,NA,28,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-426041940-casco-de-moto-articulado-abatible-negro-mate-nuevos-de-stok-_JM?searchVariation=40455808756,2,0,0,0,0,#426041940,FG+7,FG+7,Rebatible,NA
9,Casco De Moto Negro Mate Con Visor Para Moto,55,NA,17,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-430195534-casco-de-moto-negro-mate-con-visor-para-moto-_JM,NA,NA,NA,NA,NA,#430195534,NA,NA,NA,NA
10,Casco De Moto Modelo Integral Color Negro Mate,80,NA,5,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-435035720-casco-de-moto-modelo-integral-color-negro-mate-_JM,NA,NA,NA,NA,NA,#435035720,NA,NA,NA,NA
11,Cascos Ym-329 Para Moto Y Bicicleta Certificado,59,NA,4,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECH-COOL,https://articulo.mercadolibre.com.pe/MPE-435404383-cascos-ym-329-para-moto-y-bicicleta-certificado-_JM,NA,NA,NA,NA,NA,#435404383,NA,NA,NA,NA
12,Casco D Moto Aleman Vintage Motocicleta Proteccion Seguridad,49,NA,50,9984,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZOYUO,https://articulo.mercadolibre.com.pe/MPE-430189064-casco-d-moto-aleman-vintage-motocicleta-proteccion-seguridad-_JM,NA,NA,NA,NA,NA,#430189064,NA,NA,NA,NA
13,Casco De Moto Tipo Policia Choper Con Visor,55,NA,39,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-422140438-casco-de-moto-tipo-policia-choper-con-visor-_JM,1,0,0,0,0,#422140438,NA,NA,NA,NA
14,Casco De Moto Articulado Para Mujer Mothza,140,NA,2,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-436509833-casco-de-moto-articulado-para-mujer-mothza-_JM,NA,NA,NA,NA,NA,#436509833,NA,NA,NA,NA
15,Lentes Gafas De Motocicleta Bjmoto Envío Internacional!,119,NA,7,60,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PKIMPORTS+TIENDAVIRTUAL,https://articulo.mercadolibre.com.pe/MPE-429018866-lentes-gafas-de-motocicleta-bjmoto-envio-internacional-_JM,NA,NA,NA,NA,NA,#429018866,NA,NA,NA,NA
16,Casco De Moto Negro Integral Económicos Nuevos,65,NA,2,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-435036153-casco-de-moto-negro-integral-economicos-nuevos-_JM?searchVariation=39631644990,NA,NA,NA,NA,NA,#435036153,Axxis,fg+7,Clásico,NA
