search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Línea,Modelo alfanumérico,Peso,Usos recomendados
1, Casco Moto Hawk Rs1 Integral Negro Mate Tienda Oficial Full ,1773,NA,"
			
			
				
				250
				vendidos
			
		",(6 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,304,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-777255941-casco-moto-hawk-rs1-integral-negro-mate-tienda-oficial-full-_JM?searchVariation=34759668371,202,64,32,4,1,#777255941,Negro mate,,Hawk,RS1,Integral,Simple,Cuero sintético,ABS,Adultos,Unisex,NA,NA,NA,NA
2, Casco Moto Integral Ls2 352 Negro Brillo Single Mono ,3490,3890,"
			
			
				
				204
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,219,https://perfil.mercadolibre.com.ar/LS2-OFICIAL?brandId=157,https://articulo.mercadolibre.com.ar/MLA-653198003-casco-moto-integral-ls2-352-negro-brillo-single-mono-_JM?searchVariation=27844857694,154,58,5,0,1,#653198003,Negro brillante,XS,LS2,F352 Rookie Single Mono Negro Brillo,Integral,Simple,Poliestireno,HPTT,Adultos,Unisex,Integral,FF352,50 g,NA
3, Casco Moto Integral Vertigo Max. Full. En Gravedadx ,799,949,"
			
				Nuevo
			
			
				
					 - 
				
				667
				vendidos
			
		",(11 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,42,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-683109534-casco-moto-integral-vertigo-max-full-en-gravedadx-_JM?searchVariation=35477314606,30,9,3,0,0,#683109534,Negro,"L (60 cm),S (56 cm),XL (62 cm)",Vértigo,Vertigo Max,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,Vértigo,NA,NA,NA
4, Casco Moto Integral Vertigo Dominium. Full. En Gravedadx ,2699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				792
				vendidos
			
		",(62 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,202,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-698754581-casco-moto-integral-vertigo-dominium-full-en-gravedadx-_JM?searchVariation=32109894632,125,53,17,3,4,#698754581,Amarillo fluo,"XL (62 cm),XS (54 cm),L (60 cm),M - 58 cm,S (56 cm)",Vértigo,DOMINIUM,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,Vértigo,NA,NA,NA
5, Casco Motos Integral Halcon H57 + Cuello + Guantes Fas Motos ,1405,1967,"
			
				Nuevo
			
			
				
					 - 
				
				650
				vendidos
			
		",(1384 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,286,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-744827612-casco-motos-integral-halcon-h57-cuello-guantes-fas-motos-_JM?searchVariation=26854120381,176,66,31,11,2,#744827612,Negro,"S,M,L,XL",Halcon,H57,Integral,Doble,Resina termoplástica,Polipropileno,Adultos,Unisex,Integral,NA,NA,NA
6, Casco Motos Integral Halcon H57 + Cuello + Guantes Sti Motos ,1405,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2244
				vendidos
			
		",(18545 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,286,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-616668706-casco-motos-integral-halcon-h57-cuello-guantes-sti-motos-_JM?searchVariation=27050402200,176,66,31,11,2,#616668706,,"S,M,L,XL",Halcon,H57,Integral,Simple,NA,Policarbonato,Adultos,Unisex,Integral,H57,NA,NA
7, Casco Moto Integral Vertigo Hk7 Mate. Full. En Gravedadx ,2899,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1382
				vendidos
			
		",(26 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,202,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-673895784-casco-moto-integral-vertigo-hk7-mate-full-en-gravedadx-_JM?searchVariation=25749397874,125,53,17,3,4,#673895784,"Azul,Gris oscuro,Naranja,Rojo Flúo,Violeta","XS (54 cm),XL (62 cm),S (56 cm),M - 58 cm,L (60 cm)",Vértigo,HK7,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,Vértigo,NA,NA,NA
8, Casco Moto Hawk Zx7 Mx Cross Negro Mate Tienda Oficial Full ,5995,NA,NA,(10 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-796287611-casco-moto-hawk-zx7-mx-cross-negro-mate-tienda-oficial-full-_JM?searchVariation=39610166914,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,NA,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA
9, Casco Moto Hawk Zx7 Mx Cross Negro Mate Tienda Oficial Full ,2930,3999,"
			
				Nuevo
			
			
				
					 - 
				
				315
				vendidos
			
		",(125 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,887,https://perfil.mercadolibre.com.ar/CYCLES+MOTO,https://articulo.mercadolibre.com.ar/MLA-755651553-casco-rebatible-rs5-hawk-vector-doble-visor-cycles-_JM?searchVariation=29459445374,564,235,56,16,15,#755651553,,"S,M,L,XL",Hawk,RS5,Rebatible,Doble,Cuero sintético,ABS,Adultos,Unisex,Rebatible,RS5,NA,Urbana
10, Casco Rebatible Rs5 Hawk Vector Doble Visor Cycles ,2999,4198,"
			
				Nuevo
			
			
				
					 - 
				
				565
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,542,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-617028559-casco-rebatible-okn-10-doble-visor-cuello-guantes-full-fas-_JM?searchVariation=35227027266,341,137,46,10,8,#617028559,Rojo,L,Okinoi,OKN-10,Rebatible,NA,NA,ABS,NA,NA,Rebatible,NA,NA,NA
11, Casco Rebatible Okn 10 Doble Visor Cuello + Guantes Full Fas ,1773,NA,"
			
				Nuevo
			
			
				
					 - 
				
				497
				vendidos
			
		",(6 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,304,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-636093454-casco-integral-hawk-rs1-2019-sti-motos-envios-full-_JM?searchVariation=25890123643,202,64,32,4,1,#636093454,Negro mate,"S,L,XL",Hawk,RS1,Integral,Simple,NA,ABS PREMIUM,Adultos,Unisex,Integral,RS1,NA,Urbana
12, Casco Integral Hawk Rs1 2019 Sti Motos Envios Full ,2990,NA,"
			
			
				
				170
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,23,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://articulo.mercadolibre.com.ar/MLA-770829978-casco-moto-integral-doble-visor-vega-rs1-_JM?searchVariation=32988912556,23,0,0,0,0,#770829978,RED SLINGER MATTE,"M,L",Vega,RS1,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA
13, Casco Moto Integral Doble Visor Vega Rs1 ,2150,3225,"
			
				Nuevo
			
			
				
					 - 
				
				654
				vendidos
			
		",(3740 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,100,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-745949532-kit-casco-cross-h5-mx-road-antiparra-guantes-sti-motos-_JM?searchVariation=32278932606,63,21,14,1,1,#745949532,,"S,M,L,XL",Halcon,MXROAD,Cross,NA,NA,Polipropileno,Adultos,Unisex,Cross,NA,NA,NA
14, Casco Motocross Oneal 2 Series Rl 2019 Mx Enduro Atv ,5995,NA,NA,(10 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=pxzUnm5JaMxyP5e21xW%2FqNCCNAMhn2EgDhqXZyURaEACQ1JQv4EoqcKGWhXlfFC8r%2FIKtzT5ichwX8hq6L4AkJhM4DcZLK8ZLpuW3uvAvgTDlaARd6LdQJO3ydTCshBdHEk%2FzTenVII9%2BGLftoQMhA7YZGLB3yMnkWsoTL0ZyG8%2BkhOGkgdEkej6b0If2onZD4rnpc0R1imj4d932AGZbbHg2pcVOuLGhrUhBMcFBScK%2FfOrXxeZBlgjCTb0w%2BLjn3vRMXtpXv8Eexl%2BWT4WcXFT4Eaq7vdwNuO%2BZIu6Talu0CFBWsYzepQT9fP3P5c1K9i2joyezzYwXZH9%2B%2FAyess%2FdR5QHpBs%2FPTQZVIsYY9CMs0Wos1bknZ7E5LCkvXDupAzmkyhZV2cL%2BC%2BvMMG3fyQIenfehxkCTjFH%2B0q1xJ7umi1x8rU%2F8COr67Fpr%2BYoJrojV85GNGG6CrlBRPPBANv6e3DzmMNLKzEfo4gAcq7yo7PWbUhCf9RzjS%2FP0NXxkPBkIADCOWKzN21kdYDgZKivUGXXgSta42f3zCsVa0WwELM2OiUGQMgiAJD2eZ57jp0cI4Gp5z4ndPPWiysx1e%2FQ%2BdlNLgia%2BwNejpM3dTn8rVyPJ7%2FGgYLlC8RmQkbgaijtZKs429WXb2a0WQwLjB1c%2BponmtA85NlCg%2BAgJ8rk8fjego9xv5Abl7K%2BtyqgKzMY2tkbOfXhEYrKQg%2FSswypFbEBegfSTQIRfLpDCPEmCuRTlhPSo%2BahL6dxok4Xj2UxguhQUyviRtFq8m9TvW7C5Jz2yxCh1bfhpjlORPKPRAErZzLwxpw7cwAHHq3XmuJbp2flKPdhWbukWJNL2eB8GeWl4yrYRRrEbCsai35W9mUv2DLW7i0KOAOKUuS%2FXVn1GQ%2BzTOK98g2zXUi5Bn%2F8zsUfkPTjZsV8r5BPoiwgQkKcUK%2Bl5uNJ0CP40dncK8HM8pj9TTBWQ9romZrfQkDenADgVhtef3qdpcm1tfSOhIlAnWiae9OytGCiR52ecLyHuG3DFlihs3zh1IProJQ8Dh3MML1mIP%2B%2FXME%2FhDE9LrbaEzEwlvyIJFmk47lSZsUiKX8a%2BaQea3MsbE%2FjiybLAmuo1EbWTmmO7Qh8WYBa1gGwiTZxW%2B6fbS16cbR4G1YgbOM8ZKp2MrxySGz9ot3AUwx%2F%2F5G%2Bi%2FKc68jVLIPeiAEJS27lrZ4A5wJYqNeLJl%2FNm0%2Bp7j66R3pFK22Bv%2BWItXkBhfayQo2ytnD1ppNVKkrQeNvwYyW5iMyr0l8yCSs5sH6sS3NdwcVuRDssAbj0%2F3kja1jfUY%2Fpq7kYN3lQQDVCmWDfkPxodAEZblbFrk6e4zbugTXOxEd%2F38DH0w304TfB2CXW1F4yPf1JFYG%2FXajv1meY6%2BfzoR1H0o0wCyR4x92RPx2M6CLi1ILyhPQSsmhrdQXJReXxS0nBO25l%2FXrHaslfv25OsUJMIor5FGJwPKUvdJ5GKttwSw1jbhDbxpJOjcQ7b9QCDAo4VhdFtZgpYYd7Ml%2FMLqX7A%2ByH0aD9kgdup2nBY6Q4DeXk%2BKTbhEcuTr0%2BaKbAhyD7KHqwYc9xPcLQqjqwEu35pjoiZu7uS60H87RBUt7NNtklddowcgy8qKFdFlMGDjSdcscrkYK8lb1snbDLBkeRgBKvY7jQ%2FOinXR6QoP%2ByksHoOcnhF4qsnAiA9ZSndFXNGhp9CqtfhhCltAi%2Fd%2B0lrVIzcblsSd5uSbV%2FMyw2P%2F1y670j97Q49DEiSucwOu0VktX9JoJTGcP%2F1EQdA9xVX8Q7AE0Vc4ErgV%2B9bLY9KKfjepbchELL%2F45yA%2F0TayRyPjn%2BpXptRwZZN5ob5D0lGiohVNeBTBODcKhGhK0HQ%3D%3D,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,NA,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA
15, Kit Casco Cross H5 Mx Road + Antiparra + Guantes Sti Motos ,1999,2999,"
			
				Nuevo
			
			
				
					 - 
				
				560
				vendidos
			
		",(151 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,304,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-642846851-casco-moto-integral-hawk-rs1-2019-negro-o-blanco-sti-motos-_JM?searchVariation=26383822678,202,64,32,4,1,#642846851,Negro,"S,M,L,XL",Hawk,RS1,Integral,Simple,Resina termoplástica,ABS PREMIUM,Adultos,Unisex,Integral,RS1,NA,Urbana
