search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Peso,Línea,Tipo
1192, Ahr Casco De La Motocicleta Modular Flip ,314.599,NA,"
			
				Nuevo
			
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 26.217
			
		
		 sin interés
		
	

	
		",NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IMPPERA,https://articulo.mercadolibre.com.co/MCO-524350624-ahr-casco-de-la-motocicleta-modular-flip-_JM?searchVariation=40526104561,NA,NA,NA,NA,NA,#524350624,Red,NA,AHR,Imppera,Rebatible,NA,NA,NA
1193," Casco Integral De Motocicleta Con Certificación Dot, M ",460.900,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 38.408
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-466256748-casco-para-ninos-motocross-youth-dot-approved-moto-yema-_JM,NA,NA,NA,NA,NA,#466256748,NA,NA,Yema,NA,NA,NA,NA,Integral
1194, Llavero Maycom Z002 De Moto Y Casco ,490.900,NA,"
			
				Nuevo
			
			
		",(5 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 13.636
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MASFRESALIMON,https://articulo.mercadolibre.com.co/MCO-466616666-casco-integral-de-motocicleta-con-certificacion-dot-m-_JM,NA,NA,NA,NA,NA,#466616666,NA,NA,NA,NA,NA,NA,NA,Integral
1195, Casco Moto Integral Certificado Hromx330 Dot + Obsequio ,70.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(3 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.969
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/GETTING.,https://articulo.mercadolibre.com.co/MCO-467892378-llavero-maycom-z002-de-moto-y-casco-_JM,NA,NA,NA,NA,NA,#467892378,NA,NA,Maycom,NA,NA,0.07 kg,NA,NA
1196, Casco De Moto Shoei Solid Jcruise Touring Negro Mate Xlarg ,159.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				13
				vendidos
			
		",(27 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.442
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFM.IV,https://articulo.mercadolibre.com.co/MCO-475472321-casco-moto-integral-certificado-hromx330-dot-obsequio-_JM,NA,NA,NA,NA,NA,#475472321,"S,M,L,XL",,HRO,MX330,Integral,NA,NA,NA
1197, Ahr Casco De La Motocicleta Modular Flip ,314.599,NA,"
			
				Nuevo
			
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 26.217
			
		
		 sin interés
		
	

	
		",NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IMPPERA,https://articulo.mercadolibre.com.co/MCO-524350663-ahr-casco-de-la-motocicleta-modular-flip-_JM?searchVariation=40526083494,NA,NA,NA,NA,NA,#524350663,Black,NA,AHR,Imppera,Rebatible,NA,NA,NA
1198, Casco De Moto Fox Racing Race Para Jóvenes / Niños V1 ,3.707.900,NA,"
			
				Nuevo
			
			
		",(12 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 308.992
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-475547659-casco-de-moto-shoei-solid-jcruise-touring-negro-mate-xlarg-_JM,NA,NA,NA,NA,NA,#475547659,NA,NA,Shoei,J-Cruise,NA,1 lb,NA,Integral
1199," Bell Custom 500 ace Cafe Open-face Casco De Moto, ",643.900,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 53.658
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-485123942-casco-de-moto-fox-racing-race-para-jovenes-ninos-v1-_JM,NA,NA,NA,NA,NA,#485123942,NA,NA,Fox Racing,Race,NA,NA,V1,Cross
1200, Campana Moto-3 En El Terreno Casco De La Motocicleta (quími ,566.900,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 47.242
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-486096232-bell-custom-500ace-cafe-open-face-casco-de-moto-_JM,NA,NA,NA,NA,NA,#486096232,NA,NA,Bell,Custom 500,NA,NA,NA,NA
1201, Hjc Is-17 Casco De Motocicleta De Admisión Rosa Púrpura Xs ,833.333,NA,"
			
				Nuevo
			
			
		",(3 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 23.148
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LIZETH.GUERRERO,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=mnKQNl5rbb%2FS1X9oq3bfVvYTK6LoJCa8lGvkpJHAUjBKQH49L7sGQik80NWxjnUPEfG%2FniPt4Rn7l3jDcrtcrgEFgVRL7U3XClc4WW3gd76fXgx1Odn37CEGJOSWCZWf89x7Uc30w1Wb3l74T6zsZYlDdbU3seGi6XyeGHgKgh11l7uYqKhjBqsd5jkJUdEuox%2B9pVk4yVOFTdect3TfEv%2FIjuA%2FvYQZMDBjSPG9FVUovU9HZiSnL5z0JXXFwtSsGWKAFrY1rENJPaEwYf6jOUNn%2F%2Bt%2B80a3QfWP1DNPGx9g4eI0jPLj%2BKSMZwDZNUgdmxQ2lbi1tc4QOwiRrZLTl5rkiuToChIWi0TS5r5XfqOlIDZ30MVBT0x79FTEFbur2ukY3BLS%2FTytdPKRGFuaa1sWzXMsLxfZgqoO%2Fo1bK2fHFLeK0tsLUXn3g8zAplDp%2FCEGZ8RIvw6gk3qBbsvpyVK8jVINPsFQvSvvltS0N7GVQ6NhRpAFbY8vUH7G7rlvnhBEkdc47RmxJNEi1BuNtAbjZTM9f%2F%2FB%2BJjB32x7EuXoFm3QXFXzWsRyl%2BsDKiaTTEskb2SvqXciSe56JU188tCBXMZEqmrrd%2BNt9gIXiDEReJxki3t6LT%2BaIgDlZdTExdTTeaoKo%2F6sxA5IF6yvuXvGACkxHlyqNkZ0xDVUQiP%2FSYcsKmVV4u7HtsgSL5JGf7VnuODzo7APMkaQCFxh2axY%2BVx8iIbIqpx6ggM5Dn80xeBavlwT3a5kibwzpb%2FE7KXjFrD6jyIm2FvHnNWtAQ%2F6Z2zi73o7R4cnbqdOdDlrKk3gnGg8mGchiuNWc8ZOzjlK8updAOGeoiZ64JWljIoiWZ3s6TXHC9rQOJI%2FUzixu6NkMabM0AevzhyNXzVxH%2BE8l0v1l%2FhFx59oWv%2B4P%2F4g%2BBFi4gtuVP%2FdOWexYdAXWHPz11fi9YTutlEDgfUkQNAyHzzc9moXXjeEKGzubDsQp6TOd1VhBOwMBcoWmu%2BVJdWtqQo29EKx8ZBm02%2BuPgZXC0qS9mMM7l1gGrFC5ST4TwQse3kW2skiZb2E%2B0XHK1b3I%2FBH6drG1arFrElcUSSk1hG6WrThuf%2F4aUBRoP3frC700oDuAZayuQ08KeLJjfSYtbobzwcuHklJSa5jwrhj1rIIfKApW1VW3kK5cXWB4%2FfG0PWKKKFIaHZquFyzYuqBnHaFn5hzv%2FCYqP1RPfgRf4xmCV0k6n2pZdTHz8%2BN2FjsRc9K1R%2F%2BCSj8K1BqG4RL%2FtJcv8POOZK4glbsKumfeO11%2BPSvkDi7cxT4uQZd3GcfPA%2Fh5u5yut0aDuHb3TJ5jUakBXAVIlvRvVYQnSas7Tn5XCXl%2B0Xf%2FyPFdyyhnWeW%2Bir3J5hInti%2BNPS5HJskh2MQys1K7CeF0U4b60FD12uw94O3fP3iO3EOb9pTGamde%2FHS81f%2BW7Ud99dW%2FzKdRHgzgK9NGX5yshTHI8%2B2a%2FhHzkzv%2FXgbDLgdodJbYbpe1ZsXqBbAPhx2PvabtWmH8Py5A405iEsvsHbl3zoW0HVQBB29NCwDmIbH9AQ0chPUAw8cWVfuTj%2BzxNEO3Qx9fiFmZbTS2wtgh%2FeEh2K9RR%2FgPvsgYsxUATOcxhYXfB4b3Kd2nZBewlRMGbeL8oa0ddF77yeW%2FrIsgs4tYoplqK%2FjwsJId0twFNTE6pmd6p4940fjZnsgiYnxjjR6%2FEaQc8%2BKJ2qIJl1Qm26cmkqkbrz2yG1vJqpouROg3WkpgTwim7B7dp9VYjSjK84SOi%2FrKuvRFtG66sIa7i3xet%2FKqHlg7muctJNAOZD6ImPn1LTJK3Eu762eKmXt%2Fxg%3D,NA,NA,NA,NA,NA,#492392426,NA,NA,HJC,NA,NA,NA,IS-17,Integral
1202, Gmax Gm17 Adulto Harley Crucero Casco De La Motocicleta - Da ,1.570.100,NA,"
			
				Nuevo
			
			
		",(10 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 43.614
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/YOUR.MARKET,https://articulo.mercadolibre.com.co/MCO-491040814-campana-moto-3-en-el-terreno-casco-de-la-motocicleta-quimi-_JM,NA,NA,NA,NA,NA,#491040814,NA,NA,Bell,Moto-3,NA,NA,NA,NA
1203, Casco Moycle Casco 3/4 De Cara Abierta Cráneo Fresco Moto ,321.599,NA,"
			
				Nuevo
			
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 26.800
			
		
		 sin interés
		
	

	
		",NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IMPPERA,https://articulo.mercadolibre.com.co/MCO-524350681-ahr-casco-de-la-motocicleta-modular-flip-_JM?searchVariation=40526109424,NA,NA,NA,NA,NA,#524350681,White,NA,AHR,Imppera,Rebatible,NA,NA,NA
1204, Biltwell Gringo S Mens Casco Integral Street  casco De Moto ,382.800,NA,"
			
				Nuevo
			
			
		",(10 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 10.633
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/YOUR.MARKET,https://articulo.mercadolibre.com.co/MCO-491040983-gmax-gm17-adulto-harley-crucero-casco-de-la-motocicleta-da-_JM,NA,NA,NA,NA,NA,#491040983,NA,NA,Gmax,NA,NA,NA,NA,NA
1205, Colores Motocicleta Modular Visor Casco Dot Xl Negro Mate ,1.211.900,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 100.992
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-491352280-biltwell-gringo-s-mens-casco-integral-streetcasco-de-moto-_JM,NA,NA,NA,NA,NA,#491352280,NA,NA,Biltwell,Gringo,NA,NA,NA,NA
