search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,Marca,Modelo,Tipo de casco,Línea,Tipo
11, Casco Abierto Nash Maxx Shiro Nenki Con Visor Y Lentes Uv ,32,35,6,NA,18 cuotas,61.60,NA,Envío gratis a todo el país,NA,NA,4,1,http://perfil.mercadolibre.com.uy/CAFERACEUY,https://articulo.mercadolibre.com.uy/MLU-460324922-casco-abierto-nash-maxx-shiro-nenki-con-visor-y-lentes-uv-_JM,0,1,0,0,0,#460324922,NA,Nenki,NA,NA,NA,NA
12, Casco Integral Para Moto Marca Vento Mod Italy Con Gris ,1290,NA,13,6,18 cuotas,71.67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-459212375-casco-integral-para-moto-marca-vento-mod-italy-con-gris-_JM,NA,NA,NA,NA,NA,#459212375,NA,Vento,NA,NA,NA,Integral
13, Casco Moto Rebatible Hjc Rpha90 Mate Black Fibra De Carbono ,690,NA,1,2,18 cuotas,1.328.25,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-460267841-casco-moto-rebatible-hjc-rpha90-mate-black-fibra-de-carbono-_JM?searchVariation=40283787148,NA,NA,NA,NA,NA,#460267841,Negro,HJC,Carbon,Integral,RPHA 11 Pro,NA
14, Casco Moto Husqvarna Motorcycles Gotland ,890,NA,0,2,18 cuotas,1.713.25,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AMERICANDREAM+URUGUAY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=DzR2E5ReND8ZX1itREi72ea5FvKmVpkPqZ1ifAPTXEwwsQXP9XcVhG3NJH%2BYyazO6vRVeYZfmCJotP5yHoCdx938o7FnXGQDqZ4un0dyYyuxyH94cW3JKBD2tEvnwupiFcp%2FnbTqg7jahvT2dnDGzO6CDUvWJisZ5N%2B%2Buv%2BYkd0CpP7%2BGtDKrdZVJEIEKBbZn8Soz622bLzA7pNO35HQMzM3ow0jstGfU%2B1Qj9xViFN5%2FHVnWpeyH7zRAXPf%2FK989E6YPaAzCdz4sRajSwFEMfP8IanR%2Ft62eqO8gqnvdAPhunn2Sne6lUA5doYJvSsL%2FK%2FEorjBBFqLQvMIQ0IcrVU8bNh0GJCCROkqlmUXPp9xcUNWDONZfEZb1KdHvldtwGJrhgTf5YtSnbxJtxeT8m5%2BQiCkVpwhBLHCgRK5yYg%2BHU4cPeN7cFBrE5sRQ5zc5ZnSjSask2SQbMnjnF%2Bqoou%2BTzvA7qyMSHrf4lL5cPmSuhBZEN7IliJzr1PMNZZPuREoEolVpXKRf2PXhD18YfSF66A8AP1SGSg9B%2F9qcPyUzWjqbo%2F9rVuTpKDYNHN8P7P5nZui9m7I6kiHInH3pqK3iI6rmakVdnxS5KS7Ufg4F8WjqJ%2FHoPCTGciKTwqgXHUaiLA5xV2d10xxnYWqD655VUGacyB4H2bH9T71Xb9VeRyRQ3gOl%2BT0Ixu1BVFEfwQsGzO%2F9DM0Qo5I89Vje21LMYjvcBmGFj%2BVQLrm1O9RbsC6AVfZa87PAItNKghd6kRD7navxFl5Bpz5KLFpapF2axrFOi%2BkBYvY56WXMkzmachm%2FrQSOhMZjdLvz8nH7E0LFM%2FU0q3Twti%2FoNFXf9cfYV2X9YYrHwLq5y%2BqDc49McIn9nFkQiOX9k7XwfLfg7Gpw%2FSx7xY081oW1KJmMG3vdrbrn%2BJzbg418X7JiOlMEXgxUdnXQZncYQ8%2FV9Rvs2RgpFjMdHP4FnEfSytZYKfAJ3cxsPoUtvHN9ZsrO5TBYlYv9LUE9EikJoUNzKVccwk9DPXkqhNR1AMVnqulDUSRcOek6Q5vZ%2BFs3UAzH9ROYkMk5q98xEraqWfU9uJ0fJOM0CuCtyHaGxL7JgpxDdd7PXqbjF%2FEIVPlLUBER5yV%2FUIVeENduA1jTkP2hUvhuxTjm9p7Lqb%2Fk%2BbV9IEVTnUwfq9lzNSPQqFJQ%2FScZKWYtBbw8uf%2BFX8xFVDG%2FGruFbesSOMd3E32QsgycXS7wujXcjo9wzrc9LpBwSoW0lRQylM0Lcem8jAQFLUTqvkAfO%2BRuSCbQ0Vbw4dw6phh8fxYiLL0LyJVnkvj63GDjTly5Kst30ZDAYfXgfaLZJ8vY9u4uNhjf%2B3iWvtYNxmaQiJ1KUbBj0Mf4cVjLuw0dh8XO34XdgrRTaGPSNWTEC%2F4qr2wLJVZ8YMhaXQRHgkgQtXmPj6FU3L1qkLxMHiGtl%2BiH3YR8TiD%2FnHCEdRIlTILaLVjO%2Fls97bvezWqQKozJWLR5ibJqTNitrUoeIFGYAp1XSrfgQV4p9RUUZ3kW0c%2BalUmfEC6Dx01NZQ1eybcXwdWO8W57i1DFKnlAAPNox629EQxJZmqY4DH3C584obBrFZFefzWmxFdjpMWXUU7rWOZsP0nslgO5PQLPhtrAgQJmTOeSfwZNmUtQDliWM8GxfJUwnCCYCiqY4Am3fNhMxtmlzObWTjRbazJgjDDgKvkeaHj1%2BUKBYdhq5%2F2yaQJG5Y1sN3CaqKt5mkpbPbu6%2Fj0dDSBHjH3Npj9TYsr3uHGEW9ZOtlfwHMs1%2B%2FmkmapC9Dgjd0%2FntjncQWO%2Bi6fcryJwrM9ZVsMnl24xoePFxtCIA%3D%3D,NA,NA,NA,NA,NA,#459369166,NA,NA,NA,NA,NA,Integral
15, Casco Integral Maxx Varios Consulte Talle Y Color Disponible ,1230,NA,164,6,18 cuotas,68.33,NA,Entrega a acordar con el vendedor,NA,NA,4.6,17,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,https://articulo.mercadolibre.com.uy/MLU-443908518-casco-integral-maxx-varios-consulte-talle-y-color-disponible-_JM,12,4,1,0,0,#443908518,NA,NA,NA,NA,NA,Integral
16, Casco Moto Rebatible Givi X16 Voyager Antracita Con Lentes ,219,NA,6,24,18 cuotas,421.58,NA,Envío a todo el país,NA,NA,5,3,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-446875319-casco-moto-rebatible-givi-x16-voyager-antracita-con-lentes-_JM?searchVariation=16566253194,3,0,0,0,0,#446875319,"L,M,S,XL,XXL",GIVI,X.16,NA,NA,Rebatible
17, Casco Mt Thunder 3 Con Lentes Negro Y Verde Mate ,125,NA,7,17,18 cuotas,240.62,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-453055870-casco-mt-thunder-3-con-lentes-negro-y-verde-mate-_JM,1,0,0,0,0,#453055870,"Negro, gris y verde mate",MT,Thunder 3,Integral,NA,NA
18, Casco Moto Evs T5 Venture Dual Sport ,295,NA,0,NA,18 cuotas,567.88,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AMERICANDREAM+URUGUAY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=cugIXo6RDj9vHEpegxsExGgAISus2NTkBEvEk7KG7VfUIaVfLHNjffo8%2BH7NHJ8CZEkR8UBulMbK%2FgOirmGtU7nU3Il0s2y4QmcLyd9XK3umKsBKrmiK3DSybLXsU5QgyLucvyKTU6gJj5l4Ao7NGjjnBUfo718aYtKwk4LpeMpUVQ%2BFkUDH%2BkITm5CWUdmUOODijFmOkOlr9rR5bZB0M%2Bev8bUB6Ak0huJj47qX2%2B%2FOJJuvrDx3eYvmixXsk75PMevDhk9gCM4RRKku6GBSCzv3UrXggzW7qPNQ3bdCxofHhJetZcPl8FTuT9UWOWp%2F1g4WqlF7iF0hlEi%2FVcF2EuVZGgJBNUpvYa5%2F0SkBbI2h1qctNUmRHDOU19Bi5Y4bFp7mXvaw0Obd9h9skSkokR%2F3Fd0TQ9260dBY3KI0294ggY2BwSGxMWJKQT2xa7RXqkiziVSiaq6ZteSJQl294gvHWCw7dMlE4cExqf%2Bz%2Bm4pok1ofdjw9bEUQkI7rBmgUCQ%2FWimK7ubcsJIgdDHYA45TOeIA3Qn%2FO%2B4sdDPdfyKS4lpzxmci5SCNaKyj4MDqSIl1%2BliE2FMYaF2igmD3MKalJZWMurZDAC%2FWqO7uoqa%2Fd7i0djHcXxQ3%2BqvAWRjKE15V%2Fl4rLMNhoEP385%2B60UnTy6gNgKiTs6J9fxUdSuJpmFmaUzS4JKNMhNJpE%2FXL%2B0q4U38TupfdKUbQ3oC0%2FgCJ4PNFxijUL00d8N%2BHfgeUazEdxbv0UWYevGJ3loyyusFqo55gmvF8uWaCKOGeZMMaGov6F7KcSj%2FtkbYbDvILLemakIGsSgfoLx2AUazow%2BdLWv3XWdopFqU%2BJPegwpU%2BKeoka9q5mgdpH1msQRVoxK2fF59yxJxXRZrpKyDD63N%2BC8nRr%2Fl2e4idiLZX%2F7bJpZ8LBJkXynIRGrK%2BqUiM5SyC2C9xZeiIIAnUzOefIN2doRyb0XcjH7lM7OwXI2eYsLhAZgnd4qsra%2BWZf9tcLhzFMVEqhKqDbLm%2BMg%2BdMnKUcZs7E8sumZ8PxGc2fiKIgk9PTmE0jBEfEFY5VVIvtK5REDIfKBVmZhfuyv03opJlQg1Z6QUXR2gFUrXpx5YDBYsmwAW0zUyV9NLg5q9MkxWyBeqlEzakNAlDCyhYrk8zkaI2oBFASS95g1z1bDEPVmN6cY4a366V1KWvEGXSxtU8fBr445BDsB8WqSKwnUEd6cKJJCLz20lo3bB1cJectYGpXG87IyKk54MaW5aa%2FRsYM2A9XfSRFK%2F1PSucXIDeMw5caDyYxR%2BLftkQ9NRpBBUmpVV1Y2C4xKSzOO2FYVF49TjhYct7Toj%2FSsDNy6ERsUoZH2HuSytOTunx%2FfkLOduO4WE2NsBaS4o%2BaAGkNfvJTLMVGXI52FhWtSu8sZ3jy2%2FnDjW%2FjtL0u1TutuzuiD0R2czxcCdAcfRTu%2FYE66NC3OtW3XOdeUFCpE4mYwfESh2PcrY3vvshoHt7xXzEIQONPWmxcLXAT4dCDRvhFlC9PD15qtyvtPIWNE7ITSB976uCrXLBkYyXbmjaw5efsi6whUBY1DY9LYe30kdUK6HLngJRHn2Ydko0Z%2BlL2ao8ASZNgoshEAqPbb%2FJYN1XuSQDtgl1oq2Yg8T1fC1quCO5G17uEuF6Wu2U%2Bm%2FOxRht%2Bje0DuI83L7q%2BJNEUz5IoxHaChe6p%2BdPp2Q1Ouk4Y6gwNcfLFABc7WLjUWfiwG2pNuNWpV9gv91KYenc3bb%2FRi41sXTijotPzJ9EuWUOp4XI8YORHK53DEHpGVtWibe55f7GtA7V%2Fcx%2BCegEKQwNDHOUZ%2BgXxhjIc7xK,NA,NA,NA,NA,NA,#459347885,NA,NA,NA,NA,NA,Cross
19, Casco Moto Hjc Is-17 Arcus Mc-1 Con Lentes Incl. ,259,NA,5,NA,18 cuotas,498.58,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454979871-casco-moto-hjc-is-17-arcus-mc-1-con-lentes-incl-_JM,NA,NA,NA,NA,NA,#454979871,NA,HJC,Arcus,Integral,IS-17,NA
20, Casco Halcon Basic - Nany Motos ,990,NA,8,5,18 cuotas,55.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/NANY+MOTOS,https://articulo.mercadolibre.com.uy/MLU-460165753-casco-halcon-basic-nany-motos-_JM?searchVariation=39434346987,NA,NA,NA,NA,NA,#460165753,Azul,Halcon,NA,Integral,NA,NA
