search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Peso,Tipo
11, Pack 2x Casco Moto Abierto 4rs 537 Verano Certificado Dot ,29.99,49.990,41,9,6,4.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-473556472-pack-2x-casco-moto-abierto-4rs-537-verano-certificado-dot-_JM,NA,NA,NA,NA,NA,#473556472,NA,NA,4RS,NA,537,Rebatible,940 g,NA
12, Casco Moto Tipo Depredador Certificado Dot Con Luz ,199.99,NA,51,3,6,33.332,NA,Envío gratis a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-439930838-casco-moto-tipo-depredador-certificado-dot-con-luz-_JM,5,1,0,0,0,#439930838,NA,M,NA,NA,Depredador,Integral,1890 g,NA
13, Casco Moto 4rs Mx Enduro 166 + Antiparras On Motocross ,57.99,NA,91,5,6,9.665,NA,Envío gratis a todo el país,NA,NA,5,7,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-439510792-casco-moto-4rs-mx-enduro-166-antiparras-on-motocross-_JM,7,0,0,0,0,#439510792,VERDE / ANTIPARRA VERDE,TALLA XL,4rs,NA,166,Cross,1.3 kg,NA
14, Casco Integral Ls2 Ff 352 Star Negro Gris Matte ,52,NA,4,NA,6,8.667,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VIGA-MOTOS,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=kOAJYE%2FfFUkfaSqZuji9yQVWYOU6xQokhrlTQByP5Lesws0KXrnk1EkWbMxbYKeFKevLAV5T7485Aqe0YxES2nqBXVrMgXsbrs1c3gYFLXxYhxY%2FULc7y1nkqWbjzTVwwRNJTGiafhuxbWPcMrbThfMqaXB1YcrEiBPu8Z2Rn1zlc%2FO1vkC%2ByyA%2BT9RkQ3f4tOi%2FSIpHbHPgAaKDy%2BYrOlB%2BLfcoJXko3yqvA3Zi2A5EK9sy8l3HFsIplWFsHmEJi7NSY%2FC8gjMNP2cglZHxvjOaqm4K84PJ9Ig5XfuUAM1U81x1EsJ%2FA6hMoU%2BZaHLf9sVTaIElWhbStSPYXgxUys%2BKm3PUCQ5JLDMLVLpfHJbHo3tpwVb6tSoJCljVpM7LkPQa2UHC%2BL8j8SRMJHtMPJ0shvaf8zbvKZukFNMsKR4uXeYq9QrhHzcHLHnoBxdrUs0Y%2FPsOw4IPHu87hg7vcDj8MsYgaCAtyKixI%2B6Hvfv%2BDvxB%2BLEfOKSOWx%2F9ULyME9OuKc9Wp%2BY43oJucVHd9wWvagEJ%2B8MaAN257TDrLTlEBuBqh7VEsmMx8H3uY0FKC8NXLJC38pERpdOYzxzLGG2iFKqlRajPzJfUhgKQwZJPHxgFHq3MN3AtPXIMSYYxTG7faTxWMSnh%2FqTweeHzcs8SSreQsjxRNfFZ98Yqwihw1gz34vytk3AcNLzkffdg07x5NECyhHOiqxWfVthkBkUlvz75hutLOBMF2Vz2VOw1FAEXpnFbZvQcbS82dXVdlb%2Bh5EenR7SgEMsRdBgS4J2B3suebm3mqDfwVQvc3HgSRk6Ko59bv1I6yzjWuE4El%2BpEaU3IzV12BttyxPLXT%2BZDHCHqQ9tdx%2BS9MPWUlD4nH52m60h60TktNnVb%2FlCVDKGnfxUiMlOAQFyKd3p%2FLDCmlnnanhx%2Fv6jZ1xZgMoBeF7BE0YghI%2FRCAHDg6zhi8v9lFCTOeT3aaomMBEr1MCFrPrFHD6yfaGXm%2FDCOunF5jV3WXsensLAckCBp5C3sKhLhr40BdAM2ObRiXJOiGzxXgwsVYSArfaQfNcQF%2F0tNPy%2BS7VZqmELZXRJ4OVuvw7F5x8RqYZ6gxNnggaOCUvmZt6smo1X3nckZcLd9pRruftKNnwZEKj8S%2FruoHpj12qpLAdyAuBHERd1c4xflWrdze3Yvat7YiV42f4pXIpHWB1zUpMfMcO0yAQhxSlToCU69sJu6XSNZMCdmp8iu7qiI8JmQ9A4Q6Il8m3G31h%2FSBTDyyKoIe8vl1Us0XLdFz9X8u850pWlWFQVpfYIM2evCkx6bAw%2F4A0MWEmsUYqwqhZ9RzMaUVZSIo84DJVsdqVR8nlvyMCJwnxyvVE1ZyvqkX9xY3bFEdSwU9yOwQBZc9jQnpi%2F6bxm6Q%2F4GVhrWPZP9tGXuUi88%2FrNqFv3Pf2t5D%2B%2FpOnKfA18hzuq%2BNJK2rNTbKyPGID8CXc2zVKItiCaaaDY9Kpiz8eNQwzmo1KlK4fzR9mG89Edx6KDzoePunWWHtjWn0K%2F4cpRjSVZ2w%2BNZ68Y653Q9ZQN81J2VInfXm4IG7Sab0Ui9ir18N36fKBwZc2FylpEbPVNbkAlKWrFmzMWG%2BImL6UuBUJmZ4k%2BZ2%2FDdg3KoxsGbbDsFuTZ2TPzz3B%2BPLVhU5yPqjxogTsXe1lX0vnYE0AiaaGYrfjRnpP0RGKXmPaTJS%2BBfcSxPa86qQo3pNbViD3HDCV7qk7bHfWRsD8cFezedpCfkjQCDsw%3D%3D,NA,NA,NA,NA,NA,#465832999,NA,NA,LS2,352,FF352,NA,1300 g,Rebatible
15, Casco Moto Ls2 Ff370 Abatible Milan Negro Amarillo ,89.99,NA,14,11,12,7.499,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-480650256-casco-moto-ls2-ff370-abatible-milan-negro-amarillo-_JM,NA,NA,NA,NA,NA,#480650256,Negro/Amarillo,"S,M,L,XL",LS2,NA,FF370,Rebatible,50 g,NA
16, Casco Moto Armad 606 Multiproposito Norma Ecer 2205 ,74.99,NA,37,35,6,12.498,NA,Envío gratis a todo el país,NA,NA,5,4,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-440296538-casco-moto-armad-606-multiproposito-norma-ecer-2205-_JM,4,0,0,0,0,#440296538,"S,M,L,XL",,ARMAD,NA,606,Integral,NA,NA
17, Antiparras Choppers Retro Café Racer Polarizadas Tornasol ,5.99,NA,15,35,6,998,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PINCHEIRAMOTOS.OFICIAL,https://articulo.mercadolibre.cl/MLC-457631556-antiparras-choppers-retro-cafe-racer-polarizadas-tornasol-_JM,NA,NA,NA,NA,NA,#457631556,NA,NA,NA,NA,NA,NA,NA,Abierto
18, Casco Moto Abatible Yohe 950 Pink ,65,NA,1,9,6,10.833,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VIGA-MOTOS,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=VKahYUeQhGXo28jXxCWx3wSdPi6NIkm3Nx4OMsr60A8Wy5AxnMmnJHWhhA8EWsBKTCGjXmkyIjWZ23jVEHS4CrDDwhrWd2pj2CTm64G06bb04AHmFIyLe4iGRhCvYisUaAXzqgOFAhCRYhmqX2Brecz2tFMGEIsy6zMQldcRzENK05L4RFSxXVlL%2BBW%2FwkNdyosRofqONzyoaVaDQzCUR0UsQg7zjML7wCYfCbtgVyFRn0TxzbWKZTDR5VYiFMY2d3yZMiVz15zjlfXAyUJOcA9M1ra4kSZeHaqS0oNd%2BP8M0xwuOq%2BjutNMDEyFkNykBVoc7fI0IkmtXuzNMXeeylcIIVXiIjS1g2UYFHknLrj1%2Bf5sGNRUN0b5JQXKlNI24wYMYMWv4LOh7wVJ5M%2BC36smnROFzM%2Bu1c6PBfxPAA%2BN5ZSSu3DvyKdebhUxieHMw5xdes%2B3vShTHFMzPffBY5SX0GDbxdsWdMH3kBJEiz6lIQKy01S4aw2B9%2F84aJ4b%2ByCQhHY%2FwJh1P8%2BJQk4eTubje5t3ZVvMLpg40K%2FgaVQxRHzAC8yll%2FvhTVdpclKhbK2O33FLymNTt%2BLoLY58Q7i9ufZNt6rBuqSQ1HkS1172e8rxHJy%2Fja4l6J4cFeFbuh%2BZoiZUiK2Fj0kZZudLpLqWy01pxPcvLwtrTz7%2FL5oX%2BlSBJ1GjlksJfTrtKVKSJs3EmTHJgx8XzutTcdsJCVyj%2FV9Qigh54DVjx8GtmkW76aI1wAoGo0jcqpvD6GPHYLnoEIE7%2BSklJ2YiOu0l5gAE34s9QOuCgsSMP91TzvELQ1EkTpfZxbN2uJOdDqqehAceOUSi4Tl6swr8aMHqwVmEFltvoMkzpUUsPfUu5wXOc%2BdKcLfu%2FkVxiXs6MORXAywbIw2kiJFyjqV4EhdgJsKa7WY6DvCmFED6KRyU%2B94L7AK76zC1ra5SBvZPVNOVRd4SD3dfP1q2JTKrRc%2Bj8pPpQsQEcxGQtUK6Z0i2WUwuFJjAoQCFKRl8jPDIg121iYsjH1OOmW%2FCe77pgX8eWVfB9%2FPe55KWl1HqrmadS141y9nsuoOhFPcFBzNuNHhaAIpPlE4QWr9b0j44g2aRrSba%2FtWblCm6%2FXM%2FqrmMoIHaEkFjHv0%2BjTgcXhPzlVN4ryGEAlv4FbyH4Kfjy4Zeqh6qJ4FInC7spI%2BFllYQKuv028cLP%2BdjyTh0xic841U2CWrf1nF6vKMRdliSQFtSMxq9ixXhzOpt4S2UjkPXzz%2Bf%2Fh4ZsyRxT9JcssPHfRiosyhK8R7yPWe%2FoMm7Q7io8nNHny9WQpqDT7gvwMavzzSXexUF7eLgEc448EltTo6YIRTNMCF3eXS2CmcssevfOCqCi91H8lQLTy4JRCuWtioSNUBVFF5ku5Ltz5zRY2uPJhdygdSF9L6iMJ2S26X2gq9WibZabNETP9%2FrM4F7MIcsI6muoKog%2Fq5oxlqha3hfAAOkI10wRg%2FMFshIVOM%2FccxFoeocWw1XhGHd7notGYrlgcB5C3oWOaG7%2FId2T2cVnvP%2Bj%2FRJJddIcx%2Fyqi90%2BGOdxf4udZvzzSoqRAZiSMbKyymOnEYKsGbqjRr3Iq0jIy9RLMALsCGiH3AVBjBBdxjl%2Ft8wb53byjxuDFSFDiMLMpXv0F9FhFg8ltdUqcKVyOGrWfGc1LQiD851pVcxIzFuCzWycbxqHDk14MQ7cNuFo%2F5FzEiOmKuJzyZzcKqTwXlEICc%3D,NA,NA,NA,NA,NA,#456425712,NA,NA,Yohe,NA,950 abatible,NA,NA,Rebatible
19, Casco Moto Ls2 Ff320 Stream Evo Jink Negro Amarillo Matte ,76.492,89.990,7,25,12,6.374,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-480106756-casco-moto-ls2-ff320-stream-evo-jink-negro-amarillo-matte-_JM,1,0,0,0,0,#480106756,Amarillo Matte,"S,M,L,XL,XXL",LS2,320,FF 320,Integral,NA,NA
20, Casco Moto Ls2 Ff325 Abatible Strobe Zone Negro Amarillo ,99.99,NA,40,16,12,8.332,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464625811-casco-moto-ls2-ff325-abatible-strobe-zone-negro-amarillo-_JM,3,0,0,0,0,#464625811,"M,L,XL,XXL",,LS2,ZONE,FF325 STROBE,Rebatible,0.155 g,NA
21, Casco Moto Ls2 Mx436 Pioneer Element Negro Titanio Matte ,134.99,NA,25,21,12,11.249,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461069835-casco-moto-ls2-mx436-pioneer-element-negro-titanio-matte-_JM,NA,NA,NA,NA,NA,#461069835,"M,L,XL,XXL",,LS2,ELEMENT,MX436 PIONEER,MULTIPROPOSITO,1350 g,NA
22, Casco Moto Armad 813 Mariposa Mujer + Mica Iri Azul Luz Dia ,49.99,70.980,60,148,6,8.332,NA,Envío gratis a todo el país,NA,NA,4.4,7,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-439929799-casco-moto-armad-813-mariposa-mujer-mica-iri-azul-luz-dia-_JM,4,2,1,0,0,#439929799,Rosa,"XS + VISOR AZUL GRATIS,S + VISOR AZUL GRATIS,M + VISOR AZUL GRATIS",ARMAD,NA,813 MARIPOSA,Integral,1550 g,NA
23, Casco Calavera Burbuja Doble Uso Craneo Choppes Moto ,37,NA,3,2,6,6.167,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VIGA-MOTOS,https://articulo.mercadolibre.cl/MLC-489832649-casco-calavera-burbuja-doble-uso-craneo-choppes-moto-_JM,NA,NA,NA,NA,NA,#489832649,NA,NA,NA,NA,NA,NA,NA,Abierto
24, Casco Moto Ls2 Ff324 Abatible Metro Evo Negro Matte ,129.99,NA,18,18,12,10.832,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-465996876-casco-moto-ls2-ff324-abatible-metro-evo-negro-matte-_JM,NA,NA,NA,NA,NA,#465996876,Negro,"M,L,XL,XXL",LS2,EVO,FF324 METRO EVO,Rebatible,NA,NA
25, Casco Moto Cafe Racer 4rs 588 Con Sun Visor Certificado Dot ,29.99,43.990,81,44,6,4.998,NA,Envío gratis a todo el país,NA,NA,4.9,7,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-443922843-casco-moto-cafe-racer-4rs-588-con-sun-visor-certificado-dot-_JM,6,1,0,0,0,#443922843,"L,XL",,4RS,NA,588,Integral,1000 g,NA
26, Casco Moto 4rs 125 Motocross Enduro Juvenil Full Color Dot ,37.99,NA,70,18,6,6.332,NA,Envío gratis a todo el país,NA,NA,5,5,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-446124740-casco-moto-4rs-125-motocross-enduro-juvenil-full-color-dot-_JM,5,0,0,0,0,#446124740,"XS,S,M",,4RS,NA,125,Cross,980 g,NA
27, Casco Moto Armad 813 Negro Cert Ecer + Mica Iri Azul Luz Dia ,49.99,71.990,25,243,6,8.332,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-446124431-casco-moto-armad-813-negro-cert-ecer-mica-iri-azul-luz-dia-_JM,1,0,0,0,0,#446124431,"S + mica azul,M + mica azul,L + mica azul,XL + mica azul,XXL + mica azul",,ARMAD,NA,813,Integral,1500 g,NA
28, Casco A Casco Comunicador Motocicleta Intercom Moto ,5.104,NA,4,186,12,425,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CIMAALEGRIACL,https://articulo.mercadolibre.cl/MLC-466954258-casco-a-casco-comunicador-motocicleta-intercom-moto-_JM,NA,NA,NA,NA,NA,#466954258,NA,NA,NA,NA,NA,NA,NA,Abierto
29, Casco Moto Ls2 Ff325 Abatible Strobe Negro Matte ,99.99,NA,18,24,12,8.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461028633-casco-moto-ls2-ff325-abatible-strobe-negro-matte-_JM,NA,NA,NA,NA,NA,#461028633,"S,M,L,XL,XXL",,LS2,NA,FF325 STROBE,Rebatible,0.155 g,NA
30, Casco Moto Mujer Abierto 4rs 215 Mariposa Certificado Dot ,25.99,NA,74,6,6,4.332,NA,Envío gratis a todo el país,NA,NA,5,5,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-443288631-casco-moto-mujer-abierto-4rs-215-mariposa-certificado-dot-_JM,5,0,0,0,0,#443288631,NA,XS,4RS,NA,215,Integral,890 g,NA
31, Casco Moto Ls2 Ff320 Stream Evo Negro Matte ,84.75,NA,19,7,12,7.062,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464570985-casco-moto-ls2-ff320-stream-evo-negro-matte-_JM,1,0,0,0,0,#464570985,Negro Matte,"M,L",LS2,NA,FF320 STREAM EVO,Integral,NA,NA
32, Casco Moto Ls2 Ff320 Stream Wind Fluo Rosa ,89.99,NA,6,19,12,7.499,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-475251345-casco-moto-ls2-ff320-stream-wind-fluo-rosa-_JM,NA,NA,NA,NA,NA,#475251345,"XS,S,M",,LS2,320,FF 320,Rebatible,NA,NA
33, Casco Moto Armad 907 Abatible Negro Opaco Con Sun Visor ,69.99,NA,21,76,6,11.665,NA,Envío gratis a todo el país,NA,NA,3.8,5,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-443922918-casco-moto-armad-907-abatible-negro-opaco-con-sun-visor-_JM,2,2,0,0,1,#443922918,"S,M,L,XL",,ARMAD,NA,907,Integral,NA,NA
34, Casco Moto Shoei X-spirit 3 Marquez Motegi 2 Tc1 ,549.99,649.990,2,4,6,91.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-461163067-casco-moto-shoei-x-spirit-3-marquez-motegi-2-tc1-_JM?searchVariation=24694949950,NA,NA,NA,NA,NA,#461163067,TC-1,"M,S,XL,S,M,XL",Shoei,NA,X-Spirit III,Integral,NA,NA
35, Casco De Moto Abierto Estilo Aviador Super Oferta ,39.99,NA,42,19,12,3.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALONLINE+EIRL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=TmOKSC2TnLptYqBgBrsMdI%2Bl9726CMHI085ohnccswvWTPxMpEmJPc4ZdR0yW4B1EEWnMzv5YX5dl2Ff%2B2s6MEleazrPi1k0qL9kGmsXtTAJpGDEqbKd3TbG6%2BsLkORxBg304BtfAjDJs8nM5nB3oE2Yw3n6N4T5TD3qDNsq1%2BbnNxNqhVQOfnePqfphTp%2B%2FPBe8RF93TQ35csWkzdFde%2FxayJ%2B2QV%2Bauhf3bEI9kz28ZETVPm%2F2jxBNZUXwMQRQHHCwcviPSY3Mj4X%2Bg0yGiGqe24BzknG2JARR5R%2FuRYDwtNPxFsGWvbrv2WOm63tX%2BruNb%2FM1PCEJBIy3P%2B%2F9rI94enQwYrqjhs82UNkAYcXUOyHQRCfGWB567Rtgy3vAk1qYjFo9ZWlcU2RZsXfSyNlb1N4Ce%2Bf%2FWoT7uzMGE2S6SruP2%2FNyl5bSeB88CGsuv%2BGaBMfP1etBgdfyDj2rIFB2W4bKLpovr5cW2C%2FVNUvodGw31%2BZxUyhonw36oVeIY6P0YTRc2isI5ApTBI7IE6V6ytjnhDC5uT28%2BhUa7OJtGFpJYv%2BzPm5WEynu%2FQ9LQ4wpMdxDlFzSc%2BnS8wGcqPXhy27NBYioJFNeOfXxwd4U%2BRw8PREwADFKntv42vDBx9OoJuIslsNlKdlcPh54J2Cob7fZyLgWOPaqHcHlBJXN8oHVjJSCx2sbaXdBAauxRnbMJi1G6vwMT3LsuPLZQJifJ9xGz0Q9EicG9geFX0ljU1pAxFowGzeOK%2B2j43kIkkOaroQZ0%2B37TPDhfoJenheY%2FM2c3nnB33yEahBZiYFmOLsgajQvaowABTEti0zrFkZQzCDrXp64arSFJ8gwmcFcrSaO6jTtP8ywlsoxiZJIfJCmHz8LmE15MWNkkr0I4jZmAICdnz%2BQlCfsIVrYco6mUOh%2BbGlzODWCwgC9bb5nzUmy9YPDkv4iCXX0bffmWXoewRZ8O7mUvHe7%2BpRssNCGpCRAVXElTb7L5%2BZw%2BrAMJtrpC1pcO1JFDgwY5%2BS6rP%2FxqgmnqbE3Pmz7cNxmPMYnGnXQaV2mA7bWVqHDiwuABhHhyVxETuIIkAuAeLa4U%2Btc2wkFPY3jlMuO8HXLdUkVat%2FB6tbWKCE2Zw7jG2iCEjYEbpsCDcbLHmTEWwx4WMF8lnj5IQJOF2P5Q%2FRyWQqqE3ewFLRdVnwr7dPfCoUWxh%2Fo9FkKsbUgZd%2BYxm7JX7CqOB6RkAPdl5rboPrWknBHNpZM3IEUt%2BxhNWabAPwvV2Qp9kmzW2akNEbGWoQNCRjRNV7r6AaNNnN0bwsyWvtf5DdqH8aUs5ZwSEkKlc0XIZnm9beaQ9aEIgih6ppm1ZJYFxbGiElh7fKiwmHM%2F1iQWBDOid7ToUEiayhxuzrLgUOCEnGhLbN5FGde8TnPaMnNGqNxOSikjVZoTVCbSiXct1Qz2PVFF6B4M%2BKrXHp01Q17AKJ7Ik4BiYhy7xe55oU6w3haXLWZ6l5QBvsYJST%2BxUOIDnxZ8nYmHdWg9bR2HcFi48t0KCqC0uLIwPRA8T9RODAc7XRc4SphScEg9L1CbaJvqQ7uvF4%2BIaO5GFzPsegb0c6hykYKPVowscJkRabwQhMgcHyuwbGocf6eAt9WhVFDG2V4bzRWZ34WpY75xVmlvpGAUYrbPnJy2SX%2BGk%2FUPdHRdXAf8RyVELihyvhjqBZjRckI52yvuPKgqYhjUHqrLf4ISEb%2Bugf9T5sKpeOGGIvyMIYbd%2BOI9Cmharg1sfew,NA,NA,NA,NA,NA,#436461209,NA,NA,NA,NA,NA,NA,NA,Abierto
36, Casco Moto Ls2 Ff320 Stream Lux Blanco Rosa ,89.99,NA,9,15,12,7.499,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-475630067-casco-moto-ls2-ff320-stream-lux-blanco-rosa-_JM,NA,NA,NA,NA,NA,#475630067,"XS,S,M",,LS2,320,FF 320,Rebatible,NA,NA
37, Casco Moto Ls2 Ff352 Touring Negro Gris Blanco Matte ,52.99,NA,20,34,12,4.416,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-466355098-casco-moto-ls2-ff352-touring-negro-gris-blanco-matte-_JM,NA,NA,NA,NA,NA,#466355098,Blanco,"S,M,L,XL,XXL",LS2,Touring,FF352 ROOKIE,Integral,1350 g,NA
