search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Línea,Tipo de visor,Materiales del exterior,Edad,Materiales del interior,Género,Modelo alfanumérico,Peso
1, Casco Negro Motocicleta Kov Stealth Mate Abatible Mica Inter ,"1,299",NA,132,119,18 meses,72.17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,60,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-669501641-casco-negro-motocicleta-kov-stealth-mate-abatible-mica-inter-_JM?searchVariation=36493162676,40,12,6,0,1,#669501641,NA,"S,M,L,XL,XXL",KOV,Stealth,Rebatible,NA,NA,NA,NA,NA,NA,NA,NA
2, Casco Moto Accesorio Kukulk Kov Dot Abatible Varios Colores ,"1,249",NA,241,6,18 meses,69.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,82,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-564429987-casco-moto-accesorio-kukulk-kov-dot-abatible-varios-colores-_JM?searchVariation=29067988018,64,14,2,1,1,#564429987,NA,"CH,EGG,EG",Kov Parts,Kukulk,Rebatible,Legacy,Doble,ABS,Adultos,NA,NA,NA,NA
3, Casco Harley Davidson Scorpion Exo Covert Negro Mate Chopper ,"4,839",NA,118,3,18 meses,268.83,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,17,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-654427065-casco-harley-davidson-scorpion-exo-covert-negro-mate-chopper-_JM?searchVariation=32213498475,17,0,0,0,0,#654427065,NA,S,Scorpion Exo,Covert,MODULAR,Covert,Simple,Policarbonato,Adultos,EPS,Unisex,NA,NA
4, Casco Abatible Para Motocicleta Certificacion Dot ,949,NA,1399,2877,18 meses,52.72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,96,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-552218947-casco-abatible-para-motocicleta-certificacion-dot-_JM?searchVariation=36753042218,65,22,4,2,3,#552218947,NA,"M,L,XL",INNOVANDO,CAS-ABA-83,Rebatible,NA,NA,NA,Adultos,NA,Unisex,NA,NA
5, Casco Abatible Moto Hro Certificado Lente Solar Envio Gratis ,"1,569",NA,168,3,18 meses,87.17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,8,https://perfil.mercadolibre.com.mx/NINJAMOTOSHOP,https://articulo.mercadolibre.com.mx/MLM-606561406-casco-abatible-moto-hro-certificado-lente-solar-envio-gratis-_JM?searchVariation=36972691433,7,0,1,0,0,#606561406,"Gris/Naranja,Fucsia,Gris oscuro,Gris/Naranja,NEGRO BRILLANTE LISO,NEGRO MATTE LISO,NEGRO/ NARANJA CAMOUFLAGE,NEGRO/AMARILLO CAMOUFLAGE,NEGRO/GRIS/AZUL","TALLA L 59-60 CM,TALLA M 57-58 CM,TALLA XL 61-62 CM,TALLA S 55-56 CM",HRO,3400 DV,Rebatible,Abatible,Doble,ABS,Adultos,Poliestireno,Unisex,NA,NA
6, Casco Mask Moto Deportivo Iron Man Abatible Halo Rojo Fassed ,949,NA,1700,141,12 meses,93.75,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,74,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=d6Ov7JgvAwTuTH8EGlJGk%2FL2YXf3bxw0%2FN9ReLbycROzZN5Wx49DLPMCcZwoEPIU7W42GasqQaxt6hOTSyqGlp4Rwu8KPHPrAm%2BbGWrw61HKgRXsz25QRPfvBjMYKFZRhXLl39TeE0QX%2BNIJfPRziVKEVbw3MaDtlXqqPGdNE07s90%2FIiY3ZpVuWhq9VoUYAF7oGvN1pGLhqyxK9a2tk8feemIBhDkZFUJK9O57RPigIHEGRCJ32tOcfa5kCiTURb%2FhOVh5S0T44sC7U6%2BcFuBquT%2BXwJ%2BrOdcdgIR0fdb0ebq8vEOiiBB4hyCX%2FgZsjlW%2FME4RPDBIJowBWV7%2F4rqLYZPYGUpwtf4d%2Fr4o0ZNDnrTXllhLPN%2BdRDNB4O44lm9JEC9lRLl%2B0dgJpiJ74CPSfP0Kjk7kp1f6%2BRJE5xbCUJ92Y7DHXssYJoWYsOAuFlrCeqW5817yIPXIkQy9PNc6%2B%2BWgxCpreMM%2F5LnxAWb6TyrAQ32fhRdUcplwSp0%2FlF5fjuyMlDDHaG0Ok%2FntC4naWXIl%2BXkqb%2BsWPX5NtJRh3uhC7k36uNakQkVY31xzIFG0kcv3sOOi70AX9tmkruohPdOcc9LPEz9%2Blh0vmu59sBaxkSRQoNiegA1rqmM5tYsJDv7lPU%2BFoFFPrDMHriC%2FSo9q47tq0oCsI2A85Ep%2BeLth7yC19OMP0ix9t9wOqrNvYTYX9sQH0XKd5tYnGiTjz7%2FDa5tFVAUdAxSCgLdQdkiBT%2FIVCBopUNWZKsgmDh0lM38Vv8D84qoTzxQNPqRD%2FofqzKEGgdmw%2FoSkpmCmf9LvIp4%2FspVkTiUGhpkv02aEYyNLnakQWGFZI%2F8VuHkET61ocintPoc%2F6I48xwoP0W5XGbaLdbmdVEef5sW4K95g6QfL8g07EQorA2wTJ2gV1toY0iAEnPoMIsDGVsdhnw73kZOMWx9%2FPdOhwngw8V6hzKzYoUCz2oq5c4aY4DPP%2Bbbb8pld%2F8NPYDZ6fQNtxp0D45%2B4Z5EN4Yjnini%2FldSZCE9IDGYAdo06Aw8WrrvMovlL%2F5V9iWEEFV3XIp4y53wSe8kaLUJcMc%2F2bvSMvGYRCm5xI9%2B%2Fn5V%2F92bqVad895BPrN3gR%2FgJOPPE1qSvp8c9iyrb0gm18JqPzxSAJJT0RI4qGb4%2F9ok788w%2BzuYHljKhuW993WjU4%2FFg2FL4uQdaFbiz6Ymy6C8S09LGVF8BPi187r9obsHD%2B9HVElY9P1TeuBMvawvzBlQ3eQBd3tYJIK6W89H81Gh7VHs5%2F8nXqw7RRQOklM1Rssco4DKB%2Bgp1mQGLEINpc8HMQjebwZ3HUMkU%2FAbciyaObs0RSJIAM701chVC%2F3WFLyP4tAmozJgo3ynrdr3IV9zxtZL3nfVwPtrqHm8cBy3vzmUf2ISjBjGsygHS9QAZPOOJ1wa9%2Fz%2FwsD588SU6u9AblIRUYpOzzuP2u9kFR89gnGsELvmrfCVAQlG0r91BvDPIWStpg0JO53qSyuiBsTAdFIvPK%2FB3dPhzBokHZkmifRvdMTLaioGFMfCbQfnc1a6e5dpQAqM1wsTf7Nu1raFhDkvG4jSjXRMvituoYZv4XFboFLDSPwopVJdyIz90sxK1oItD967d64hdxyul1t4rY%2FAXksykNMyNk7i7Jvw%2BCJFmPwTN0rsnkRsU6F4K24unLKJn2inM4x2MUKsOQauccML505TpT%2FXJlDTZJ4wtWbmqnm9hLSWzlTf3mLNzphXLYp1IN5dCAQAV62jduUpF8CTAUzpL24z9y30xWjeHeFw2BVXVyOPtU5LA%3D,62,11,1,0,0,#582660373,NA,"negro,S,M,L,XL",Alessia,NEGRO MATE,Cross,CAS-CRO-15,Simple,ABS,Adultos,Poliestireno,NA,NA,NA
7, Casco Ls2 Valiant Abatible Moto Visor Interno Negro 2019 ,"1,599",NA,135,9,18 meses,88.83,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,2,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-650438989-casco-mask-moto-deportivo-iron-man-abatible-halo-rojo-fassed-_JM?searchVariation=29633306833,2,0,0,0,0,#650438989,NA,"L,XL",Faseed,Graficos,Rebatible,Mask,Simple,ABS,Adultos,Resina termoplástica,Unisex,NA,NA
8, Casco Tipo Cross Negro Mate Certificacion Dot Tallas ,"5,864",NA,101,9,18 meses,325.78,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,41,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-636555558-casco-ls2-valiant-abatible-moto-visor-interno-negro-2019-_JM?searchVariation=35500798462,39,2,0,0,0,#636555558,Negro mate,"Negro mate,M,L,XL.,S,L,XL,XXL,XXXL",LS2,Valiant,Rebatible,FF399,Doble,Policarbonato,Adultos,EPS,Unisex,FF399,NA
9, Par De Luces Led Para Casco Moto Motocicleta Seguridad Noche ,279,349,266,1,18 meses,15.51,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,5,https://perfil.mercadolibre.com.mx/MEXMART_ML,https://articulo.mercadolibre.com.mx/MLM-657032837-par-de-luces-led-para-casco-moto-motocicleta-seguridad-noche-_JM?searchVariation=31056556397,3,1,1,0,0,#657032837,NA,Unitalla,OEM,Recto,Integral,LUCES,NA,NA,Adultos,NA,Unisex,NA,NA
10, Casco Faseed Fs-726x Abierto 3/4 Trooper Certificado Ece2205 ,"1,550",NA,74,20,18 meses,86.11,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,8,https://perfil.mercadolibre.com.mx/SKULLGUARD_MOTO,https://articulo.mercadolibre.com.mx/MLM-687886875-casco-faseed-fs-726x-abierto-34-trooper-certificado-ece2205-_JM?searchVariation=38435578798,7,0,0,1,0,#687886875,NA,"M (57 - 58 cm),L (59 - 60 cm),XL (61 - 62 cm),S (55 - 56 cm)",Faseed,FS-726X,Modular,NA,Simple,NA,Adultos,NA,Unisex,NA,NA
