search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Tipo de visor,Línea,Modelo alfanumérico,Usos recomendados,Peso
289, Casco Shiro Original Sh 821 Graficas/ Negr 881 Moto Ciclofox ,3199,3999,122,26,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,11,https://perfil.mercadolibre.com.ar/CICLOFOX,https://articulo.mercadolibre.com.ar/MLA-698034879-casco-shiro-original-sh-821-graficas-negr-881-moto-ciclofox-_JM?searchVariation=36144895443,7,2,2,0,0,#698034879,Negro,XL,Shiro,SH-821,Integral,NA,ABS PREMIUM,NA,NA,NA,Integral,NA,NA,NA
290, Casco Moto Integral Ls2 353 Rapid Infinity Negro Rojo ,4590,5490,15,2,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4,1,https://perfil.mercadolibre.com.ar/LS2-OFICIAL?brandId=157,https://articulo.mercadolibre.com.ar/MLA-752715264-casco-moto-integral-ls2-353-rapid-infinity-negro-rojo-_JM?searchVariation=28567903606,0,1,0,0,0,#752715264,Negro/Rojo,XXL,LS2,FF353 Rapid Infinity,Integral,Poliestireno,HPTT,Adultos,Unisex,Simple,Integral,NA,NA,NA
291, Casco Cross Airoh Terminator 2.1 S Cleft Carbono Azul - Sti ,17999,26998,8,10,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-729692100-casco-cross-airoh-terminator-21-s-cleft-carbono-azul-sti-_JM?searchVariation=39391975290,NA,NA,NA,NA,NA,#729692100,Blanco/Azul/Rojo,"XS,S,XL,XXL,Rojo",Airoh,Cleft Gloss,Cross,Dry confort,Fibra Carbono Kevlar,Adultos,Unisex,Simple,Terminator 2.1,NA,NA,NA
292, Casco Moto Rs1 Nacional Hawk Visor Cristal Integral ,1773,NA,36,397,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,3,1,https://perfil.mercadolibre.com.ar/SUZUKI+QUILMES,https://articulo.mercadolibre.com.ar/MLA-738932021-casco-moto-rs1-nacional-hawk-visor-cristal-integral-_JM?searchVariation=25828894236,0,0,1,0,0,#738932021,Negro,"S,M,L,XL",Hawk,HAWK,Integral,NA,ABS,NA,NA,NA,Integral,NA,NA,NA
293, Casco Integral Cerrado Hawk Rs1 2019 Sti 12 Cuotas ,2390,2749,12,145,18 cuotas sin interés,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,306,https://perfil.mercadolibre.com.ar/STIAHORA12,https://articulo.mercadolibre.com.ar/MLA-801864569-casco-integral-cerrado-hawk-rs1-2019-sti-12-cuotas-_JM?searchVariation=40653747801,204,64,32,4,1,#801864569,Negro mate,"S,M,L,XL",Hawk,RS1,Integral,Poliéster,ABS,Adultos,Unisex,Simple,NA,NA,NA,NA
294, Casco Moto Motocross Halcon Hawk Mx Road Nuevo Enduro Sti ,1606,2409,38,17,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,100,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-745949531-casco-moto-motocross-halcon-hawk-mx-road-nuevo-enduro-sti-_JM?searchVariation=27059349986,63,21,14,1,1,#745949531,Negro - BLANCO,"M,XL",Halcon,MXROAD,Cross,Dry Confort,Polipropileno,Adultos,Unisex,NA,Cross,NA,NA,NA
295, Casco Cerrado Biltwell Lane Splitter Cafe Racer Avant Motos ,18225,NA,8,1,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/AVANT-REPUESTOS,https://articulo.mercadolibre.com.ar/MLA-694863494-casco-cerrado-biltwell-lane-splitter-cafe-racer-avant-motos-_JM?searchVariation=35421705552,1,0,0,0,0,#694863494,Negro,NA,Biltwell,Lane Splitter,Abierto,Poliestireno,Policarbonato,Adultos,Unisex,Simple,Integral,NA,NA,NA
296, Casco Moto Abierto Mt Street Metro Brillo Azul Naranja ,1781,2096,41,60,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,25,https://perfil.mercadolibre.com.ar/MT+HELMETS?brandId=1346,https://articulo.mercadolibre.com.ar/MLA-695555788-casco-moto-abierto-mt-street-metro-brillo-azul-naranja-_JM?searchVariation=29526776854,17,5,2,0,0,#695555788,Blanco Brillo-Azul-Naranja,"L,M,XL,M,L,XL",MT Helmets,Street,Abierto,Poliestireno,Policarbonato,Adultos,Unisex,Simple,Metro,NA,NA,950 g
297, Casco Rebatible Punto Extremo Xr 650 Dama Doble Visor En Fas ,4480,6272,70,4,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,131,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-693855220-casco-rebatible-punto-extremo-xr-650-dama-doble-visor-en-fas-_JM?searchVariation=27366688653,88,36,5,0,1,#693855220,Rosa,XS,Punto Extremo,XR650,Rebatible,NA,Multi Poli Tech,NA,NA,NA,Rebatible,NA,NA,NA
298, Casco Agv K3 Sv Tartaruga Valentino 46 Gp Pinlock Gratis Sti ,13706,20559,37,5,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5,5,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-683354409-casco-agv-k3-sv-tartaruga-valentino-46-gp-pinlock-gratis-sti-_JM?searchVariation=40021174211,5,0,0,0,0,#683354409,Negro/Verde/Negro/Verde,"S,XL",AGV,Top,Integral,NA,Policarbonato,NA,NA,NA,Integral,K3 SV Tartaruga,NA,NA
299, Casco Moto Hawk Htl Shark Integral Negro Lett Store ,1700,NA,19,430,6 cuotas sin interés,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4,3,https://perfil.mercadolibre.com.ar/LETT+STORE,https://articulo.mercadolibre.com.ar/MLA-756337804-casco-moto-hawk-htl-shark-integral-negro-lett-store-_JM?searchVariation=29666462868,2,0,0,1,0,#756337804,Negro,"S,M,L,XL",Hawk,Shark,Integral,Cuero sintético,ABS,Adultos,Unisex,Simple,HTL,NA,NA,NA
300, Casco Ls2 F320 Negro Doble Visor Envio Gratis - Sti Motos ,6590,9885,310,3,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,52,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-660279599-casco-ls2-f320-negro-doble-visor-envio-gratis-sti-motos-_JM?searchVariation=34469796064,39,12,1,0,0,#660279599,Negro brillo,"L,XL,XXL",LS2,F320,Integral,Termoplástico inyectado,ABS,NA,NA,NA,Integral,F320,Urbana,1550 g
301, Casco Integral Con Anteojos De Sol Max V127 Red Black Hollow ,4957,NA,51,222,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,41,https://perfil.mercadolibre.com.ar/WSTANDARD+GROUP,https://articulo.mercadolibre.com.ar/MLA-666842410-casco-integral-con-anteojos-de-sol-max-v127-red-black-hollow-_JM?searchVariation=22632789520,33,8,0,0,0,#666842410,Rojo,"S,M,L,XL",Max,V127,Integral,NA,ABS,NA,NA,NA,INTEGRAL,NA,NA,NA
