search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Línea,Tipo de visor,Materiales del exterior,Edad,Materiales del interior,Género,Modelo alfanumérico,Peso
11, Casco Abatible Deportivo Modular Cafe Racer Fassed Trooper ,"5,864",NA,"
			
				Nuevo
			
			
				
					 - 
				
				101
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 32578
		
		 sin intereses
		
	

	
		",78,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,41,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-636555558-casco-ls2-valiant-abatible-moto-visor-interno-negro-2019-_JM?searchVariation=35500798462,39,2,0,0,0,#636555558,Negro mate,"Negro mate,M,L,XL.,S,L,XL,XXL,XXXL",LS2,Valiant,Rebatible,FF399,Doble,Policarbonato,Adultos,EPS,Unisex,FF399,NA
12, Casco Tipo Cross Negro Mate Certificacion Dot Tallas ,"1,459",NA,"
			
				Nuevo
			
			
				
					 - 
				
				102
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 8106
		
		 sin intereses
		
	

	
		",06,NA,Llega mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,9,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-689955419-casco-abatible-deportivo-modular-cafe-racer-fassed-trooper-_JM?searchVariation=38914188679,7,0,1,1,0,#689955419,NA,"M,L,XL",Faseed,Trooper,Multi-Modular,NA,Simple,ABS,Adultos,Poliestireno,Unisex,NA,NA
13," Casco Depredador, Envío Gratis!!! ",949,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1710
				vendidos
			
		",(134 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 9375
		
		 sin intereses
		
	

	
		",75,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,74,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-582660373-casco-tipo-cross-negro-mate-certificacion-dot-tallas-_JM?searchVariation=23194309270,62,11,1,0,0,#582660373,NA,"negro,S,M,L,XL",Alessia,NEGRO MATE,Cross,CAS-CRO-15,Simple,ABS,Adultos,Poliestireno,NA,NA,NA
14, Casco Abatible Roda Revenge Con Certificacion Dot ,"1,299",NA,"
			
				Nuevo
			
			
				
					 - 
				
				66
				vendidos
			
		",(31 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7217
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,1,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=Bh6cdHdo0k7UdO2E9BVr4rarHPknY%2BT4UAWxSwcAetvIkjXFmLZQrKrBZuPV9vGyBf8SvL1s3jkc%2Fm2Rx7sJzJGsgzuiduJM3JPyoPniRfAPqdlhauj6ezlMhiBdwG5MVqgAfeSyzhVQPXBlcIB%2BlNAOJ4lpiKJLAAaJ1xJPKjsdLjuLC2qlceAwGcJy4rJrWb2cygsVR8ECFSHYCmHsUYt36hjwLVZUlRd6C26qfNB8iPuZybkwMGcvMcC8W8yptZf78CAursnMqXLxpWDaoaWeIqSzvAu46bJoNuebepvvErSCg5wvtPBFmZ6qeGS4xNmsn3gH2O7GaSHdPVMgrFI4M1QQ2irF%2FU4lt%2Fmksa%2BC0mDhnFh5U%2BZCfkbEo7JxfqsLG%2Bujfbmv%2BmejQaN8HLckSttnXSwI8CYi7qGMXfhiAgJDp7qUxTyHbjOluFBxSM2lCD2Q3OSevH01pMx1nCcBXE9aU4IowH%2BVasvUlbq%2Bmw7xi6p11zvj3eeYLbqdbwKxy%2B2WRik3WMR9WcCSDmFv9IuNBLup1fTYJsQfCpKrxRNUhnBY83FPQJ21D1pWuopavI5Yyc1FuoOH%2FGEIaVpjFWG7kihvtDdrxp8M9w0HRs4VIk37e5X2PDk5bYyr9pAkl2caFP%2FnjUE4aitWRKROZv8ld%2BlN8Qcs2FSgAQinLWp7GvQ6eg34sIDf%2FbkAB9evNeEarg0Hm%2FMd5kmPIfidbxGxuyUE1caZn9pYxVOKE5zpcZgjN2ivwqgfIFliCgKtrjGKx22MoCqSzOz%2FDLq5jke7OOlwCyNms40%2B84kFaKKxP610Dh9WLnzkmS4i6YgtmaalnMTs8VCbwx1UHLToZfl12X0E3ZmrbvZDeBwKad2yYMcaDneqeWrs2XeJ5KLyXepuoJwyUwoUnHit31u74x%2BZHlt3FNpvTRogWGd4DXYd4mttXBp6L%2BeoVw2kv6RLQMp7AjcqFvmPnymFIm4GXmhCimbvqeZn%2F8u%2BOJRnXwASgW2PhP2mUxGOAof5n%2FrCUwci%2FEd9VqcYqD5aL1VsOpCSkjxU%2F9sqFPAZGXfO2%2FkMz9X5KsSGFXmgh4B%2BN3y15OjM3sHf6c4rCOrdkYautjoUM%2B6efn7cQi86T9XsVnXnx3J8%2FNeW%2FtGX4icLblGpGoXe0Y8kAai5OmpVJ41XFGT8k9BpvtohUld27DmXfddaroKgloXEpym1Pid8VNEdv0YBnTc8P92j%2BfJ7WV0ghxigkWP%2FERahUj%2FsRxpRk0af1RMqcD%2BMhr%2Bq1CjZ0UQwWYeSuMFvyF5TR6alnD158I89SyjHfL7P1OMmKXU39EBO1OclAj2qFIiAiHMJIXgR54BklE9ReiHtE5IEEXoGSL4tiFuHR8jhB9qV3JfOb6Nt5i5%2FKJg67CeuU%2Bhuq7pAWHHNxb%2BAoyi0KvfUgcoTvpTcc5mr1bM57C4u0IraGRQSxcrkGK%2BbrZUXzemueL5bFrVoJeqQO9%2FVUL6ZZaZCUHH7khlgTpcxp1H8a4GZP2ecv1hu3pcd6rG6ohkag3hFsm9ULYhgiFmZHarFEVYkEfWRVramzdX9XQQXs%2BhVp46d90YfZmpm%2BH3F8rcOaAvkNrgy9LKMnSTrv%2F18WHYaoOFsu5LkmVwuVlwu0WLQK7dyq88vIG%2B72d5uUkTjCl0RjmY%2FUF3WmUPNx%2BU1wqhPSCVFfTgwrZKudrz20Yeqor8TXVr0KUTnJi337URS3EDchwoFHXE%2FmmL1sZu97Y0xS5R42nKu7wtOE9RHJDl%2BHJJdKC1pGWJ3wz68pPBLI%2F99m05we3PDI1GPFM6Tjw%3D%3D,NA,NA,NA,NA,NA,#660786514,NA,"S,M,G,XG",BKR,Deidad Quetzal,Rebatible,MODULAR ABATIBLE,NA,NA,NA,NA,NA,NA,NA
15, Casco Roda Revenge Abatible Gafa Interna Certificado Dot ,899,NA,"
			
				Nuevo
			
			
				
					 - 
				
				670
				vendidos
			
		",(382 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4994
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,53,https://perfil.mercadolibre.com.mx/JK+MOTORS,https://articulo.mercadolibre.com.mx/MLM-568733170-casco-depredador-envio-gratis-_JM?searchVariation=23088464886,27,14,6,2,4,#568733170,Negro,"negro,MEDIANO,CHICO,EXTRA GRANDE,GRANDE",JK,Negro,Integral,DEPREDADOR,Simple,Fibra de vidrio,Adultos,Esponja,Masculino,EDN,NA
16, Casco Nuevo Shaft Aztec Evo Mate Sh-571 Rider One ,"1,199",NA,"
			
				Nuevo
			
			
				
					 - 
				
				619
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6661
		
		 sin intereses
		
	

	
		",61,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,124,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,https://articulo.mercadolibre.com.mx/MLM-610191804-casco-roda-revenge-abatible-gafa-interna-certificado-dot-_JM?searchVariation=22702583678,96,20,5,1,2,#610191804,"Negro/Plata,Blanco,Negro Matte,Negro brillo,Negro/Morado,Negro/Naranja,Negro/Plata,Negro/Rojo,Rojo brillo","L y XL,S,M,L,XL",RODA,2019,Rebatible,Revenge,Simple,ABS Alto Impacto,Adultos,Resina termoplástica,Unisex,NA,NA
17, Casco Abatible R7 168 Lente Interno Cerificado Dot Ngo/mate ,"1,799",NA,"
			
				Nuevo
			
			
				
					 - 
				
				341
				vendidos
			
		",(130 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 9994
		
		 sin intereses
		
	

	
		",94,NA,Llega mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,25,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-577998441-casco-nuevo-shaft-aztec-evo-mate-sh-571-rider-one-_JM?searchVariation=39433695939,23,0,0,1,0,#577998441,NA,"S,M,L,XL",Shaft,Aztec,Integral,SH-571_Evo,Simple,Policarbonato,Adultos,Poliestireno,Unisex,NA,1500 g
18, Casco Abatible Bkr Deidad Quetzal Svs Con Certificacion Dot ,"1,149",NA,"
			
				Nuevo
			
			
				
					 - 
				
				262
				vendidos
			
		",(20 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6383
		
		 sin intereses
		
	

	
		",83,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.8,11,https://perfil.mercadolibre.com.mx/MOTO-HELMETS,https://articulo.mercadolibre.com.mx/MLM-623560080-casco-abatible-r7-168-lente-interno-cerificado-dot-ngomate-_JM?searchVariation=25336287924,4,4,1,1,1,#623560080,NA,"M,L,XL,XXL",R7,168,Abatible,Racing,Doble,CASCASA TERMOPLASTICA,Adultos,NA,Unisex,NA,NA
19," Casco Tipo Cross Moto Negro Mate Dot Tallas S, M, L Y Xl ",699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1028
				vendidos
			
		",(271 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 6906
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,36,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-583170040-casco-tipo-cross-moto-negro-mate-dot-tallas-s-m-l-y-xl-_JM?searchVariation=32245623358,31,3,2,0,0,#583170040,NA,"S,M,L,XL",Alessia,TIPO CROSS,Cross,NA,NA,NA,NA,NA,NA,NA,NA
20, Casco Integral Roda Asteroid Pro Con Certificacion Dot ,949,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1408
				vendidos
			
		",(2870 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 5272
		
		 sin intereses
		
	

	
		",72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,98,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=PE%2FevEVfuagc8yw70COhWk3F4CwksRGONCUUFp5U2193t2ThoDk9lVYIUszpZGYWFv0%2BTD8tyoLdbxLMBt1Z%2BLueyCqqpEo3yB8bo9eT%2B%2BQ%2B41gN3aIwXbRxptc3SzT1wh4gIyv1wCuERmjR4w7GGk%2FLs5t5NDm8yG%2BrNuyqKy%2BM%2BVX0QHU3fqcKJ6p1DVfSbmwtw1EFmgKI3STc%2BgvKrh3wGkae40QI4PGx%2FzgA0RR9Mq4xyqVyV3kBVL3usjl%2F1PCkjqAVt7FgTeUc5kp5bwnuHilxtWnrCgAzrR2nxZ%2BU66uATL88L4hRLIUg%2Bnj9G8wvIE%2FK2twmsyGCUVIYkfZJ%2BEh%2Fkfkd6txdGy05Op4Bevrhdkcksd8O4AGccchTd0FLAf76jh%2F5%2Fv6JGwNo3p5qwzMBqVid8PF%2BW82gaMIU8T7COOBugq9CQjJ9DMc%2FDYO2Cax171qxuacGRBdtvTyh94EsUY56CG6jzHsLRBynj75XfB0eUUxjy%2FJ2a5yNajMRYs3xliVBujb%2B9YmkGmaNQBq3%2FWA%2F6lpoAgJasO0CeNgRYlMgEnuPmhTOO%2Bmy%2BQtNksqTqHQScp4xbyWu4lxUC3qIqRUCpNO2uj9%2FzDJH3723eKY5o%2F%2BpeuXa8TWNYV3HYySTxaSuP%2F0KGKrldD8fYkhbEA8ya8%2F0DV46hunFZykz%2BDKkfGK5OQIYiGk%2FdWok29nEo5AJrPrd2gbe%2F0qJyTSLq2%2FENKj8pvq7GEqaR%2BnckM3MlzoOc0ZfBXrPsqP4E2KiLLD8YayBdH3ttLNehHTy19gTXJR%2F1SI1ZHoLL6lUplKGkZrHnmCAIIQ3Nlhzi61CjiJwcJu7cuYpPZaG7iB6NZShI%2FZp8gn2Jlv22OIssfqJZbPM2%2Bxc2mwSpReO6aR2FChhy0OkB9Kex0GEUx%2FST5Xxatg5bVSevjIfyIQzf1iYAJTlvecIwCp5YKowsckPAgFmKkI2vjk6RwjcO60I%2BdQIVv1%2FsIPagyFvDRW5eRLSvFnV2F%2FzGEj8aBpDw1w3T6%2FkV5mLh6mGmipKx3S0vIfhPzrm3ZH4Op8cAEZxFzfUkuSkH%2B0kXGML6nTP%2B3ndzv0TQIeo88WS5XVIBd5rS1zC1rFyRBxlLJ6spfu3T6Pa4e5K%2Fub3jyfH9hv6wG%2B6PXJDsaEbc2wn0p0YcDceVJctRydf8SADrbexpR6Yw27Ii9%2BLAmxeUfoyGiTkmvbbSrQdR6TlDe3vfvNMewzkWCKCPVU5LXa7WTeiMzX1bCeQRJTmoTr5OnrjBuUNto97LXxFIgClR93GRepWLbFw44X%2F2qovW4zQDBQ8j%2FOrdfPNDJXsxvUATxH2Aha%2Bn3LI7A1Hy3vZkVXRSZmUfooVhr%2F5GTh%2FkLszI3fSQN12n0z%2FafvYyP40Yle1ubxUs8LN7Ty8RCUMSdjEmVuVF1SKXfOtQRBGAqcxpyJvDIl73pQwpx9Km2cMPc328xHaG64U6Doh3eyhk3qx8EQiEHRKfTM%2FpbyfkejAQbtjCol3ljjfMtJhRvdlKHM0SkGMDdSoQzFvyGiMuxJ9kYn%2FmZEN011pSKzUF%2BnGZcMN72qpRzpgWvcXCOVs58w6CLgzUdVLxkYddiXhC1hmjFfbZGaAMrajL4mAFxrRlBTbFEs1h0MXPiTbuFGHp6iudyjtdPcN0fDdR3sjpO3Y%2FA%2BvWkhtfgLcTyBUWURMDP1bh4KLt91imNb%2Fu84ztOeAfSjR2nS%2BL%2FZdH5dEloV0mVBAziuWDAJrzvBui9YJu1eZ2Lfn82gxgXLahlti54UQ4kXUTZ%2By,67,22,4,2,3,#552218947,NA,"M,L,XL",INNOVANDO,CAS-ABA-83,Rebatible,NA,NA,NA,Adultos,NA,Unisex,NA,NA
21, Casco Híbrido Crossover Moto Faseed Trooper Certificado Ece ,849,NA,"
			
				Nuevo
			
			
				
					 - 
				
				67
				vendidos
			
		",(25 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 8387
		
		 sin intereses
		
	

	
		",87,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,8,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://articulo.mercadolibre.com.mx/MLM-660783834-casco-integral-roda-asteroid-pro-con-certificacion-dot-_JM?searchVariation=31940579169,7,1,0,0,0,#660783834,NA,"L,XL",RODA,Asteroid PRO,Integral,CERRADO,NA,NA,NA,NA,NA,NA,NA
